County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct
ALAMANCE	11/06/2018	04	1420	S	PROTECT RIGHT TO HUNT AND FISH	Against	 	1	190	247	11	0	448	Y
ALAMANCE	11/06/2018	03C	1420	S	PROTECT RIGHT TO HUNT AND FISH	Against	 	1	200	417	33	2	652	Y
ALAMANCE	11/06/2018	07	1420	S	PROTECT RIGHT TO HUNT AND FISH	Against	 	1	123	241	10	0	374	Y
ALAMANCE	11/06/2018	01	1420	S	PROTECT RIGHT TO HUNT AND FISH	Against	 	1	125	179	14	2	320	Y
ALAMANCE	11/06/2018	09N	1420	S	PROTECT RIGHT TO HUNT AND FISH	Against	 	1	177	269	7	2	455	Y
ALAMANCE	11/06/2018	09N	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	434	383	15	12	844	Y
ALAMANCE	11/06/2018	064	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	637	885	36	4	1562	Y
ALAMANCE	11/06/2018	03C	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	419	518	29	10	976	Y
ALAMANCE	11/06/2018	11	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	519	571	21	13	1124	Y
ALAMANCE	11/06/2018	10S	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	707	1450	37	13	2207	Y
ALAMANCE	11/06/2018	05	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	594	468	24	1	1087	Y
ALAMANCE	11/06/2018	02	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	864	716	26	0	1606	Y
ALAMANCE	11/06/2018	1210	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	267	232	13	1	513	Y
ALAMANCE	11/06/2018	12N	1420	S	PROTECT RIGHT TO HUNT AND FISH	For	 	1	251	241	26	3	521	Y
