Id	Name	ReportingUnitType_Id	OtherReportingUnitType	Name-all-caps	Summary Level	state-fips	county-fips	county-sub-fips	place-fips	city-fips	name-fips	name-fips-all-caps	state-name-fips	state-name-fips-all-caps	fips-name-all-caps	five-digit-fips
390105	Tennessee;Henderson County	9		TENNESSEE;HENDERSON COUNTY	050	47	077	00000	00000	00000	Henderson County	HENDERSON COUNTY	Tennessee	TENNESSEE	TENNESSEE;HENDERSON COUNTY	47077
390106	Tennessee;Henry County	9		TENNESSEE;HENRY COUNTY	050	47	079	00000	00000	00000	Henry County	HENRY COUNTY	Tennessee	TENNESSEE	TENNESSEE;HENRY COUNTY	47079
390107	Tennessee;Hickman County	9		TENNESSEE;HICKMAN COUNTY	050	47	081	00000	00000	00000	Hickman County	HICKMAN COUNTY	Tennessee	TENNESSEE	TENNESSEE;HICKMAN COUNTY	47081
390109	Tennessee;Humphreys County	9		TENNESSEE;HUMPHREYS COUNTY	050	47	085	00000	00000	00000	Humphreys County	HUMPHREYS COUNTY	Tennessee	TENNESSEE	TENNESSEE;HUMPHREYS COUNTY	47085
390110	Tennessee;Jackson County	9		TENNESSEE;JACKSON COUNTY	050	47	087	00000	00000	00000	Jackson County	JACKSON COUNTY	Tennessee	TENNESSEE	TENNESSEE;JACKSON COUNTY	47087
390111	Tennessee;Jefferson County	9		TENNESSEE;JEFFERSON COUNTY	050	47	089	00000	00000	00000	Jefferson County	JEFFERSON COUNTY	Tennessee	TENNESSEE	TENNESSEE;JEFFERSON COUNTY	47089
390112	Tennessee;Johnson County	9		TENNESSEE;JOHNSON COUNTY	050	47	091	00000	00000	00000	Johnson County	JOHNSON COUNTY	Tennessee	TENNESSEE	TENNESSEE;JOHNSON COUNTY	47091
390113	Tennessee;Knox County	9		TENNESSEE;KNOX COUNTY	050	47	093	00000	00000	00000	Knox County	KNOX COUNTY	Tennessee	TENNESSEE	TENNESSEE;KNOX COUNTY	47093
390115	Tennessee;Lauderdale County	9		TENNESSEE;LAUDERDALE COUNTY	050	47	097	00000	00000	00000	Lauderdale County	LAUDERDALE COUNTY	Tennessee	TENNESSEE	TENNESSEE;LAUDERDALE COUNTY	47097
225121	Nebraska;Adams County	9		NEBRASKA;ADAMS COUNTY	050	31	001	00000	00000	00000	Adams County	ADAMS COUNTY	Nebraska	NEBRASKA	NEBRASKA;ADAMS COUNTY	31001
225122	Nebraska;Antelope County	9		NEBRASKA;ANTELOPE COUNTY	050	31	003	00000	00000	00000	Antelope County	ANTELOPE COUNTY	Nebraska	NEBRASKA	NEBRASKA;ANTELOPE COUNTY	31003
225123	Nebraska;Arthur County	9		NEBRASKA;ARTHUR COUNTY	050	31	005	00000	00000	00000	Arthur County	ARTHUR COUNTY	Nebraska	NEBRASKA	NEBRASKA;ARTHUR COUNTY	31005
225124	Nebraska;Banner County	9		NEBRASKA;BANNER COUNTY	050	31	007	00000	00000	00000	Banner County	BANNER COUNTY	Nebraska	NEBRASKA	NEBRASKA;BANNER COUNTY	31007
225125	Nebraska;Blaine County	9		NEBRASKA;BLAINE COUNTY	050	31	009	00000	00000	00000	Blaine County	BLAINE COUNTY	Nebraska	NEBRASKA	NEBRASKA;BLAINE COUNTY	31009
63	Alabama;Autauga County	9		ALABAMA;AUTAUGA COUNTY	050	01	001	00000	00000	00000	Autauga County	AUTAUGA COUNTY	Alabama	ALABAMA	ALABAMA;AUTAUGA COUNTY	01001
225126	Nebraska;Boone County	9		NEBRASKA;BOONE COUNTY	050	31	011	00000	00000	00000	Boone County	BOONE COUNTY	Nebraska	NEBRASKA	NEBRASKA;BOONE COUNTY	31011
225127	Nebraska;Box Butte County	9		NEBRASKA;BOX BUTTE COUNTY	050	31	013	00000	00000	00000	Box Butte County	BOX BUTTE COUNTY	Nebraska	NEBRASKA	NEBRASKA;BOX BUTTE COUNTY	31013
