Name	ReportingUnitType
Alabama	state
Alabama;Autauga County	county
Alabama;Baldwin County	county
Alabama;Barbour County	county
Alabama;Bibb County	county
Alabama;Blount County	county
Alabama;Bullock County	county
Alabama;Butler County	county
Alabama;Calhoun County	county
Alabama;Chambers County	county
Alabama;Cherokee County	county
Alabama;Chilton County	county
Alabama;Choctaw County	county
Alabama;Clarke County	county
Alabama;Clay County	county
Alabama;Cleburne County	county
Alabama;Coffee County	county
Alabama;Colbert County	county
Alabama;Conecuh County	county
Alabama;Coosa County	county
Alabama;Covington County	county
Alabama;Crenshaw County	county
Alabama;Cullman County	county
Alabama;Dale County	county
Alabama;Dallas County	county
Alabama;DeKalb County	county
Alabama;Elmore County	county
Alabama;Escambia County	county
Alabama;Etowah County	county
Alabama;Fayette County	county
Alabama;Franklin County	county
Alabama;Geneva County	county
Alabama;Greene County	county
Alabama;Hale County	county
Alabama;Henry County	county
Alabama;Houston County	county
Alabama;Jackson County	county
Alabama;Jefferson County	county
Alabama;Lamar County	county
Alabama;Lauderdale County	county
Alabama;Lawrence County	county
Alabama;Lee County	county
Alabama;Limestone County	county
Alabama;Lowndes County	county
Alabama;Macon County	county
Alabama;Madison County	county
Alabama;Marengo County	county
Alabama;Marion County	county
Alabama;Marshall County	county
Alabama;Mobile County	county
Alabama;Monroe County	county
Alabama;Montgomery County	county
Alabama;Morgan County	county
Alabama;Perry County	county
Alabama;Pickens County	county
Alabama;Pike County	county
Alabama;Randolph County	county
Alabama;Russell County	county
Alabama;Shelby County	county
Alabama;St. Clair County	county
Alabama;Sumter County	county
Alabama;Talladega County	county
Alabama;Tallapoosa County	county
Alabama;Tuscaloosa County	county
Alabama;US House AL District 1	congressional
Alabama;US House AL District 2	congressional
Alabama;US House AL District 3	congressional
Alabama;US House AL District 4	congressional
Alabama;US House AL District 5	congressional
Alabama;US House AL District 6	congressional
Alabama;US House AL District 7	congressional
Alabama;Walker County	county
Alabama;Washington County	county
Alabama;Wilcox County	county
Alabama;Winston County	county
Alabama;Winston County;WALDROP FREEWILL BAPT_	precinct
Alabama;Winston County;UPSHAW FIRE DEPT_	precinct
Alabama;Winston County;PEBBLE FIRE HOUSE	precinct
Alabama;Winston County;OLD UNION CHURCH	precinct
Alabama;Winston County;NESMITH COMM_ CTR_	precinct
Alabama;Winston County;NEIGHBORHOOD FCLTY	precinct
Alabama;Winston County;NATURAL BRIDGE CITY HALL	precinct
Alabama;Winston County;MORELAND FIRE DEPT_	precinct
Alabama;Winston County;LYNN CITY HALL	precinct
Alabama;Winston County;HOUSTON FIRE DEPT_	precinct
Alabama;Winston County;HELICON FIRE DEPT_	precinct
Alabama;Winston County;HALEYVILLE SR_ CTR_	precinct
Alabama;Winston County;DOUBLE SPRINGS MUN_ BLDG	precinct
Alabama;Winston County;DELMAR FIRE DEPT_	precinct
Alabama;Winston County;BLACK POND FIRE DEPT_	precinct
Alabama;Winston County;ASHRIDGE FIRE DEPT_	precinct
Alabama;Winston County;ARLEY FIRE DEPT_	precinct
Alabama;Winston County;ADDISON COMM_ CTR_	precinct
Alabama;Wilcox County;YELLOW BLUFF DIST 5/3	precinct
Alabama;Wilcox County;SUNNY S_ BAPT -DIST 6_3,4	precinct
Alabama;Wilcox County;ST WISDOM BAPT -DIST 5/4	precinct
Alabama;Wilcox County;ST PAUL AME CH-DIST 2/3	precinct
Alabama;Wilcox County;ST PAUL AME CH-DIST 1/7	precinct
Alabama;Wilcox County;PINE HILL CITY -DIST 6/2	precinct
Alabama;Wilcox County;PINE APPLE FIRE-DIST 2/9	precinct
Alabama;Wilcox County;PINE APPLE FIRE-DIST 1/3	precinct
Alabama;Wilcox County;PINE APPLE COMM-DIST 2/6	precinct
Alabama;Wilcox County;PINE APPLE COMM-DIST 2/1	precinct
Alabama;Wilcox County;PINE APPLE COMM-DIST 1/9	precinct
Alabama;Wilcox County;NATL GUARD -DIST 3/3	precinct
Alabama;Wilcox County;NATL GUARD -DIST 2/8	precinct
Alabama;Wilcox County;NATL GUARD -DIST 2/7	precinct
Alabama;Wilcox County;NATL GUARD -DIST 1/5	precinct
Alabama;Wilcox County;NATL GUARD -DIST 1/1	precinct
Alabama;Wilcox County;McCANTS PLACE -DIST 3/4	precinct
Alabama;Wilcox County;MILLER FERRY CH-DIST 4/4	precinct
Alabama;Wilcox County;LOWER PEACHTREE-DIST 6/5	precinct
Alabama;Wilcox County;LOWER PEACHTREE-DIST 5/5	precinct
Alabama;Wilcox County;LAST CHANCE CH-DIST 2/4	precinct
Alabama;Wilcox County;LAST CHANCE CH-DIST 1/6	precinct
Alabama;Wilcox County;HOLY CROSS-DIST 5/6	precinct
Alabama;Wilcox County;HOLY CROSS-DIST 3/1,6	precinct
Alabama;Wilcox County;FURMAN TATES CH-DIST 2/2	precinct
Alabama;Wilcox County;FURMAN TATES CH-DIST 1/4	precinct
Alabama;Wilcox County;FS ERVIN ELEM_ -DIST5/2	precinct
Alabama;Wilcox County;FAITH FELLOWSHIP-DIST 4/2	precinct
Alabama;Wilcox County;ELIJAH SHAW COMM-DIST 4/3	precinct
Alabama;Wilcox County;COY PUBLIC SCH -DIST 3/2	precinct
Alabama;Wilcox County;CLIFTON BLDG-DIST 4/5	precinct
Alabama;Wilcox County;BOYKIN NUTRITION-DIST 4/1	precinct
Alabama;Wilcox County;ARLINGTON COMM -DIST 6/1	precinct
Alabama;Wilcox County;ANNIEMANIE BLDG-DIST 5/1	precinct
Alabama;Washington County;YARBO FIRE HOUSE	precinct
Alabama;Washington County;WAGARVILLE FIRE HOUSE	precinct
Alabama;Washington County;TIBBIE FIRE HOUSE	precinct
Alabama;Washington County;ST_ STEPHENS FIRE HOUSE	precinct
Alabama;Washington County;RED CREEK FIRE HOUSE	precinct
Alabama;Washington County;McINTOSH COMM_	precinct
Alabama;Washington County;MOWA CHOCTAW COMM_ CTR_	precinct
Alabama;Washington County;MILLRY FIRE HOUSE	precinct
Alabama;Washington County;MALCOM CTR_	precinct
Alabama;Washington County;LEROY FIRE HOUSE	precinct
Alabama;Washington County;LATON HILL FIRE HOUSE	precinct
Alabama;Washington County;HOBSON FIRE HOUSE	precinct
Alabama;Washington County;FRUITDALE FIRE HOUSE	precinct
Alabama;Washington County;FRANKVILLE FIRE HOUSE	precinct
Alabama;Washington County;FAIRFORD FIRE HOUSE	precinct
Alabama;Washington County;DEER PARK FIRE HOUSE	precinct
Alabama;Washington County;COPELAND ASSEMBLY OF GOD	precinct
Alabama;Washington County;CHATOM COURTHOUSE	precinct
Alabama;Washington County;CHARITY CHAPEL FIRE HOUSE	precinct
Alabama;Walker County;WESTSIDE BAPTIST	precinct
Alabama;Walker County;UNION HALL GOODSPRINGS	precinct
Alabama;Walker County;UNION CHAPEL COMM CTR	precinct
