Name	ElectionDistrict
AK House District 1	Alaska;AK House District 1
AK House District 2	Alaska;AK House District 2
AK House District 3	Alaska;AK House District 3
AK House District 4	Alaska;AK House District 4
AK House District 5	Alaska;AK House District 5
AK House District 6	Alaska;AK House District 6
AK House District 7	Alaska;AK House District 7
AK House District 8	Alaska;AK House District 8
AK House District 9	Alaska;AK House District 9
AK House District 10	Alaska;AK House District 10
AK House District 11	Alaska;AK House District 11
AK House District 12	Alaska;AK House District 12
AK House District 13	Alaska;AK House District 13
AK House District 14	Alaska;AK House District 14
AK House District 15	Alaska;AK House District 15
AK House District 16	Alaska;AK House District 16
AK House District 17	Alaska;AK House District 17
AK House District 18	Alaska;AK House District 18
AK House District 19	Alaska;AK House District 19
AK House District 20	Alaska;AK House District 20
AK House District 21	Alaska;AK House District 21
AK House District 22	Alaska;AK House District 22
AK House District 23	Alaska;AK House District 23
AK House District 24	Alaska;AK House District 24
AK House District 25	Alaska;AK House District 25
AK House District 26	Alaska;AK House District 26
AK House District 27	Alaska;AK House District 27
AK House District 28	Alaska;AK House District 28
AK House District 29	Alaska;AK House District 29
AK House District 30	Alaska;AK House District 30
AK House District 31	Alaska;AK House District 31
AK House District 32	Alaska;AK House District 32
AK House District 33	Alaska;AK House District 33
AK House District 34	Alaska;AK House District 34
AK House District 35	Alaska;AK House District 35
AK House District 36	Alaska;AK House District 36
AK House District 37	Alaska;AK House District 37
AK House District 38	Alaska;AK House District 38
AK House District 39	Alaska;AK House District 39
AK House District 40	Alaska;AK House District 40
AK Senate District A	Alaska;AK Senate District A
AK Senate District B	Alaska;AK Senate District B
AK Senate District C	Alaska;AK Senate District C
AK Senate District D	Alaska;AK Senate District D
AK Senate District E	Alaska;AK Senate District E
AK Senate District F	Alaska;AK Senate District F
AK Senate District G	Alaska;AK Senate District G
AK Senate District H	Alaska;AK Senate District H
AK Senate District I	Alaska;AK Senate District I
AK Senate District J	Alaska;AK Senate District J
AK Senate District K	Alaska;AK Senate District K
AK Senate District L	Alaska;AK Senate District L
AK Senate District M	Alaska;AK Senate District M
AK Senate District N	Alaska;AK Senate District N
AK Senate District O	Alaska;AK Senate District O
AK Senate District P	Alaska;AK Senate District P
AK Senate District Q	Alaska;AK Senate District Q
AK Senate District R	Alaska;AK Senate District R
AK Senate District S	Alaska;AK Senate District S
AK Senate District T	Alaska;AK Senate District T

US House AK District 1	Alaska;US House AK District 1
US President (AK)	Alaska
AK Governor	Alaska
US Senate AK	Alaska
AK Attorney General	Alaska
AK Lieutenant Governor	Alaska
AK Treasurer	Alaska
AK Secretary of State	Alaska
