Name	ReportingUnitType
Alaska;AK House District 1	state-house
Alaska;AK House District 2	state-house
Alaska;AK House District 3	state-house
Alaska;AK House District 4	state-house
Alaska;AK House District 5	state-house
Alaska;AK House District 6	state-house
Alaska;AK House District 7	state-house
Alaska;AK House District 8	state-house
Alaska;AK House District 9	state-house
Alaska;AK House District 10	state-house
Alaska;AK House District 11	state-house
Alaska;AK House District 12	state-house
Alaska;AK House District 13	state-house
Alaska;AK House District 14	state-house
Alaska;AK House District 15	state-house
Alaska;AK House District 16	state-house
Alaska;AK House District 17	state-house
Alaska;AK House District 18	state-house
Alaska;AK House District 19	state-house
Alaska;AK House District 20	state-house
Alaska;AK House District 21	state-house
Alaska;AK House District 22	state-house
Alaska;AK House District 23	state-house
Alaska;AK House District 24	state-house
Alaska;AK House District 25	state-house
Alaska;AK House District 26	state-house
Alaska;AK House District 27	state-house
Alaska;AK House District 28	state-house
Alaska;AK House District 29	state-house
Alaska;AK House District 30	state-house
Alaska;AK House District 31	state-house
Alaska;AK House District 32	state-house
Alaska;AK House District 33	state-house
Alaska;AK House District 34	state-house
Alaska;AK House District 35	state-house
Alaska;AK House District 36	state-house
Alaska;AK House District 37	state-house
Alaska;AK House District 38	state-house
Alaska;AK House District 39	state-house
Alaska;AK House District 40	state-house
Alaska;AK Senate District 1	state-senate
Alaska;AK Senate District 2	state-senate
Alaska;AK Senate District 3	state-senate
Alaska;AK Senate District 4	state-senate
Alaska;AK Senate District 5	state-senate
Alaska;AK Senate District 6	state-senate
Alaska;AK Senate District 7	state-senate
Alaska;AK Senate District 8	state-senate
Alaska;AK Senate District 9	state-senate
Alaska;AK Senate District 10	state-senate
Alaska;AK Senate District 11	state-senate
Alaska;AK Senate District 12	state-senate
Alaska;AK Senate District 13	state-senate
Alaska;AK Senate District 14	state-senate
Alaska;AK Senate District 15	state-senate
Alaska;AK Senate District 16	state-senate
Alaska;AK Senate District 17	state-senate
Alaska;AK Senate District 18	state-senate
Alaska;AK Senate District 19	state-senate
Alaska;AK Senate District 20	state-senate
Alaska;AK Senate District 21	state-senate
Alaska;AK Senate District 22	state-senate
Alaska;AK Senate District 23	state-senate
Alaska;AK Senate District 24	state-senate
Alaska;AK Senate District 25	state-senate
Alaska;AK Senate District 26	state-senate
Alaska;AK Senate District 27	state-senate
Alaska;AK Senate District 28	state-senate
Alaska;AK Senate District 29	state-senate
Alaska;AK Senate District 30	state-senate
Alaska;AK Senate District 31	state-senate
Alaska;AK Senate District 32	state-senate
Alaska;AK Senate District 33	state-senate
Alaska;AK Senate District 34	state-senate
Alaska;AK Senate District 35	state-senate
Alaska;AK Senate District 36	state-senate
Alaska;AK Senate District 37	state-senate
Alaska;AK Senate District 38	state-senate
Alaska;AK Senate District 39	state-senate
Alaska;AK Senate District 40	state-senate
Alaska;US House AK District 1	congressional
Alaska	state
