cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Al Gore	Al Gore
Candidate	Alexander, Ed	Alexander, Ed
Candidate	Baisden James	Baisden James'
Candidate	Baker Thomas C.	Baker Thomas C.'
Candidate	Baker, Thomas C.	Baker Thomas C. - R
Candidate	Barack Obama	Barack Obama
Candidate	Batten, Bruce T.	Batten Bruce T. - D
Candidate	Bauer Paul A.	Bauer Paul A.'
Candidate	Bauer, Paul A.	Bauer Paul A. - R
Candidate	Becker Leslie	Becker Leslie'
Candidate	Becker, Leslie	Becker Leslie - R
Candidate	Beltrami, Vince	Beltrami, Vince
Candidate	Birch, Chris	Birch, Chris
Candidate	Bishop, Click	Bishop, Click
Candidate	Blatchford, Edgar	Blatchford Edgar - D
Candidate	Borbridge, Harold	Borbridge Harold - R
Candidate	Brock Pierce	Pierce Brock / Ballard Karla'
Candidate	Burton Jamin L.	Burton Jamin L.'
Candidate	Butler, Shawn A.	Butler, Shawn A.
Candidate	Cacy Roselynn	Cacy Roselynn'
Candidate	Cacy, Roselynn	Cacy Roselynn - D
Candidate	Canitz James A. Sr.	Canitz James A. Sr.'
Candidate	Canitz, James A. Sr.	Canitz James A. Sr. - D
Candidate	Carlson Vernon J.	Carlson Vernon J.'
Candidate	Carpenter Benjamin E.	Carpenter Benjamin E.'
Candidate	Carpenter, Benjamin	Carpenter Benjamin E. - R
Candidate	Carpenter, Benjamin	Carpenter, Benjamin
Candidate	Cason, Sam	Cason, Sam
Candidate	Castle, Darrell L.	Castle, Darrell L.
Candidate	Chenault, Charles M.	Chenault, Charles M.
Candidate	Chesbro, James L.	Chesbro, James L.
Candidate	Christiansen Gavin S.	Christiansen Gavin S.'
Candidate	Claman Matt	Claman Matt'
Candidate	Claman, Matt	Claman Matt - D
Candidate	Claman, Matt	Claman, Matt
Candidate	Clift Carolyn C. 'Care'	Clift Carolyn C. 'Care''
Candidate	Clinton, Hillary	Clinton, Hillary
Candidate	Coghill, John B. Jr.	Coghill John B. Jr. - R
Candidate	Coghill, John B. Jr.	Coghill, John B. Jr.
Candidate	Colbert, Bennie D.	Colbert Bennie D. - D
Candidate	Cooper Jim	Cooper Jim'
Candidate	Cooper Kelly	Cooper Kelly'
Candidate	Costello, Mia	Costello, Mia
Candidate	Cote, Shirley A.	Cote, Shirley A.
Candidate	Cox, John R. 'Bear'	Cox John R. 'Bear' - R
Candidate	Craig, Breck A.	Craig, Breck A.
Candidate	Crawford, Harry T. J	Crawford, Harry T. J
Candidate	Crawford, Jim	Crawford, Jim
Candidate	Cronk Mike	Cronk Mike'
Candidate	Cronk, Mike	Cronk Mike - R
Candidate	Cumings, Chris C.	Cumings Chris C. - N
Candidate	César J Blanco	CãSar J Blanco
Candidate	Dahlstrom, Nancy A.	Dahlstrom, Nancy A.
Candidate	Dale Paul D.	Dale Paul D.'
Candidate	Darden, Dustin	Darden Dustin T. - A
Candidate	Darden, Dustin	Darden, Dustin
Candidate	Darden, Dustin	Darden, Dustin T.
Candidate	Roque 'Rocky' De La Fuente	De La Fuente, Roque
Candidate	Deacon, Darren M.	Deacon, Darren M.
Candidate	Dimond, Chris	Dimond, Chris
Candidate	Dodge, Kathryn E.	Dodge, Kathryn E.
Candidate	Don Blankenship	Blankenship Don / Mohr William'
Candidate	Donald J. Trump	Donald Trump
Candidate	Donald J. Trump	Trump Donald J. / Pence Michael R.'
Candidate	Donald J. Trump	Trump, Donald J.
Candidate	Dougherty, Connie	Dougherty Connie - R
Candidate	Dougherty, Connie R.	Dougherty, Connie R.
Candidate	Drummond Harriet A.	Drummond Harriet A.'
Candidate	Drummond, Harriet A.	Drummond Harriet A. - D
Candidate	Drummond, Harriet A.	Drummond, Harriet A.
Candidate	Dunleavy	Dunleavy/Meyer
Candidate	Duplantis, Stephen J.	Duplantis Stephen J. - R
Candidate	Eads Evan A.	Eads Evan A.'
Candidate	Eastman David	Eastman David'
Candidate	Eastman, David	Eastman David - R
Candidate	Eastman, David	Eastman, David
Candidate	Edgmon Bryce	Edgmon Bryce'
Candidate	Edgmon, Bryce	Edgmon Bryce - U
Candidate	Edgmon, Bryce	Edgmon, Bryce E.
Candidate	Etheridge, Don R.	Etheridge, Don R.
Candidate	Fansler, Zach	Fansler, Zach
Candidate	Faye-Brazel, Patrici	Faye-Brazel, Patrici
Candidate	Ferguson Elizabeth	Ferguson Elizabeth'
Candidate	Ferguson, Elizabeth	Ferguson Elizabeth - D
Candidate	Fetta, Alex	Fetta Alex - R
Candidate	Fields William Z. 'Zack'	Fields William Z. 'Zack''
Candidate	Fields, Duncan	Fields, Duncan
Candidate	Fields, William Z.	Fields, William Z.
Candidate	Fields, William Z. 'Zack'	Fields, William Z. 'Zack'
Candidate	Finkenbinder, Sheila	Finkenbinder, Sheila
Candidate	Fish, Mark	Fish, Mark
Candidate	Fletcher Benjamin R.	Fletcher Benjamin R.'
Candidate	Foster Neal W.	Foster Neal W.'
Candidate	Foster, Neal W.	Foster Neal W. - D
Candidate	Foster, Neal W.	Foster, Neal W.
Candidate	Franks Lyn D.	Franks Lyn D.'
Candidate	Franks, Lyn D.	Franks Lyn D. - D
Candidate	Franks, Lyn D.	Franks, Lyn D.
Candidate	Gaiser Madeleine	Gaiser Madeleine'
Candidate	Gaiser, Madeleine	Gaiser Madeleine - R
Candidate	Galvin Alyse S.	Galvin Alyse S.'
Candidate	Galvin, Alyse S.	Galvin Alyse S. - N
Candidate	Galvin, Alyse S.	Galvin, Alyse S.
Candidate	Gara, Les S.	Gara, Les S.
Candidate	Gattis, Lynn	Gattis Lynn - R
Candidate	George W. Bush	George W. Bush
Candidate	Gianoutsos, Ted	Gianoutsos, Ted
Candidate	Giessel, Catherine A	Giessel, Catherine A
Candidate	Giessel, Cathy	Giessel Cathy - R
Candidate	Gillespie, David M.	Gillespie, David M.
Candidate	Gillham Ronald D. 'Ron'	Gillham Ronald D. 'Ron''
Candidate	Gillham, Ronald D. 'Ron'	Gillham, Ronald D. 'Ron'
Candidate	Gillis Mel	Gillis Mel'
Candidate	Gillis, Mel	Gillis Mel - R
Candidate	Goode, Pamela	Goode, Pamela
Candidate	Gordon, Michael W.	Gordon, Michael W.
Candidate	Gray, Danny	Gray Danny - N
Candidate	Gray-Jackson, Elvi	Gray-Jackson, Elvi
Candidate	Grenn, Jason S.	Grenn, Jason S.
Candidate	Gross Al	Gross Al'
Candidate	Gross, Al	Gross Al - N
Candidate	Guttenberg, David	Guttenberg, David
Candidate	Hackbarth Andrea L.	Hackbarth Andrea L.'
Candidate	Hackbarth, Andrea L.	Hackbarth Andrea L. - D
Candidate	Hackenmueller, Joe	Hackenmueller, Joe
Candidate	Hadley, Don	Hadley, Don
Candidate	Hale, Tim	Hale, Tim
Candidate	Hannan Sara	Hannan Sara'
Candidate	Hannan, Sara	Hannan Sara - D
Candidate	Hannan, Sara	Hannan, Sara
Candidate	Harris, Dennis P.	Harris, Dennis P.
Candidate	Hartley Alma N.	Hartley Alma N.'
Candidate	Hartley, Alma N.	Hartley Alma N. - D
Candidate	Heikes, Gerald L. 'Jer'	Heikes, Gerald L. 'Jer'
Candidate	Henslee Katherine J. 'Kathy'	Henslee Katherine J. 'Kathy''
Candidate	Henslee, Katherine J. 'Kathy'	Henslee, Katherine J. 'Kathy'
Candidate	Hibler, William 'Bill'	Hibler, William 'Bill'
Candidate	Higgins, Pat	Higgins, Pat
Candidate	Hillary Clinton	Hillary Clinton
Candidate	Hinz, Lynette Moreno	Hinz Lynette Moreno - D
Candidate	Hnilicka Julia A.	Hnilicka Julia A.'
Candidate	Hnilicka, Julia A.	Hnilicka Julia A. - D
Candidate	Hoffman, Lyman F.	Hoffman, Lyman F.
Candidate	Holdaway, Truno N. L	Holdaway, Truno N. L
Candidate	Holland Roger	Holland Roger'
Candidate	Holland, Roger	Holland Roger - R
Candidate	Holleman Andy	Holleman Andy'
Candidate	Holmes Dan	Holmes Dan'
Candidate	Holmes, Dan	Holmes Dan - R
Candidate	Holmes, Doyle E.	Holmes, Doyle E.
Candidate	Hopkins Grier H.	Hopkins Grier H.'
Candidate	Hopkins, Grier	Hopkins, Grier
Candidate	Hopkins, Grier H.	Hopkins Grier H. - D
Candidate	Hopkins, Luke	Hopkins, Luke
Candidate	Howard, Lucas D. 'LD'	Howard, Lucas D. 'LD'
Candidate	Howe John Wayne	Howe John Wayne'
Candidate	Howe, John Wayne	Howe John Wayne - A
Candidate	Hughes Shelley	Hughes Shelley'
Candidate	Hughes, Shelley	Hughes Shelley - R
Candidate	Hughes, Shelley	Hughes, Shelley
Candidate	Hughes, Taryn M.	Hughes Taryn M. - D
Candidate	Huit Timothy R.	Huit Timothy R.'
Candidate	Huit, Timothy R.	Huit Timothy R. - A
Candidate	Huit, Timothy R.	Huit, Timothy R.
Candidate	Ivanoff, Tyler L.	Ivanoff Tyler L. - D
Candidate	Jackson, Sharon D.	Jackson Sharon D. - R
Candidate	James G. 'Jesse Ventura' Janos	Janos James G. 'Jesse Ventura' / McKinney Cynthia'
Candidate	Jeffers, Stephany	Jeffers Stephany - U
Candidate	Jeffers, Stephany	Jeffers, Stephany
Candidate	Jo Jorgensen	Jorgensen Jo / Cohen Jeremy 'Spike''
Candidate	John Kerry	John Kerry
Candidate	John McCain	John Mccain
Candidate	Johnson Bill	Johnson Bill'
Candidate	Johnson Carl	Johnson Carl'
Candidate	Johnson DeLena	Johnson DeLena'
Candidate	Johnson, Bill	Johnson Bill - D
Candidate	Johnson, Bill	Johnson, Bill
Candidate	Johnson, Carl	Johnson Carl - D
Candidate	Johnson, DeLena	Johnson, DeLena
Candidate	Johnson, DeLena M.	Johnson, DeLena M.
Candidate	Johnson, Delena	Johnson Delena - R
Candidate	Johnson, Gary	Johnson, Gary
Candidate	Johnson, Tom	Johnson, Tom
Candidate	Johnston, Jennifer B	Johnston, Jennifer B
Candidate	Johnston, Jennifer B.	Johnston Jennifer B. - R
Candidate	Jones, Gregory I.	Jones, Gregory I.
Candidate	Joseph R. Biden	Biden Joseph R. Jr. / Harris Kamala D.'
Candidate	Josephson Andrew L. 'Andy'	Josephson Andrew L. 'Andy''
Candidate	Josephson, Andrew L.	Josephson, Andrew L.
Candidate	Josephson, Andrew L. 'Andy'	Josephson, Andrew L. 'Andy'
Candidate	Kastner, Kevin D.	Kastner, Kevin D.
Candidate	Katelnikoff-Lester	Katelnikoff-Lester
Candidate	Kaufman James D.	Kaufman James D.'
Candidate	Kaufman, James D.	Kaufman James D. - R
Candidate	Kawasaki, Scott	Kawasaki, Scott
Candidate	Kawasaki, Scott J.	Kawasaki, Scott J.
Candidate	Kay, Susan	Kay, Susan
Candidate	Kelly, Pete	Kelly, Pete
Candidate	Keppel Willy	Keppel Willy'
Candidate	Kiehl, Jesse	Kiehl, Jesse
Candidate	Kimp, Danyelle D.	Kimp, Danyelle D.
Candidate	King Edward M. 'Ed'	King Edward M. 'Ed''
Candidate	Kito, Sam S. III	Kito, Sam S. III
Candidate	Knopp, Gary A.	Knopp Gary A. - R
Candidate	Knopp, Gary A.	Knopp, Gary A.
Candidate	Kohlhaas Scott A.	Kohlhaas Scott A.'
Candidate	Kopp, Charles M.	Kopp, Charles M.
Candidate	Kopp, Chuck M.	Kopp Chuck M. - R
Candidate	Kreiss-Tomkins Jonathan S.	Kreiss-Tomkins Jonathan S.'
Candidate	Kreiss-Tomkins, Jona	Kreiss-Tomkins, Jona
Candidate	Kreiss-Tomkins, Jonathan S.	Kreiss-Tomkins Jonathan S. - D
Candidate	Kurber Keith	Kurber Keith'
Candidate	Kurber, Keith	Kurber Keith - R
Candidate	Kurka Christopher	Kurka Christopher'
Candidate	Kurka, Christopher	Kurka Christopher - R
Candidate	LaFrance Suzanne M.	LaFrance Suzanne M.'
Candidate	Lamb Thomas	Lamb Thomas'
Candidate	Lamb, Thomas	Lamb Thomas - N
Candidate	Lamkin, Tim	Lamkin, Tim
Candidate	Land, Jason T.	Land, Jason T.
Candidate	Largent Lynette A.	Largent Lynette A.'
Candidate	Largent, Lynette A.	Largent Lynette A. - R
Candidate	Lawrence, Van	Lawrence, Van
Candidate	LeBon, Barton S.	LeBon, Barton S.
Candidate	LeDoux, Gabrielle	LeDoux, Gabrielle
Candidate	LeDoux, Gabrielle R. 'Gabby'	LeDoux, Gabrielle R. 'Gabby'
Candidate	Lebon Barton S. 'Bart'	Lebon Barton S. 'Bart''
Candidate	Lebon, Barton S. 'Bart'	Lebon, Barton S. 'Bart'
Candidate	Lee, Amber M.	Lee, Amber M.
Candidate	Lee, Huhnkie	Lee Huhnkie - R
Candidate	Lees, Adam S.	Lees Adam S. - D
