cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	AS House District 1	District No. 1 - Manu'a
CandidateContest	AS House District 2	District No. 2 - Manu'a
CandidateContest	AS House District 3	District NO. 3 - Vaifanua
CandidateContest	AS House District 4	District NO. 4 - Saole
CandidateContest	AS House District 5	District NO. 5 - Sua # 1
CandidateContest	AS House District 6	District NO. 6 - Sua # 2
CandidateContest	AS House District 7	District No. 7 - Maoputasi # 1
CandidateContest	AS House District 7	District No. 7 Maoputasi # 1
CandidateContest	AS House District 8	District No. 8 - Maoputasi # 2
CandidateContest	AS House District 9	District No. 9 - Maoputasi # 3
CandidateContest	AS House District 10	District No. 10 - Maoputasi # 4
CandidateContest	AS House District 11	District No. 11 - Maoputasi # 5
CandidateContest	AS House District 12	District No. 12 - Ituau
CandidateContest	AS House District 13	District No. 13 - Fofo
CandidateContest	AS House District 13	District No. 13 Fofo
CandidateContest	AS House District 14	District No. 14 - Alataua
CandidateContest	AS House District 15	District No. 15 - Tualauta
CandidateContest	AS House District 16	District No. 16 - Tualautai
CandidateContest	AS House District 17	District No. 17 - Leasina
CandidateContest	US President (AS)	US President (AS)
CandidateContest	AS Governor	AS Governor
CandidateContest	US Senate AS	US Senate AS
CandidateContest	AS Attorney General	AS Attorney General
CandidateContest	AS Lieutenant Governor	AS Lieutenant Governor
CandidateContest	AS Treasurer	AS Treasurer
CandidateContest	AS Secretary of State	AS Secretary of State
Election	2020 General	2020 General
Election	2020 Primary	2020 Primary
Election	2018 General	2018 General
Election	2016 General	2016 General
Party	Democratic Party	Democratic Party
Party	Republican Party	Republican Party
Party	Green Party	Green Party
Party	Libertarian Party	Libertarian Party
Party	Independent Party	IND
Party	Nonpartisan Party	NP
Party	Democratic Party	DEM
Party	Republican Party	REP
ReportingUnit	American Samoa;AS House District 1	American Samoa;AS House District 1
ReportingUnit	American Samoa;AS House District 2	American Samoa;AS House District 2
ReportingUnit	American Samoa;AS House District 3	American Samoa;AS House District 3
ReportingUnit	American Samoa;AS House District 4	American Samoa;AS House District 4
ReportingUnit	American Samoa;AS House District 5	American Samoa;AS House District 5
ReportingUnit	American Samoa;AS House District 6	American Samoa;AS House District 6
ReportingUnit	American Samoa;AS House District 7	American Samoa;AS House District 7
ReportingUnit	American Samoa;AS House District 8	American Samoa;AS House District 8
ReportingUnit	American Samoa;AS House District 9	American Samoa;AS House District 9
ReportingUnit	American Samoa;AS House District 10	American Samoa;AS House District 10
ReportingUnit	American Samoa;AS House District 11	American Samoa;AS House District 11
ReportingUnit	American Samoa;AS House District 12	American Samoa;AS House District 12
ReportingUnit	American Samoa;AS House District 13	American Samoa;AS House District 13
ReportingUnit	American Samoa;AS House District 14	American Samoa;AS House District 14
ReportingUnit	American Samoa;AS House District 15	American Samoa;AS House District 15
ReportingUnit	American Samoa;AS House District 16	American Samoa;AS House District 16
ReportingUnit	American Samoa;AS House District 17	American Samoa;AS House District 17
ReportingUnit	American Samoa;District of Manu'a;Dist #1 - Manu'a	Dist #1 - Manu'a
ReportingUnit	American Samoa;District of Manu'a;Dist #2 - Manu'a	Dist #2 - Manu'a
ReportingUnit	American Samoa;Eastern District;Dist #3 - Vaifanua	Dist #3 - Vaifanua
ReportingUnit	American Samoa;Eastern District;Dist #4 - Saole	Dist #4 - Saole
ReportingUnit	American Samoa;Eastern District;Dist #5 - Sua No. 1	Dist #5 - Sua No. 1
ReportingUnit	American Samoa;Eastern District;Dist #6 - Sua No. 2	Dist #6 - Sua No. 2
ReportingUnit	American Samoa;Eastern District;Dist #7 - Maoputasi No. 1	Dist #7 - Maoputasi No. 1
ReportingUnit	American Samoa;Eastern District;Dist #8 - Maoputasi No. 2	Dist #8 - Maoputasi No. 2
ReportingUnit	American Samoa;Eastern District;Dist #9 - Maoputasi No. 3	Dist #9 - Maoputasi No. 3
ReportingUnit	American Samoa;Eastern District;Dist #10 - Maoputasi No. 4	Dist #10 - Maoputasi No. 4
ReportingUnit	American Samoa;Eastern District;Dist #11 - Maoputasi No. 5	Dist #11 - Maoputasi No. 5
ReportingUnit	American Samoa;Eastern District;Dist #12 - Ituau	Dist #12 - Ituau
ReportingUnit	American Samoa;Western District;Dist #13 - Fofo	Dist #13 - Fofo
ReportingUnit	American Samoa;Western District;Dist #14 - Alataua	Dist #14 - Alataua
ReportingUnit	American Samoa;Western District;Dist #15 - Tualauta	Dist #15 - Tualauta
ReportingUnit	American Samoa;Western District;Dist #16 - Tualatai	Dist #16 - Tualatai
ReportingUnit	American Samoa;Western District;Dist #17 - Leasina	Dist #17 - Leasina
ReportingUnit	American Samoa;AS House District 1	District No. 1 - Manu'a
ReportingUnit	American Samoa;AS House District 2	District No. 2 - Manu'a
ReportingUnit	American Samoa;AS House District 3	District NO. 3 - Vaifanua
ReportingUnit	American Samoa;AS House District 4	District NO. 4 - Saole
ReportingUnit	American Samoa;AS House District 5	District NO. 5 - Sua # 1
ReportingUnit	American Samoa;AS House District 6	District NO. 6 - Sua # 2
ReportingUnit	American Samoa;AS House District 7	District No. 7 - Maoputasi # 1
ReportingUnit	American Samoa;AS House District 7	District No. 7 Maoputasi # 1
ReportingUnit	American Samoa;AS House District 8	District No. 8 - Maoputasi # 2
ReportingUnit	American Samoa;AS House District 9	District No. 9 - Maoputasi # 3
ReportingUnit	American Samoa;AS House District 10	District No. 10 - Maoputasi # 4
ReportingUnit	American Samoa;AS House District 11	District No. 11 - Maoputasi # 5
ReportingUnit	American Samoa;AS House District 12	District No. 12 - Ituau
ReportingUnit	American Samoa;AS House District 13	District No. 13 - Fofo
ReportingUnit	American Samoa;AS House District 13	District No. 13 Fofo
ReportingUnit	American Samoa;AS House District 14	District No. 14 - Alataua
ReportingUnit	American Samoa;AS House District 15	District No. 15 - Tualauta
ReportingUnit	American Samoa;AS House District 16	District No. 16 - Tualautai
ReportingUnit	American Samoa;AS House District 17	District No. 17 - Leasina
ReportingUnit	American Samoa;US House AS District 1	American Samoa;US House AS District 1
ReportingUnit	American Samoa	American Samoa
ReportingUnit	American Samoa;(no district);Central Office - Swains Island	Central Office - Swains Island
Candidate	Aumua Amata	Aumua Amata
Candidate	Meleagi Suitonu-Chapman	Meleagi Suitonu-Chapman
Candidate	Oreta Tufaga-Mapu Crichton	Oreta Tufaga-Mapu Crichton
Candidate	Gaoteote Palaie Tofau	Gaoteote/Fai'ivae
Candidate	I’aulualo Fa’afetai Talia	I'aulualo/Tapaau
Candidate	Lemanu Palepoi Mauga	Lemanu/Talauega
Candidate	Nua Sao	Nua/Satele
Candidate	ALUMAMALU ALE SEƒÄ FILOIALI'I	ALUMAMALU ALE SEƒÄ FILOIALI'I
Candidate	Fetui F Fetui Jr.	Fetui F Fetui Jr.
Candidate	Filioalii Le'Aai Safulu Filioalii Jr	Filioalii Le'Aai Safulu Filioalii Jr
Candidate	Mapu S Jamias	Mapu S Jamias
Candidate	Vesi Talalelei Fautanu Jr.	Vesi Talalelei Fautanu Jr.
Candidate	Sualevai Nofoaiga Sualevai	Sualevai Nofoaiga Sualevai
Candidate	Tiaoalii Fauagiga T Sai	Tiaoalii Fauagiga T Sai
Candidate	Lavea Fatulegae'E Palepoi Mauga	Lavea Fatulegae'E Palepoi Mauga
Candidate	Tupua Shawn Va'A	Tupua Shawn Va'A
Candidate	Suaese 'Pooch' Ta'Ase	Suaese 'Pooch' Ta'Ase
Candidate	Titiali'I Kitara Vaiau	Titiali'I Kitara Vaiau
Candidate	VA'ASA SIMANU EdD	VA'ASA SIMANU EdD
Candidate	Fa'Alae Lauatua'A Koneseti Tunupopo	Fa'Alae Lauatua'A Koneseti Tunupopo
Candidate	Fialupe Felila Fiaui Lutu	Fialupe Felila Fiaui Lutu
Candidate	Lua'Itaua Gene Pan	Lua'Itaua Gene Pan
Candidate	Avagafono Tuavao Vaimaga Maiava	Avagafono Tuavao Vaimaga Maiava
Candidate	Loia Gutu	Loia Gutu
Candidate	Tuika Tuika	Tuika Tuika
Candidate	Vailoata Eteuati Amituana'I	Vailoata Eteuati Amituana'I
Candidate	Agalelei Latu Fatuesi	Agalelei Latu Fatuesi
Candidate	Ifopo Maugaoali'I Sipa Anoa'I	Ifopo Maugaoali'I Sipa Anoa'I
Candidate	Vailiuama Steve Leasiolagi	Vailiuama Steve Leasiolagi
Candidate	Wayne Malaetasi Ames	Wayne Malaetasi Ames
Candidate	Ve'Evalu Meauta Lauoi Mageo	Ve'Evalu Meauta Lauoi Mageo
Candidate	Vesia'I Poyer S Samuelu	Vesia'I Poyer S Samuelu
Candidate	Tapai Alailepule Benjamin Vaivao	Tapai Alailepule Benjamin Vaivao
Candidate	Tina Faisiotamo'I Vivao Ioane	Tina Faisiotamo'I Vivao Ioane
Candidate	Vaetasi Tu'Umolimoli S. Moliga	Vaetasi Tu'Umolimoli S. Moliga
Candidate	Faimealelei Anthony Fu'E Allen	Faimealelei Anthony Fu'E Allen
Candidate	Sauafea Sonny Sauafea	Sauafea Sonny Sauafea
Candidate	Andrew Earnest Thompson	Andrew Earnest Thompson
Candidate	Logoituau Mark Timoteo Atafua	Logoituau Mark Timoteo Atafua
Candidate	Manumaua Wayne Wilson	Manumaua Wayne Wilson
Candidate	SALA SATAUA Dr. MATAESE SAMUELU	SALA SATAUA Dr. MATAESE SAMUELU
Candidate	Andra Tereise Samoa	Andra Tereise Samoa
Candidate	Puletumalo Dick S. Koko	Puletumalo Dick S. Koko
Candidate	Andrew Mulivai Autele	Andrew Mulivai Autele
Candidate	Ethan Lake	Ethan Lake
Candidate	Faleomavaega Nicholas King Jr	Faleomavaega Nicholas King Jr
Candidate	Savali Talavou Ale	Savali Talavou Ale
Candidate	Alex M. Sene. Jr	Alex M. Sene. Jr
Candidate	Bartley Papali'I Su'A Lucia	Bartley Papali'I Su'A Lucia
Candidate	Larry Simou Sanitoa	Larry Simou Sanitoa
Candidate	Saili Sione Samoa	Saili Sione Samoa
Candidate	Samuel Ioka Ale Meleisea	Samuel Ioka Ale Meleisea
Candidate	Vui Florence Vaili Saulo	Vui Florence Vaili Saulo
Candidate	Manavaalofa Tutuila Manase	Manavaalofa Tutuila Manase
Candidate	Rachael Manning Key	Rachael Manning Key
Candidate	TIMUSƒÄ TINI C. LAM YUEN	TIMUSƒÄ TINI C. LAM YUEN
Candidate	Ape Mike Asifoa	Ape Mike Asifoa
Candidate	Gafatasi Afalava	Gafatasi Afalava
CountItemType	total	TOTAL
CountItemType	absentee	absentee
CountItemType	absentee-mail	absentee by mail
CountItemType	absentee-mail	absentee mail
CountItemType	absentee or early	absentee/early vote
CountItemType	early	advance in person
CountItemType	early	early
CountItemType	early	early vote
CountItemType	election-day	election
CountItemType	election-day	election day
CountItemType	election-day	electon day
CountItemType	election-day	machine
CountItemType	absentee-mail	mail ballots
CountItemType	early	one stop
CountItemType	provisional	provisional
CountItemType	total	total
CandidateContest	AS Attorney General	AS;Attorney General;statewide
