Name	ElectionDistrict
AZ House District 1	Arizona;AZ House District 1
AZ House District 2	Arizona;AZ House District 2
AZ House District 3	Arizona;AZ House District 3
AZ House District 4	Arizona;AZ House District 4
AZ House District 5	Arizona;AZ House District 5
AZ House District 6	Arizona;AZ House District 6
AZ House District 7	Arizona;AZ House District 7
AZ House District 8	Arizona;AZ House District 8
AZ House District 9	Arizona;AZ House District 9
AZ House District 10	Arizona;AZ House District 10
AZ House District 11	Arizona;AZ House District 11
AZ House District 12	Arizona;AZ House District 12
AZ House District 13	Arizona;AZ House District 13
AZ House District 14	Arizona;AZ House District 14
AZ House District 15	Arizona;AZ House District 15
AZ House District 16	Arizona;AZ House District 16
AZ House District 17	Arizona;AZ House District 17
AZ House District 18	Arizona;AZ House District 18
AZ House District 19	Arizona;AZ House District 19
AZ House District 20	Arizona;AZ House District 20
AZ House District 21	Arizona;AZ House District 21
AZ House District 22	Arizona;AZ House District 22
AZ House District 23	Arizona;AZ House District 23
AZ House District 24	Arizona;AZ House District 24
AZ House District 25	Arizona;AZ House District 25
AZ House District 26	Arizona;AZ House District 26
AZ House District 27	Arizona;AZ House District 27
AZ House District 28	Arizona;AZ House District 28
AZ House District 29	Arizona;AZ House District 29
AZ House District 30	Arizona;AZ House District 30
AZ House District 31	Arizona;AZ House District 31
AZ House District 32	Arizona;AZ House District 32
AZ House District 33	Arizona;AZ House District 33
AZ House District 34	Arizona;AZ House District 34
AZ House District 35	Arizona;AZ House District 35
AZ House District 36	Arizona;AZ House District 36
AZ House District 37	Arizona;AZ House District 37
AZ House District 38	Arizona;AZ House District 38
AZ House District 39	Arizona;AZ House District 39
AZ House District 40	Arizona;AZ House District 40
AZ House District 41	Arizona;AZ House District 41
AZ House District 42	Arizona;AZ House District 42
AZ House District 43	Arizona;AZ House District 43
AZ House District 44	Arizona;AZ House District 44
AZ House District 45	Arizona;AZ House District 45
AZ House District 46	Arizona;AZ House District 46
AZ House District 47	Arizona;AZ House District 47
AZ House District 48	Arizona;AZ House District 48
AZ House District 49	Arizona;AZ House District 49
AZ House District 50	Arizona;AZ House District 50
AZ House District 51	Arizona;AZ House District 51
AZ House District 52	Arizona;AZ House District 52
AZ House District 53	Arizona;AZ House District 53
AZ House District 54	Arizona;AZ House District 54
AZ House District 55	Arizona;AZ House District 55
AZ House District 56	Arizona;AZ House District 56
AZ House District 57	Arizona;AZ House District 57
AZ House District 58	Arizona;AZ House District 58
AZ House District 59	Arizona;AZ House District 59
AZ House District 60	Arizona;AZ House District 60
AZ Senate District 1	Arizona;AZ Senate District 1
AZ Senate District 2	Arizona;AZ Senate District 2
AZ Senate District 3	Arizona;AZ Senate District 3
AZ Senate District 4	Arizona;AZ Senate District 4
AZ Senate District 5	Arizona;AZ Senate District 5
AZ Senate District 6	Arizona;AZ Senate District 6
AZ Senate District 7	Arizona;AZ Senate District 7
AZ Senate District 8	Arizona;AZ Senate District 8
AZ Senate District 9	Arizona;AZ Senate District 9
AZ Senate District 10	Arizona;AZ Senate District 10
AZ Senate District 11	Arizona;AZ Senate District 11
AZ Senate District 12	Arizona;AZ Senate District 12
AZ Senate District 13	Arizona;AZ Senate District 13
AZ Senate District 14	Arizona;AZ Senate District 14
AZ Senate District 15	Arizona;AZ Senate District 15
AZ Senate District 16	Arizona;AZ Senate District 16
AZ Senate District 17	Arizona;AZ Senate District 17
AZ Senate District 18	Arizona;AZ Senate District 18
AZ Senate District 19	Arizona;AZ Senate District 19
AZ Senate District 20	Arizona;AZ Senate District 20
AZ Senate District 21	Arizona;AZ Senate District 21
AZ Senate District 22	Arizona;AZ Senate District 22
AZ Senate District 23	Arizona;AZ Senate District 23
AZ Senate District 24	Arizona;AZ Senate District 24
AZ Senate District 25	Arizona;AZ Senate District 25
AZ Senate District 26	Arizona;AZ Senate District 26
AZ Senate District 27	Arizona;AZ Senate District 27
AZ Senate District 28	Arizona;AZ Senate District 28
AZ Senate District 29	Arizona;AZ Senate District 29
AZ Senate District 30	Arizona;AZ Senate District 30
US House AZ District 1	Arizona;US House AZ District 1
US House AZ District 2	Arizona;US House AZ District 2
US House AZ District 3	Arizona;US House AZ District 3
US House AZ District 4	Arizona;US House AZ District 4
US House AZ District 5	Arizona;US House AZ District 5
US House AZ District 6	Arizona;US House AZ District 6
US House AZ District 7	Arizona;US House AZ District 7
US House AZ District 8	Arizona;US House AZ District 8
US House AZ District 9	Arizona;US House AZ District 9
US President (AZ)	Arizona
AZ Governor	Arizona
US Senate AZ	Arizona
AZ Corporation Commissioner	Arizona
AZ Attorney General	Arizona
AZ Lieutenant Governor	Arizona
AZ Treasurer	Arizona
AZ Secretary of State	Arizona
