Name	NumberElected	Office	PrimaryParty
AR House District 1	1	AR House District 1	
AR House District 2	1	AR House District 2	
AR House District 3	1	AR House District 3	
AR House District 4	1	AR House District 4	
AR House District 5	1	AR House District 5	
AR House District 6	1	AR House District 6	
AR House District 7	1	AR House District 7	
AR House District 8	1	AR House District 8	
AR House District 9	1	AR House District 9	
AR House District 10	1	AR House District 10	
AR House District 11	1	AR House District 11	
AR House District 12	1	AR House District 12	
AR House District 13	1	AR House District 13	
AR House District 14	1	AR House District 14	
AR House District 15	1	AR House District 15	
AR House District 16	1	AR House District 16	
AR House District 17	1	AR House District 17	
AR House District 18	1	AR House District 18	
AR House District 19	1	AR House District 19	
AR House District 20	1	AR House District 20	
AR House District 21	1	AR House District 21	
AR House District 22	1	AR House District 22	
AR House District 23	1	AR House District 23	
AR House District 24	1	AR House District 24	
AR House District 25	1	AR House District 25	
AR House District 26	1	AR House District 26	
AR House District 27	1	AR House District 27	
AR House District 28	1	AR House District 28	
AR House District 29	1	AR House District 29	
AR House District 30	1	AR House District 30	
AR House District 31	1	AR House District 31	
AR House District 32	1	AR House District 32	
AR House District 33	1	AR House District 33	
AR House District 34	1	AR House District 34	
AR House District 35	1	AR House District 35	
AR House District 36	1	AR House District 36	
AR House District 37	1	AR House District 37	
AR House District 38	1	AR House District 38	
AR House District 39	1	AR House District 39	
AR House District 40	1	AR House District 40	
AR House District 41	1	AR House District 41	
AR House District 42	1	AR House District 42	
AR House District 43	1	AR House District 43	
AR House District 44	1	AR House District 44	
AR House District 45	1	AR House District 45	
AR House District 46	1	AR House District 46	
AR House District 47	1	AR House District 47	
AR House District 48	1	AR House District 48	
AR House District 49	1	AR House District 49	
AR House District 50	1	AR House District 50	
AR House District 51	1	AR House District 51	
AR House District 52	1	AR House District 52	
AR House District 53	1	AR House District 53	
AR House District 54	1	AR House District 54	
AR House District 55	1	AR House District 55	
AR House District 56	1	AR House District 56	
AR House District 57	1	AR House District 57	
