Name	ReportingUnitType
Arkansas;AR House District 1	state-house
Arkansas;AR House District 2	state-house
Arkansas;AR House District 3	state-house
Arkansas;AR House District 4	state-house
Arkansas;AR House District 5	state-house
Arkansas;AR House District 6	state-house
Arkansas;AR House District 7	state-house
Arkansas;AR House District 8	state-house
Arkansas;AR House District 9	state-house
Arkansas;AR House District 10	state-house
Arkansas;AR House District 11	state-house
Arkansas;AR House District 12	state-house
Arkansas;AR House District 13	state-house
Arkansas;AR House District 14	state-house
Arkansas;AR House District 15	state-house
Arkansas;AR House District 16	state-house
Arkansas;AR House District 17	state-house
Arkansas;AR House District 18	state-house
Arkansas;AR House District 19	state-house
Arkansas;AR House District 20	state-house
Arkansas;AR House District 21	state-house
Arkansas;AR House District 22	state-house
Arkansas;AR House District 23	state-house
Arkansas;AR House District 24	state-house
Arkansas;AR House District 25	state-house
Arkansas;AR House District 26	state-house
Arkansas;AR House District 27	state-house
Arkansas;AR House District 28	state-house
Arkansas;AR House District 29	state-house
Arkansas;AR House District 30	state-house
Arkansas;AR House District 31	state-house
Arkansas;AR House District 32	state-house
Arkansas;AR House District 33	state-house
Arkansas;AR House District 34	state-house
Arkansas;AR House District 35	state-house
Arkansas;AR House District 36	state-house
Arkansas;AR House District 37	state-house
Arkansas;AR House District 38	state-house
Arkansas;AR House District 39	state-house
Arkansas;AR House District 40	state-house
Arkansas;AR House District 41	state-house
Arkansas;AR House District 42	state-house
Arkansas;AR House District 43	state-house
Arkansas;AR House District 44	state-house
Arkansas;AR House District 45	state-house
Arkansas;AR House District 46	state-house
Arkansas;AR House District 47	state-house
Arkansas;AR House District 48	state-house
Arkansas;AR House District 49	state-house
Arkansas;AR House District 50	state-house
Arkansas;AR House District 51	state-house
Arkansas;AR House District 52	state-house
Arkansas;AR House District 53	state-house
Arkansas;AR House District 54	state-house
Arkansas;AR House District 55	state-house
Arkansas;AR House District 56	state-house
Arkansas;AR House District 57	state-house
Arkansas;AR House District 58	state-house
Arkansas;AR House District 59	state-house
Arkansas;AR House District 60	state-house
Arkansas;AR House District 61	state-house
Arkansas;AR House District 62	state-house
Arkansas;AR House District 63	state-house
Arkansas;AR House District 64	state-house
Arkansas;AR House District 65	state-house
Arkansas;AR House District 66	state-house
Arkansas;AR House District 67	state-house
Arkansas;AR House District 68	state-house
Arkansas;AR House District 69	state-house
Arkansas;AR House District 70	state-house
Arkansas;AR House District 71	state-house
Arkansas;AR House District 72	state-house
Arkansas;AR House District 73	state-house
Arkansas;AR House District 74	state-house
Arkansas;AR House District 75	state-house
Arkansas;AR House District 76	state-house
Arkansas;AR House District 77	state-house
Arkansas;AR House District 78	state-house
Arkansas;AR House District 79	state-house
Arkansas;AR House District 80	state-house
Arkansas;AR House District 81	state-house
Arkansas;AR House District 82	state-house
Arkansas;AR House District 83	state-house
Arkansas;AR House District 84	state-house
Arkansas;AR House District 85	state-house
Arkansas;AR House District 86	state-house
Arkansas;AR House District 87	state-house
Arkansas;AR House District 88	state-house
Arkansas;AR House District 89	state-house
Arkansas;AR House District 90	state-house
Arkansas;AR House District 91	state-house
Arkansas;AR House District 92	state-house
Arkansas;AR House District 93	state-house
Arkansas;AR House District 94	state-house
Arkansas;AR House District 95	state-house
Arkansas;AR House District 96	state-house
Arkansas;AR House District 97	state-house
Arkansas;AR House District 98	state-house
Arkansas;AR House District 99	state-house
Arkansas;AR House District 100	state-house
Arkansas;AR Senate District 1	state-senate
Arkansas;AR Senate District 2	state-senate
Arkansas;AR Senate District 3	state-senate
Arkansas;AR Senate District 4	state-senate
Arkansas;AR Senate District 5	state-senate
Arkansas;AR Senate District 6	state-senate
Arkansas;AR Senate District 7	state-senate
Arkansas;AR Senate District 8	state-senate
Arkansas;AR Senate District 9	state-senate
Arkansas;AR Senate District 10	state-senate
Arkansas;AR Senate District 11	state-senate
Arkansas;AR Senate District 12	state-senate
Arkansas;AR Senate District 13	state-senate
Arkansas;AR Senate District 14	state-senate
Arkansas;AR Senate District 15	state-senate
Arkansas;AR Senate District 16	state-senate
Arkansas;AR Senate District 17	state-senate
Arkansas;AR Senate District 18	state-senate
Arkansas;AR Senate District 19	state-senate
Arkansas;AR Senate District 20	state-senate
Arkansas;AR Senate District 21	state-senate
Arkansas;AR Senate District 22	state-senate
Arkansas;AR Senate District 23	state-senate
Arkansas;AR Senate District 24	state-senate
Arkansas;AR Senate District 25	state-senate
Arkansas;AR Senate District 26	state-senate
Arkansas;AR Senate District 27	state-senate
Arkansas;AR Senate District 28	state-senate
Arkansas;AR Senate District 29	state-senate
Arkansas;AR Senate District 30	state-senate
Arkansas;AR Senate District 31	state-senate
Arkansas;AR Senate District 32	state-senate
Arkansas;AR Senate District 33	state-senate
Arkansas;AR Senate District 34	state-senate
Arkansas;AR Senate District 35	state-senate
Arkansas;US House AR District 1	congressional
Arkansas;US House AR District 2	congressional
Arkansas;US House AR District 3	congressional
Arkansas;US House AR District 4	congressional
Arkansas	state
Arkansas;Arkansas County	county
Arkansas;Ashley County	county
Arkansas;Baxter County	county
Arkansas;Benton County	county
Arkansas;Boone County	county
Arkansas;Bradley County	county
Arkansas;Calhoun County	county
Arkansas;Carroll County	county
Arkansas;Chicot County	county
Arkansas;Clark County	county
Arkansas;Clay County	county
Arkansas;Cleburne County	county
Arkansas;Cleveland County	county
Arkansas;Columbia County	county
Arkansas;Conway County	county
Arkansas;Craighead County	county
Arkansas;Crawford County	county
Arkansas;Crittenden County	county
Arkansas;Cross County	county
Arkansas;Dallas County	county
Arkansas;Desha County	county
Arkansas;Drew County	county
Arkansas;Faulkner County	county
Arkansas;Franklin County	county
Arkansas;Fulton County	county
Arkansas;Garland County	county
Arkansas;Grant County	county
Arkansas;Greene County	county
Arkansas;Hempstead County	county
Arkansas;Hot Spring County	county
Arkansas;Howard County	county
Arkansas;Independence County	county
Arkansas;Izard County	county
Arkansas;Jackson County	county
Arkansas;Jefferson County	county
Arkansas;Johnson County	county
Arkansas;Lafayette County	county
Arkansas;Lawrence County	county
Arkansas;Lee County	county
Arkansas;Lincoln County	county
Arkansas;Little River County	county
Arkansas;Logan County	county
Arkansas;Lonoke County	county
Arkansas;Madison County	county
Arkansas;Marion County	county
Arkansas;Miller County	county
Arkansas;Mississippi County	county
Arkansas;Monroe County	county
Arkansas;Montgomery County	county
Arkansas;Nevada County	county
Arkansas;Newton County	county
Arkansas;Ouachita County	county
Arkansas;Perry County	county
Arkansas;Phillips County	county
Arkansas;Pike County	county
Arkansas;Poinsett County	county
Arkansas;Polk County	county
Arkansas;Pope County	county
Arkansas;Prairie County	county
Arkansas;Pulaski County	county
Arkansas;Randolph County	county
Arkansas;Saline County	county
Arkansas;Scott County	county
Arkansas;Searcy County	county
Arkansas;Sebastian County	county
Arkansas;Sevier County	county
Arkansas;Sharp County	county
Arkansas;St Francis County	county
Arkansas;Stone County	county
Arkansas;Union County	county
Arkansas;Van Buren County	county
Arkansas;Washington County	county
Arkansas;White County	county
Arkansas;Woodruff County	county
Arkansas;Yell County	county
