cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureSelection	No	AGAINST
BallotMeasureSelection	Yes	FOR
Candidate	A.J. Anglin	A.J. Anglin
Candidate	AGAINST	AGAINST
Candidate	Adrienne Woods	Adrienne Woods
Candidate	Al Gore	AL GORE
Candidate	Alan Bruce Hughes	Alan Bruce Hughes
Candidate	Alderman Andy Hawkins	Alderman Andy Hawkins
Candidate	Alisa Blaize Dixon	Alisa Blaize Dixon
Candidate	Allen Simmons	Allen Simmons
Candidate	Amburr Drury	Amburr Drury
Candidate	Amy Dunn Johnson	Amy Dunn Johnson
Candidate	Amy Grimes	Amy Grimes
Candidate	Amy Klobuchar	Amy Klobuchar
Candidate	Amy Linder	Amy Linder
Candidate	Andrew 'Andy' Ballard	Andrew 'Andy' Ballard
Candidate	Andrew Coleman	Andrew Coleman
Candidate	Andrew Collins	Andrew Collins
Candidate	Andrew Collins	State Representative Andrew Collins
Candidate	Andrew Yang	Andrew Yang
Candidate	Anthony Bland	Anthony Bland
Candidate	Ashley Ewald	Ashley Ewald
Candidate	Ashley Hudson	Ashley Hudson
Candidate	Attorney General Leslie Rutledge	Attorney General Leslie Rutledge
Candidate	Auditor Andrea Lea	Auditor Andrea Lea
Candidate	Austin W. Jones	Austin W. Jones
Candidate	BIll Luther	BIll Luther
Candidate	Barack Obama	BARACK OBAMA
Candidate	Barbara Womack Webb	Barbara Womack Webb
Candidate	Bart Hester	Bart Hester
Candidate	Ben Gilmore	Ben Gilmore
Candidate	Bernie Sanders	Bernie Sanders
Candidate	Beth Wright	Beth Wright
Candidate	Bill Dunklin	Bill Dunklin
Candidate	Bill Weld	Bill Weld
Candidate	Bill Yutzy	Bill Yutzy
Candidate	Billy E. Blann	Billy E. Blann
Candidate	Billy Jack Gibson	Billy Jack Gibson
Candidate	Bob Thomas	Bob Thomas
Candidate	Bobbi Hicks	Bobbi Hicks
Candidate	Bobby Digby	Bobby Digby
Candidate	Bobby Neal	Bobby Neal
Candidate	Brandon Overly	Brandon Overly
Candidate	Breanne Davis	Senator Breanne Davis
Candidate	Brent Standridge	Brent Standridge
Candidate	Brian Carroll	Brian Carroll/Amar Patel
Candidate	Brian Hester	Brian Hester
Candidate	Brian Hogue	Brian Hogue
Candidate	Brian Johnson	Brian Johnson
Candidate	Brian S. Evans	State Representative Brian S. Evans
Candidate	Brock Pierce	Brock Pierce/Karla Ballard
Candidate	Bruce Maloch	Senator Bruce Maloch
Candidate	C.L. Gammon	C.L. Gammon/Phil Collins
Candidate	Caleb Harwell	Caleb Harwell
Candidate	Cameron Cooper	Representative Cameron Cooper
Candidate	Carla Fuller	Carla Fuller
Candidate	Carlton Wing	State Representative Carlton Wing
Candidate	Carol Crews	Carol Crews
Candidate	Carol Dalby	Representative Carol Dalby
Candidate	Casey D. Copeland	Casey D. Copeland
Candidate	Casey Tucker	Casey Tucker
Candidate	Catherine Palmer Dean	Catherine Palmer Dean
Candidate	Cecilia Dyer	Cecilia Dyer
Candidate	Celeste Williams	Celeste Williams
Candidate	Charles Beckham	Charles Beckham
Candidate	Chase Mangiapane	Chase Mangiapane
Candidate	Chase McDowell	Chase McDowell
Candidate	Cheryl E. Cochran-Wilson	Cheryl E. Cochran-Wilson
Candidate	Chintan Desai	Chintan Desai
Candidate	Chris Birch	Chris Birch
Candidate	Chris Jester	Chris Jester
Candidate	Chris Latimer	Chris Latimer
Candidate	Christia Jones	Christia Jones
Candidate	Christie Craig	Christie Craig
Candidate	Christine Horwart	Christine Horwart
Candidate	Christopher Ogburn	Christopher Ogburn
Candidate	Christopher Olson	Christopher Olson
Candidate	Cindy Crawford	Representative Cindy Crawford
Candidate	City Attorney Brent Houston	City Attorney Brent Houston
Candidate	City Attorney James A. Hamilton	City Attorney James A. Hamilton
Candidate	City Attorney Josh Farmer	City Attorney Josh Farmer
Candidate	Clarke Tucker	Clarke Tucker
Candidate	Clay Ford	Clay Ford
Candidate	Cliff Justice of the Peace Preston	Cliff Justice of the Peace Preston
Candidate	Clint Penzo	Representative Clint Penzo
Candidate	Cole Peck	Cole Peck
Candidate	Congressman French Hill	Congressman French Hill
Candidate	Congressman Rick Crawford	Congressman Rick Crawford
Candidate	Congressman Steve Womack	Congressman Steve Womack
Candidate	Conrad Odom	Conrad Odom
Candidate	Cory Booker	Cory Booker
Candidate	Councilman Bobby Long	Councilman Bobby Long
Candidate	Councilman RJ Hawk	Councilman RJ Hawk
Candidate	Court of Appeals Judge Mark Klappenbach	Court of Appeals Judge Mark Klappenbach
Candidate	Craig Christiansen	Craig Christiansen
Candidate	Craig Christiansen	State Representative Craig Christiansen
Candidate	Crews Puryear	Crews Puryear
Candidate	Curtis J. Varnell	Curtis J. Varnell
Candidate	Daisy Bonilla	Daisy Bonilla
Candidate	Dana Bonham	Dana Bonham
Candidate	Daniel Brock	Daniel Brock
Candidate	Danny Paul Farley	Danny Paul Farley
Candidate	Danny Watson	State Representative Danny Watson
Candidate	Daryell Howell	Daryell Howell
Candidate	Dave Wallace	Senator Dave Wallace
Candidate	David Bailey	David Bailey
Candidate	David Dero Phillips	David Dero Phillips
Candidate	David E. Dinwiddie	David E. Dinwiddie
Candidate	David Fielding	State Rep. David Fielding
Candidate	David Hillman	Rep. David Hillman
Candidate	David Lee	David Lee
Candidate	David Norman	David Norman
Candidate	David Ray	David Ray
Candidate	David Sterling	David Sterling
Candidate	David Whitaker	State Representative David Whitaker
Candidate	Dawn Clemence	Dawn Clemence
Candidate	DeAnn Vaught	Representative DeAnn Vaught
Candidate	Deborah Ferguson	Representative Deborah Ferguson
Candidate	Delia Haak	Delia Haak
Candidate	Denise Garner	Denise Garner
Candidate	Denise Garner	Representative Denise Garner
Candidate	Diane Warren	Diane Warren
Candidate	Dianna Hewitt Ladd	Dianna Hewitt Ladd
Candidate	District Judge Brian Mueller	District Judge Brian Mueller
Candidate	District Judge Chris Carnahan	District Judge Chris Carnahan
Candidate	Don Blankenship	Don Blankenship/William Mohr
Candidate	Don Glover	Don Glover
Candidate	Don Glover	Representative Don Glover
Candidate	Donald J. Trump	Donald J. Trump
Candidate	Donald J. Trump	Donald J. Trump/Michael R. Pence
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald R. Hopkins Jr.	Donald R. Hopkins Jr.
Candidate	Donald R. McKinney	Donald R. McKinney
Candidate	Drew Tanner	Drew Tanner
Candidate	Dustin M. Parsons	Dustin M. Parsons
Candidate	Dwight Tosh	State Representative Dwight Tosh
Candidate	Ebony Gulley	Ebony Gulley
Candidate	Eddie L. Cheatham	Senator Eddie L. Cheatham
Candidate	Eddie L. King	Eddie L. King
Candidate	Efrem Elliott	Efrem Elliott
Candidate	Efrem Neely	Efrem Neely
Candidate	Elizabeth Warren	Elizabeth Warren
Candidate	Elvis Presley	Elvis Presley
Candidate	Emily White	Emily White
Candidate	FOR	FOR
Candidate	Fran Cavenaugh	Representative Fran Cavenaugh
Candidate	Frank Gilbert	Frank Gilbert
Candidate	Frank Spain	Frank Spain
Candidate	Fred Allen	State Representative Fred Allen
Candidate	Fred Love	State Representative Fred Love
Candidate	Garry L. Smith	Garry L. Smith
Candidate	Gary Deffenbaugh	Representative Gary Deffenbaugh
Candidate	Gary J. Mitchusson	Gary J. Mitchusson
Candidate	Gary L. Morris	Gary L. Morris
Candidate	Gary Rogers	Gary Rogers
Candidate	Gary Tobar	Gary Tobar
Candidate	Gayatri Jane Agnew	Gayatri Jane Agnew
Candidate	Gayla Hendren McKenzie	Gayla Hendren McKenzie
Candidate	Gayla Hendren McKenzie	Rep. Gayla Hendren McKenzie
Candidate	George Calloway, Jr.	George Calloway, Jr.
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Gloria La Riva	Gloria La Riva/Sunil Freeman
Candidate	Goldie Hilburn	Goldie Hilburn
Candidate	Governor Asa Hutchinson	Governor Asa Hutchinson
Candidate	Greg Magness	Greg Magness
Candidate	Gregory Maxwell	Gregory Maxwell
Candidate	Gwen Ford Faulkenberry	Gwen Ford Faulkenberry
Candidate	Harlan Breaux	Harlan Breaux
Candidate	Harlan Breaux	State Representative Harlan Breaux
Candidate	Hawley Woods	Hawley Woods
Candidate	Hayden Catherine Shamel	Hayden Catherine Shamel
Candidate	Herman Curley	Herman Curley
Candidate	Hillary Clinton	HILLARY CLINTON
Candidate	Hollie Wilson	Hollie Wilson
Candidate	Howard (Jr.) Smith, II	Howard (Jr.) Smith, II
Candidate	Howard Beaty	Howard Beaty
Candidate	Howie Hawkins	Howie Hawkins/Angela Walker
Candidate	Hugh Finkelstein	Hugh Finkelstein
Candidate	J. Kent Percefull	J. Kent Percefull
Candidate	Jace Roberts	Jace Roberts
Candidate	Jack Fortner	Representative Jack Fortner
Candidate	Jack Ladyman	Representative Jack Ladyman
Candidate	Jack Wells	Jack Wells
Candidate	James B. Phillips	James B. Phillips
Candidate	James Dunham	James Dunham
Candidate	James McMenis	James McMenis
Candidate	Jamie Scott	Representative Jamie Scott
Candidate	Jane English	Senator Jane English
Candidate	Jannie M. Cotton	Jannie M. Cotton
Candidate	Jared K. Henderson	Jared K. Henderson
Candidate	Jasen Kelly	Jasen Kelly
Candidate	Jason Dobson	Jason Dobson
Candidate	Jason Hunter	Jason Hunter
Candidate	Jay Richardson	Representative Jay Richardson
Candidate	Jay Shue	Jay Shue
Candidate	Jed Duggar	Jed Duggar
Candidate	Jeff Crow	Jeff Crow
Candidate	Jeffery C. Sams	Jeffery C. Sams
Candidate	Jeffrey D. Hedges	Jeffrey D. Hedges
Candidate	Jeffrey R. Wardlaw	Representative Jeffrey R. Wardlaw
Candidate	Jene Huffman-Gilreath	Jene Huffman-Gilreath
Candidate	Jeremy Ross	Jeremy Ross
