Name	ElectionDistrict	Election
Assembly Age	Colorado	2018 General
Ballot Format for Judicial Races	Colorado	2018 General
Industrial Hemp Definition	Colorado	2018 General
Congressional Redistricting	Colorado	2018 General
Legislative Redistricting	Colorado	2018 General
Prohibit Slavery and Involuntary Servitude	Colorado	2018 General
Funding for Public Schools	Colorado	2018 General
Compensation for Market Value Reduction	Colorado	2018 General
Campaign Contributions	Colorado	2018 General
Bonds for Transportation Projects	Colorado	2018 General
Transportation Funding	Colorado	2018 General
Payday Loans	Colorado	2018 General
Setback Requirement for Oil and Gas	Colorado	2018 General
