Name	VotesAllowed	NumberElected	NumberRunoff	IsPartisan	Office	PrimaryParty
Colorado;CO State House District 1	1	1	0	TRUE	Colorado;CO State House District 1	
Colorado;CO State House District 10	1	1	0	TRUE	Colorado;CO State House District 10	
Colorado;CO State House District 11	1	1	0	TRUE	Colorado;CO State House District 11	
Colorado;CO State House District 12	1	1	0	TRUE	Colorado;CO State House District 12	
Colorado;CO State House District 13	1	1	0	TRUE	Colorado;CO State House District 13	
Colorado;CO State House District 14	1	1	0	TRUE	Colorado;CO State House District 14	
Colorado;CO State House District 15	1	1	0	TRUE	Colorado;CO State House District 15	
Colorado;CO State House District 16	1	1	0	TRUE	Colorado;CO State House District 16	
Colorado;CO State House District 17	1	1	0	TRUE	Colorado;CO State House District 17	
Colorado;CO State House District 18	1	1	0	TRUE	Colorado;CO State House District 18	
Colorado;CO State House District 19	1	1	0	TRUE	Colorado;CO State House District 19	
Colorado;CO State House District 2	1	1	0	TRUE	Colorado;CO State House District 2	
Colorado;CO State House District 20	1	1	0	TRUE	Colorado;CO State House District 20	
Colorado;CO State House District 21	1	1	0	TRUE	Colorado;CO State House District 21	
Colorado;CO State House District 22	1	1	0	TRUE	Colorado;CO State House District 22	
Colorado;CO State House District 23	1	1	0	TRUE	Colorado;CO State House District 23	
Colorado;CO State House District 24	1	1	0	TRUE	Colorado;CO State House District 24	
Colorado;CO State House District 25	1	1	0	TRUE	Colorado;CO State House District 25	
Colorado;CO State House District 26	1	1	0	TRUE	Colorado;CO State House District 26	
Colorado;CO State House District 27	1	1	0	TRUE	Colorado;CO State House District 27	
Colorado;CO State House District 28	1	1	0	TRUE	Colorado;CO State House District 28	
Colorado;CO State House District 29	1	1	0	TRUE	Colorado;CO State House District 29	
Colorado;CO State House District 3	1	1	0	TRUE	Colorado;CO State House District 3	
Colorado;CO State House District 30	1	1	0	TRUE	Colorado;CO State House District 30	
Colorado;CO State House District 31	1	1	0	TRUE	Colorado;CO State House District 31	
Colorado;CO State House District 32	1	1	0	TRUE	Colorado;CO State House District 32	
Colorado;CO State House District 33	1	1	0	TRUE	Colorado;CO State House District 33	
Colorado;CO State House District 34	1	1	0	TRUE	Colorado;CO State House District 34	
Colorado;CO State House District 35	1	1	0	TRUE	Colorado;CO State House District 35	
Colorado;CO State House District 36	1	1	0	TRUE	Colorado;CO State House District 36	
Colorado;CO State House District 37	1	1	0	TRUE	Colorado;CO State House District 37	
Colorado;CO State House District 38	1	1	0	TRUE	Colorado;CO State House District 38	
Colorado;CO State House District 39	1	1	0	TRUE	Colorado;CO State House District 39	
Colorado;CO State House District 4	1	1	0	TRUE	Colorado;CO State House District 4	
Colorado;CO State House District 40	1	1	0	TRUE	Colorado;CO State House District 40	
Colorado;CO State House District 41	1	1	0	TRUE	Colorado;CO State House District 41	
Colorado;CO State House District 42	1	1	0	TRUE	Colorado;CO State House District 42	
Colorado;CO State House District 43	1	1	0	TRUE	Colorado;CO State House District 43	
Colorado;CO State House District 44	1	1	0	TRUE	Colorado;CO State House District 44	
Colorado;CO State House District 45	1	1	0	TRUE	Colorado;CO State House District 45	
Colorado;CO State House District 46	1	1	0	TRUE	Colorado;CO State House District 46	
Colorado;CO State House District 47	1	1	0	TRUE	Colorado;CO State House District 47	
Colorado;CO State House District 48	1	1	0	TRUE	Colorado;CO State House District 48	
Colorado;CO State House District 49	1	1	0	TRUE	Colorado;CO State House District 49	
Colorado;CO State House District 5	1	1	0	TRUE	Colorado;CO State House District 5	
Colorado;CO State House District 50	1	1	0	TRUE	Colorado;CO State House District 50	
Colorado;CO State House District 51	1	1	0	TRUE	Colorado;CO State House District 51	
Colorado;CO State House District 52	1	1	0	TRUE	Colorado;CO State House District 52	
Colorado;CO State House District 53	1	1	0	TRUE	Colorado;CO State House District 53	
Colorado;CO State House District 54	1	1	0	TRUE	Colorado;CO State House District 54	
Colorado;CO State House District 55	1	1	0	TRUE	Colorado;CO State House District 55	
Colorado;CO State House District 56	1	1	0	TRUE	Colorado;CO State House District 56	
Colorado;CO State House District 57	1	1	0	TRUE	Colorado;CO State House District 57	
Colorado;CO State House District 58	1	1	0	TRUE	Colorado;CO State House District 58	
Colorado;CO State House District 59	1	1	0	TRUE	Colorado;CO State House District 59	
Colorado;CO State House District 6	1	1	0	TRUE	Colorado;CO State House District 6	
Colorado;CO State House District 60	1	1	0	TRUE	Colorado;CO State House District 60	
Colorado;CO State House District 61	1	1	0	TRUE	Colorado;CO State House District 61	
Colorado;CO State House District 62	1	1	0	TRUE	Colorado;CO State House District 62	
Colorado;CO State House District 63	1	1	0	TRUE	Colorado;CO State House District 63	
Colorado;CO State House District 64	1	1	0	TRUE	Colorado;CO State House District 64	
Colorado;CO State House District 65	1	1	0	TRUE	Colorado;CO State House District 65	
Colorado;CO State House District 7	1	1	0	TRUE	Colorado;CO State House District 7	
Colorado;CO State House District 8	1	1	0	TRUE	Colorado;CO State House District 8	
Colorado;CO State House District 9	1	1	0	TRUE	Colorado;CO State House District 9	
Colorado;CO State Senate District 1	1	1	0	TRUE	Colorado;CO State Senate District 1	
Colorado;CO State Senate District 11	1	1	0	TRUE	Colorado;CO State Senate District 11	
Colorado;CO State Senate District 13	1	1	0	TRUE	Colorado;CO State Senate District 13	
Colorado;CO State Senate District 15	1	1	0	TRUE	Colorado;CO State Senate District 15	
Colorado;CO State Senate District 16	1	1	0	TRUE	Colorado;CO State Senate District 16	
Colorado;CO State Senate District 2	1	1	0	TRUE	Colorado;CO State Senate District 2	
Colorado;CO State Senate District 20	1	1	0	TRUE	Colorado;CO State Senate District 20	
Colorado;CO State Senate District 22	1	1	0	TRUE	Colorado;CO State Senate District 22	
Colorado;CO State Senate District 24	1	1	0	TRUE	Colorado;CO State Senate District 24	
Colorado;CO State Senate District 3	1	1	0	TRUE	Colorado;CO State Senate District 3	
Colorado;CO State Senate District 30	1	1	0	TRUE	Colorado;CO State Senate District 30	
Colorado;CO State Senate District 32	1	1	0	TRUE	Colorado;CO State Senate District 32	
Colorado;CO State Senate District 34	1	1	0	TRUE	Colorado;CO State Senate District 34	
Colorado;CO State Senate District 5	1	1	0	TRUE	Colorado;CO State Senate District 5	
Colorado;CO State Senate District 6	1	1	0	TRUE	Colorado;CO State Senate District 6	
Colorado;CO State Senate District 7	1	1	0	TRUE	Colorado;CO State Senate District 7	
Colorado;CO State Senate District 9	1	1	0	TRUE	Colorado;CO State Senate District 9	
Colorado;US House CO District 1	1	1	0	TRUE	Colorado;US House CO District 1	
Colorado;US House CO District 2	1	1	0	TRUE	Colorado;US House CO District 2	
Colorado;US House CO District 3	1	1	0	TRUE	Colorado;US House CO District 3	
Colorado;US House CO District 4	1	1	0	TRUE	Colorado;US House CO District 4	
Colorado;US House CO District 5	1	1	0	TRUE	Colorado;US House CO District 5	
Colorado;US House CO District 6	1	1	0	TRUE	Colorado;US House CO District 6	
Colorado;US House CO District 7	1	1	0	TRUE	Colorado;US House CO District 7	
