Name	ReportingUnitType
Colorado	state
Colorado;Adams County	county
Colorado;Alamosa County	county
Colorado;Arapahoe County	county
Colorado;Archuleta County	county
Colorado;Baca County	county
Colorado;Bent County	county
Colorado;Boulder County	county
Colorado;Broomfield County	county
Colorado;Chaffee County	county
Colorado;Cheyenne County	county
Colorado;Clear Creek County	county
Colorado;Conejos County	county
Colorado;Costilla County	county
Colorado;Crowley County	county
Colorado;Custer County	county
Colorado;Delta County	county
Colorado;Denver County	county
Colorado;Dolores County	county
Colorado;Douglas County	county
Colorado;Eagle County	county
Colorado;El Paso County	county
Colorado;Elbert County	county
Colorado;Fremont County	county
Colorado;Garfield County	county
Colorado;Gilpin County	county
Colorado;Grand County	county
Colorado;Gunnison County	county
Colorado;Hinsdale County	county
Colorado;Huerfano County	county
Colorado;Jackson County	county
Colorado;Jefferson County	county
Colorado;Kiowa County	county
Colorado;Kit Carson County	county
Colorado;La Plata County	county
Colorado;Lake County	county
Colorado;Larimer County	county
Colorado;Las Animas County	county
Colorado;Lincoln County	county
Colorado;Logan County	county
Colorado;Mesa County	county
Colorado;Mineral County	county
Colorado;Moffat County	county
Colorado;Montezuma County	county
Colorado;Montrose County	county
Colorado;Morgan County	county
Colorado;Otero County	county
Colorado;Ouray County	county
Colorado;Park County	county
Colorado;Phillips County	county
Colorado;Pitkin County	county
Colorado;Prowers County	county
Colorado;Pueblo County	county
Colorado;Rio Blanco County	county
Colorado;Rio Grande County	county
Colorado;Routt County	county
Colorado;Saguache County	county
Colorado;San Juan County	county
Colorado;San Miguel County	county
Colorado;Sedgwick County	county
Colorado;Summit County	county
Colorado;Teller County	county
Colorado;Washington County	county
Colorado;Weld County	county
Colorado;Yuma County	county
Colorado;Adams County;4253001245 Precinct	precinct
Colorado;Adams County;4255601241 Precinct	precinct
Colorado;Adams County;4255601246 Precinct	precinct
Colorado;Adams County;4255601247 Precinct	precinct
Colorado;Adams County;4255601248 Precinct	precinct
Colorado;Adams County;4255601249 Precinct	precinct
Colorado;Adams County;4255601251 Precinct	precinct
Colorado;Adams County;6243101150 Precinct	precinct
Colorado;Adams County;6243101151 Precinct	precinct
Colorado;Adams County;6243101159 Precinct	precinct
Colorado;Adams County;6243401075 Precinct	precinct
Colorado;Adams County;6243401076 Precinct	precinct
Colorado;Adams County;6243401077 Precinct	precinct
Colorado;Adams County;6243401252 Precinct	precinct
