BallotName	Party
Karen McCormick	Colorado Democratic Party
Ken Buck	Colorado Republican Party
Richard Lyons Weil	Colorado Democratic Party
John B. Vigil	Colorado Green Party
Jared Polis / Dianne Primavera	Colorado Democratic Party
Walker Stapleton / Lang Sias	Colorado Republican Party
Bill Hammons / Eric Bodenstab	Colorado Unity Party of Colorado
Scott Helker / Michele Poague	Colorado Libertarian Party
Wayne Williams	Colorado Republican Party
Jena Griswold	Colorado Democratic Party
Amanda Campbell	Colorado American Constitution Party
Blake Huber	Colorado Approval Voting Party
Brian Watson	Colorado Republican Party
Dave Young	Colorado Democratic Party
Gerald F. Kilpatrick	Colorado American Constitution Party
Phil Weiser	Colorado Democratic Party
George Brauchler	Colorado Republican Party
William F. Robinson III	Colorado Libertarian Party
Tim Krug	Colorado Democratic Party
Debora L. Scheffel	Colorado Republican Party
Lesley Smith	Colorado Democratic Party
Ken Montera	Colorado Republican Party
Christopher E. Otwell	Colorado Unity Party of Colorado
James K. Treibert	Colorado Libertarian Party
Dafna Michaelson Jenet	Colorado Democratic Party
Susan Kochevar	Colorado Republican Party
Richard L. Gabriel	Colorado No party
John Daniel Dailey	Colorado No party
Rebecca Rankin Freyre	Colorado No party
Elizabeth L. Harris	Colorado No party
David J. Richman	Colorado No party
Jaclyn Brown	Colorado No party
Sharon D. Holbrook	Colorado No party
Edward Moss	Colorado No party
Donald S. Quick	Colorado No party
Brian Nathaniel Bowen	Colorado No party
Michael A. Cox	Colorado No party
Cindy Dang	Colorado No party
Byron Lynn Howell	Colorado No party
Sabino E. Romano	Colorado No party
Dianna L. Roybal	Colorado No party
Rod Bockenfeld	Colorado Republican Party
Dave Rose	Colorado Democratic Party
Kevin Gulbranson	Colorado Libertarian Party
Chris Martinez	Colorado No party
Shontel Marie Lewis	Colorado No party
JoyAnn Keener Ruscha	Colorado No party
Mike Coffman	Colorado Republican Party
Jason Crow	Colorado Democratic Party
Kat Martin	Colorado Libertarian Party
Dan Chapin	Colorado Unaffiliated
Christopher Allen	Colorado Green Party
Beth Martinez Humenik	Colorado Republican Party
Faith Winter	Colorado Democratic Party
Donald Osborn	Colorado Libertarian Party
Adam Matkowsky	Colorado Unaffiliated
Rico Figueroa	Colorado Republican Party
Yadira Caraveo	Colorado Democratic Party
Bree Owens	Colorado Libertarian Party
Troy L. Whitmore	Colorado No party
Paul D. Solano	Colorado No party
Gerald Stephen Jaramillo	Colorado No party
Alexander "Skinny" Winkler	Colorado Republican Party
Kyle Mullica	Colorado Democratic Party
Ed Perlmutter	Colorado Democratic Party
Mark Barrington	Colorado Republican Party
Jennifer Nackerud	Colorado Libertarian Party
Steve Zorn	Colorado Democratic Party
Michael Haughey	Colorado Green Party
Phil Munsterman	Colorado No party
Bob Wilson	Colorado No party
Shelley Cook	Colorado No party
Adrienne Benavidez	Colorado Democratic Party
Vince Buzek	Colorado No party
Shannon Bird	Colorado Democratic Party
Bruce Baker	Colorado Republican Party
Ken Biles	Colorado Libertarian Party
Scott R. Tipton	Colorado Republican Party
Diane Mitsch Bush	Colorado Democratic Party
Gaylon Kent	Colorado Libertarian Party
Mary M. Malarsie	Colorado Independent
Richard Tetu	Colorado Unaffiliated
Bruce Lohmiller	Colorado Green Party
Gary Swing	Colorado Green Party
Alvin Rivera	Colorado Democratic Party
Glen H. Gallegos	Colorado Republican Party
Michael Stapleton	Colorado Libertarian Party
Donald E. Valdez	Colorado Democratic Party
Scott Honeycutt	Colorado Republican Party
Pattie P. Swift	Colorado No party
Daniel A. Walzl	Colorado No party
Charles Casper Stockham	Colorado Republican Party
Diana DeGette	Colorado Democratic Party
Raymon Anthony Doane	Colorado Libertarian Party
Miguel Lopez	Colorado Democratic Party
Toren Mushovic	Colorado Republican Party
Jeff Bridges	Colorado Democratic Party
Phillip L. Douglass	Colorado No party
Patricia Herron	Colorado No party
Gary M. Kramer	Colorado No party
Ben L. Leutwyler III	Colorado No party
Robert R. Lung	Colorado No party
Bonnie Heather McLean	Colorado No party
Peter F. Michaelson	Colorado No party
Michael Spear	Colorado No party
Shay K. Whitaker	Colorado No party
Colleen Clark	Colorado No party
Kelly LaFave	Colorado No party
Michael J. Roche	Colorado No party
Cheryl Rowles-Stokes	Colorado No party
Chris Kolker	Colorado Democratic Party
Susan Beckman	Colorado Republican Party
Emily Sirota	Colorado Democratic Party
Bob Lane	Colorado Republican Party
Richard J. Bowman	Colorado Republican Party
Mike Weissman	Colorado Democratic Party
Janet Buckner	Colorado Democratic Party
Richard Allen Bassett	Colorado Republican Party
Lynn Myers	Colorado Republican Party
Jovan Melton	Colorado Democratic Party
Tom Sullivan	Colorado Democratic Party
Cole Wist	Colorado Republican Party
Mike Donald	Colorado Republican Party
Dominique Jackson	Colorado Democratic Party
Guinn Unger Jr.	Colorado Democratic Party
Don Coram	Colorado Republican Party
Barbara McLachlan	Colorado Democratic Party
Paul Jones	Colorado Independent
Justin P. Fay	Colorado No party
Kimmi Lewis	Colorado Republican Party
Teri Nilson Baird	Colorado Democratic Party
Michael Davidson	Colorado No party
Debra M. Gunkel	Colorado No party
Joe Neguse	Colorado Democratic Party
Peter Yu	Colorado Republican Party
Roger Barris	Colorado Libertarian Party
Nick Thomas	Colorado Independent
Kevin Alumbaugh	Colorado Green Party
Johnny Barrett	Colorado Republican Party
Angelika Schroeder	Colorado Democratic Party
Tammy Story	Colorado Democratic Party
Tim Neville	Colorado Republican Party
James Gilman	Colorado Libertarian Party
Kevin Sipple	Colorado Republican Party
K.C. Becker	Colorado Democratic Party
Michael Dougherty	Colorado Democratic Party
Lynn Guissinger	Colorado No party
Thomas Francis Mulvahill	Colorado No party
Norma A. Sierra	Colorado No party
David Archuleta	Colorado No party
Elizabeth House Moulton Brodsky	Colorado No party
Eric Rutherford	Colorado Republican Party
Matt Gray	Colorado Democratic Party
Kim Tavendale	Colorado Libertarian Party
Jay Geyer	Colorado Independent
Sonya Jaquez Lewis	Colorado Democratic Party
Theresa Stets	Colorado Unaffiliated
Murl S. Hendrickson IV	Colorado Republican Party
Edie Hooton	Colorado Democratic Party
Jonathan Singer	Colorado Democratic Party
Brian O Donahue	Colorado Republican Party
Amy Elizabeth Bockman	Colorado No party
Stephany Rose Spaulding	Colorado Democratic Party
Doug Lamborn	Colorado Republican Party
Douglas Randall	Colorado Libertarian Party
Lori Furstenberg	Colorado Democratic Party
John Croom	Colorado Unaffiliated
Tony Wolusky	Colorado Democratic Party
Chance Hill	Colorado Republican Party
Kerry Donovan	Colorado Democratic Party
Olen Lund	Colorado Republican Party
Erin Kelley	Colorado Democratic Party
James D. "Jim" Wilson	Colorado Republican Party
Glenn Ingalls	Colorado Libertarian Party
Ramsey Lama	Colorado No party
Lynette Mary Wenner	Colorado No party
Jerry Sonnenberg	Colorado Republican Party
Debra Gustafson	Colorado Democratic Party
Rod Pelton	Colorado Republican Party
Bethleen McCall	Colorado Democratic Party
Gerald Keefe	Colorado No party
Beth "Hart" Harz	Colorado Democratic Party
Dennis Hisey	Colorado Republican Party
Kimberly Lynn Wood	Colorado No party
Amanda Jean Hunter	Colorado No party
Matt Soper	Colorado Republican Party
Thea Chase	Colorado Independent
Steven L. Schultz	Colorado No party
Keri A. Yoder	Colorado No party
Julie McCluskie	Colorado Democratic Party
Mike Mason	Colorado Republican Party
