cdf_element	cdf_internal_name	raw_identifier_value
CountItemType	total	VOTE_TOTAL
CandidateContest	CA House District 1 (Democratic Party)	CA House District 1 (Democratic Party)
CandidateContest	CA House District 2 (Democratic Party)	CA House District 2 (Democratic Party)
CandidateContest	CA House District 3 (Democratic Party)	CA House District 3 (Democratic Party)
CandidateContest	CA House District 4 (Democratic Party)	CA House District 4 (Democratic Party)
CandidateContest	CA House District 5 (Democratic Party)	CA House District 5 (Democratic Party)
CandidateContest	CA House District 6 (Democratic Party)	CA House District 6 (Democratic Party)
CandidateContest	CA House District 7 (Democratic Party)	CA House District 7 (Democratic Party)
CandidateContest	CA House District 8 (Democratic Party)	CA House District 8 (Democratic Party)
CandidateContest	CA House District 9 (Democratic Party)	CA House District 9 (Democratic Party)
CandidateContest	CA House District 10 (Democratic Party)	CA House District 10 (Democratic Party)
CandidateContest	CA House District 11 (Democratic Party)	CA House District 11 (Democratic Party)
CandidateContest	CA House District 12 (Democratic Party)	CA House District 12 (Democratic Party)
CandidateContest	CA House District 13 (Democratic Party)	CA House District 13 (Democratic Party)
CandidateContest	CA House District 14 (Democratic Party)	CA House District 14 (Democratic Party)
CandidateContest	CA House District 15 (Democratic Party)	CA House District 15 (Democratic Party)
CandidateContest	CA House District 16 (Democratic Party)	CA House District 16 (Democratic Party)
CandidateContest	CA House District 17 (Democratic Party)	CA House District 17 (Democratic Party)
CandidateContest	CA House District 18 (Democratic Party)	CA House District 18 (Democratic Party)
CandidateContest	CA House District 19 (Democratic Party)	CA House District 19 (Democratic Party)
CandidateContest	CA House District 20 (Democratic Party)	CA House District 20 (Democratic Party)
CandidateContest	CA House District 21 (Democratic Party)	CA House District 21 (Democratic Party)
CandidateContest	CA House District 22 (Democratic Party)	CA House District 22 (Democratic Party)
CandidateContest	CA House District 23 (Democratic Party)	CA House District 23 (Democratic Party)
CandidateContest	CA House District 24 (Democratic Party)	CA House District 24 (Democratic Party)
CandidateContest	CA House District 25 (Democratic Party)	CA House District 25 (Democratic Party)
CandidateContest	CA House District 26 (Democratic Party)	CA House District 26 (Democratic Party)
CandidateContest	CA House District 27 (Democratic Party)	CA House District 27 (Democratic Party)
CandidateContest	CA House District 28 (Democratic Party)	CA House District 28 (Democratic Party)
CandidateContest	CA House District 29 (Democratic Party)	CA House District 29 (Democratic Party)
CandidateContest	CA House District 30 (Democratic Party)	CA House District 30 (Democratic Party)
CandidateContest	CA House District 31 (Democratic Party)	CA House District 31 (Democratic Party)
CandidateContest	CA House District 32 (Democratic Party)	CA House District 32 (Democratic Party)
CandidateContest	CA House District 33 (Democratic Party)	CA House District 33 (Democratic Party)
CandidateContest	CA House District 34 (Democratic Party)	CA House District 34 (Democratic Party)
CandidateContest	CA House District 35 (Democratic Party)	CA House District 35 (Democratic Party)
CandidateContest	CA House District 36 (Democratic Party)	CA House District 36 (Democratic Party)
CandidateContest	CA House District 37 (Democratic Party)	CA House District 37 (Democratic Party)
CandidateContest	CA House District 38 (Democratic Party)	CA House District 38 (Democratic Party)
CandidateContest	CA House District 39 (Democratic Party)	CA House District 39 (Democratic Party)
CandidateContest	CA House District 40 (Democratic Party)	CA House District 40 (Democratic Party)
CandidateContest	CA House District 41 (Democratic Party)	CA House District 41 (Democratic Party)
CandidateContest	CA House District 42 (Democratic Party)	CA House District 42 (Democratic Party)
CandidateContest	CA House District 43 (Democratic Party)	CA House District 43 (Democratic Party)
CandidateContest	CA House District 44 (Democratic Party)	CA House District 44 (Democratic Party)
CandidateContest	CA House District 45 (Democratic Party)	CA House District 45 (Democratic Party)
CandidateContest	CA House District 46 (Democratic Party)	CA House District 46 (Democratic Party)
CandidateContest	CA House District 47 (Democratic Party)	CA House District 47 (Democratic Party)
CandidateContest	CA House District 48 (Democratic Party)	CA House District 48 (Democratic Party)
CandidateContest	CA House District 49 (Democratic Party)	CA House District 49 (Democratic Party)
CandidateContest	CA House District 50 (Democratic Party)	CA House District 50 (Democratic Party)
CandidateContest	CA House District 51 (Democratic Party)	CA House District 51 (Democratic Party)
CandidateContest	CA House District 52 (Democratic Party)	CA House District 52 (Democratic Party)
CandidateContest	CA House District 53 (Democratic Party)	CA House District 53 (Democratic Party)
CandidateContest	CA House District 54 (Democratic Party)	CA House District 54 (Democratic Party)
CandidateContest	CA House District 55 (Democratic Party)	CA House District 55 (Democratic Party)
CandidateContest	CA House District 56 (Democratic Party)	CA House District 56 (Democratic Party)
CandidateContest	CA House District 57 (Democratic Party)	CA House District 57 (Democratic Party)
CandidateContest	CA House District 58 (Democratic Party)	CA House District 58 (Democratic Party)
CandidateContest	CA House District 59 (Democratic Party)	CA House District 59 (Democratic Party)
CandidateContest	CA House District 60 (Democratic Party)	CA House District 60 (Democratic Party)
CandidateContest	CA House District 61 (Democratic Party)	CA House District 61 (Democratic Party)
CandidateContest	CA House District 62 (Democratic Party)	CA House District 62 (Democratic Party)
CandidateContest	CA House District 63 (Democratic Party)	CA House District 63 (Democratic Party)
CandidateContest	CA House District 64 (Democratic Party)	CA House District 64 (Democratic Party)
CandidateContest	CA House District 65 (Democratic Party)	CA House District 65 (Democratic Party)
CandidateContest	CA House District 66 (Democratic Party)	CA House District 66 (Democratic Party)
CandidateContest	CA House District 67 (Democratic Party)	CA House District 67 (Democratic Party)
CandidateContest	CA House District 68 (Democratic Party)	CA House District 68 (Democratic Party)
CandidateContest	CA House District 69 (Democratic Party)	CA House District 69 (Democratic Party)
CandidateContest	CA House District 70 (Democratic Party)	CA House District 70 (Democratic Party)
CandidateContest	CA House District 71 (Democratic Party)	CA House District 71 (Democratic Party)
CandidateContest	CA House District 72 (Democratic Party)	CA House District 72 (Democratic Party)
CandidateContest	CA House District 73 (Democratic Party)	CA House District 73 (Democratic Party)
CandidateContest	CA House District 74 (Democratic Party)	CA House District 74 (Democratic Party)
CandidateContest	CA House District 75 (Democratic Party)	CA House District 75 (Democratic Party)
CandidateContest	CA House District 76 (Democratic Party)	CA House District 76 (Democratic Party)
CandidateContest	CA House District 77 (Democratic Party)	CA House District 77 (Democratic Party)
CandidateContest	CA House District 78 (Democratic Party)	CA House District 78 (Democratic Party)
CandidateContest	CA House District 79 (Democratic Party)	CA House District 79 (Democratic Party)
CandidateContest	CA House District 80 (Democratic Party)	CA House District 80 (Democratic Party)
CandidateContest	CA Senate District 1 (Democratic Party)	CA Senate District 1 (Democratic Party)
CandidateContest	CA Senate District 2 (Democratic Party)	CA Senate District 2 (Democratic Party)
CandidateContest	CA Senate District 3 (Democratic Party)	CA Senate District 3 (Democratic Party)
CandidateContest	CA Senate District 4 (Democratic Party)	CA Senate District 4 (Democratic Party)
CandidateContest	CA Senate District 5 (Democratic Party)	CA Senate District 5 (Democratic Party)
CandidateContest	CA Senate District 6 (Democratic Party)	CA Senate District 6 (Democratic Party)
CandidateContest	CA Senate District 7 (Democratic Party)	CA Senate District 7 (Democratic Party)
CandidateContest	CA Senate District 8 (Democratic Party)	CA Senate District 8 (Democratic Party)
CandidateContest	CA Senate District 9 (Democratic Party)	CA Senate District 9 (Democratic Party)
CandidateContest	CA Senate District 10 (Democratic Party)	CA Senate District 10 (Democratic Party)
CandidateContest	CA Senate District 11 (Democratic Party)	CA Senate District 11 (Democratic Party)
CandidateContest	CA Senate District 12 (Democratic Party)	CA Senate District 12 (Democratic Party)
CandidateContest	CA Senate District 13 (Democratic Party)	CA Senate District 13 (Democratic Party)
CandidateContest	CA Senate District 14 (Democratic Party)	CA Senate District 14 (Democratic Party)
CandidateContest	CA Senate District 15 (Democratic Party)	CA Senate District 15 (Democratic Party)
CandidateContest	CA Senate District 16 (Democratic Party)	CA Senate District 16 (Democratic Party)
CandidateContest	CA Senate District 17 (Democratic Party)	CA Senate District 17 (Democratic Party)
CandidateContest	CA Senate District 18 (Democratic Party)	CA Senate District 18 (Democratic Party)
