Name	NumberElected	Office	PrimaryParty
CO House District 1	1	CO House District 1	
CO House District 2	1	CO House District 2	
CO House District 3	1	CO House District 3	
CO House District 4	1	CO House District 4	
CO House District 5	1	CO House District 5	
CO House District 6	1	CO House District 6	
CO House District 7	1	CO House District 7	
CO House District 8	1	CO House District 8	
CO House District 9	1	CO House District 9	
CO House District 10	1	CO House District 10	
CO House District 11	1	CO House District 11	
CO House District 12	1	CO House District 12	
CO House District 13	1	CO House District 13	
CO House District 14	1	CO House District 14	
CO House District 15	1	CO House District 15	
CO House District 16	1	CO House District 16	
CO House District 17	1	CO House District 17	
CO House District 18	1	CO House District 18	
CO House District 19	1	CO House District 19	
CO House District 20	1	CO House District 20	
CO House District 21	1	CO House District 21	
CO House District 22	1	CO House District 22	
CO House District 23	1	CO House District 23	
CO House District 24	1	CO House District 24	
CO House District 25	1	CO House District 25	
CO House District 26	1	CO House District 26	
CO House District 27	1	CO House District 27	
CO House District 28	1	CO House District 28	
CO House District 29	1	CO House District 29	
CO House District 30	1	CO House District 30	
CO House District 31	1	CO House District 31	
CO House District 32	1	CO House District 32	
CO House District 33	1	CO House District 33	
CO House District 34	1	CO House District 34	
CO House District 35	1	CO House District 35	
CO House District 36	1	CO House District 36	
CO House District 37	1	CO House District 37	
CO House District 38	1	CO House District 38	
CO House District 39	1	CO House District 39	
CO House District 40	1	CO House District 40	
CO House District 41	1	CO House District 41	
CO House District 42	1	CO House District 42	
CO House District 43	1	CO House District 43	
CO House District 44	1	CO House District 44	
CO House District 45	1	CO House District 45	
CO House District 46	1	CO House District 46	
CO House District 47	1	CO House District 47	
CO House District 48	1	CO House District 48	
CO House District 49	1	CO House District 49	
CO House District 50	1	CO House District 50	
CO House District 51	1	CO House District 51	
CO House District 52	1	CO House District 52	
CO House District 53	1	CO House District 53	
CO House District 54	1	CO House District 54	
CO House District 55	1	CO House District 55	
CO House District 56	1	CO House District 56	
CO House District 57	1	CO House District 57	
CO House District 58	1	CO House District 58	
CO House District 59	1	CO House District 59	
CO House District 60	1	CO House District 60	
CO House District 61	1	CO House District 61	
CO House District 62	1	CO House District 62	
CO House District 63	1	CO House District 63	
CO House District 64	1	CO House District 64	
CO House District 65	1	CO House District 65	
CO Senate District 1	1	CO Senate District 1	
CO Senate District 2	1	CO Senate District 2	
CO Senate District 3	1	CO Senate District 3	
CO Senate District 4	1	CO Senate District 4	
CO Senate District 5	1	CO Senate District 5	
CO Senate District 6	1	CO Senate District 6	
CO Senate District 7	1	CO Senate District 7	
CO Senate District 8	1	CO Senate District 8	
CO Senate District 9	1	CO Senate District 9	
CO Senate District 10	1	CO Senate District 10	
CO Senate District 11	1	CO Senate District 11	
CO Senate District 12	1	CO Senate District 12	
CO Senate District 13	1	CO Senate District 13	
CO Senate District 14	1	CO Senate District 14	
CO Senate District 15	1	CO Senate District 15	
CO Senate District 16	1	CO Senate District 16	
CO Senate District 17	1	CO Senate District 17	
CO Senate District 18	1	CO Senate District 18	
CO Senate District 19	1	CO Senate District 19	
CO Senate District 20	1	CO Senate District 20	
CO Senate District 21	1	CO Senate District 21	
CO Senate District 22	1	CO Senate District 22	
CO Senate District 23	1	CO Senate District 23	
CO Senate District 24	1	CO Senate District 24	
CO Senate District 25	1	CO Senate District 25	
CO Senate District 26	1	CO Senate District 26	
CO Senate District 27	1	CO Senate District 27	
CO Senate District 28	1	CO Senate District 28	
CO Senate District 29	1	CO Senate District 29	
CO Senate District 30	1	CO Senate District 30	
CO Senate District 31	1	CO Senate District 31	
CO Senate District 32	1	CO Senate District 32	
CO Senate District 33	1	CO Senate District 33	
CO Senate District 34	1	CO Senate District 34	
CO Senate District 35	1	CO Senate District 35	
US House CO District 1	1	US House CO District 1	
US House CO District 2	1	US House CO District 2	
US House CO District 3	1	US House CO District 3	
US House CO District 4	1	US House CO District 4	
US House CO District 5	1	US House CO District 5	
US House CO District 6	1	US House CO District 6	
US House CO District 7	1	US House CO District 7	
US President (CO)	1	US President (CO)	
CO Governor	1	CO Governor	
US Senate CO	1	US Senate CO	
CO Attorney General	1	CO Attorney General	
CO State Treasurer	1	CO State Treasurer	
CO Secretary of State	1	CO Secretary of State	
CO House District 1 (Democratic Party)	1	CO House District 1	Democratic Party
CO House District 2 (Democratic Party)	1	CO House District 2	Democratic Party
CO House District 3 (Democratic Party)	1	CO House District 3	Democratic Party
CO House District 4 (Democratic Party)	1	CO House District 4	Democratic Party
CO House District 5 (Democratic Party)	1	CO House District 5	Democratic Party
CO House District 6 (Democratic Party)	1	CO House District 6	Democratic Party
CO House District 7 (Democratic Party)	1	CO House District 7	Democratic Party
CO House District 8 (Democratic Party)	1	CO House District 8	Democratic Party
CO House District 9 (Democratic Party)	1	CO House District 9	Democratic Party
CO House District 10 (Democratic Party)	1	CO House District 10	Democratic Party
CO House District 11 (Democratic Party)	1	CO House District 11	Democratic Party
CO House District 12 (Democratic Party)	1	CO House District 12	Democratic Party
CO House District 13 (Democratic Party)	1	CO House District 13	Democratic Party
CO House District 14 (Democratic Party)	1	CO House District 14	Democratic Party
CO House District 15 (Democratic Party)	1	CO House District 15	Democratic Party
CO House District 16 (Democratic Party)	1	CO House District 16	Democratic Party
CO House District 17 (Democratic Party)	1	CO House District 17	Democratic Party
CO House District 18 (Democratic Party)	1	CO House District 18	Democratic Party
CO House District 19 (Democratic Party)	1	CO House District 19	Democratic Party
CO House District 20 (Democratic Party)	1	CO House District 20	Democratic Party
CO House District 21 (Democratic Party)	1	CO House District 21	Democratic Party
CO House District 22 (Democratic Party)	1	CO House District 22	Democratic Party
CO House District 23 (Democratic Party)	1	CO House District 23	Democratic Party
CO House District 24 (Democratic Party)	1	CO House District 24	Democratic Party
CO House District 25 (Democratic Party)	1	CO House District 25	Democratic Party
CO House District 26 (Democratic Party)	1	CO House District 26	Democratic Party
CO House District 27 (Democratic Party)	1	CO House District 27	Democratic Party
CO House District 28 (Democratic Party)	1	CO House District 28	Democratic Party
CO House District 29 (Democratic Party)	1	CO House District 29	Democratic Party
CO House District 30 (Democratic Party)	1	CO House District 30	Democratic Party
CO House District 31 (Democratic Party)	1	CO House District 31	Democratic Party
CO House District 32 (Democratic Party)	1	CO House District 32	Democratic Party
CO House District 33 (Democratic Party)	1	CO House District 33	Democratic Party
CO House District 34 (Democratic Party)	1	CO House District 34	Democratic Party
CO House District 35 (Democratic Party)	1	CO House District 35	Democratic Party
CO House District 36 (Democratic Party)	1	CO House District 36	Democratic Party
CO House District 37 (Democratic Party)	1	CO House District 37	Democratic Party
CO House District 38 (Democratic Party)	1	CO House District 38	Democratic Party
CO House District 39 (Democratic Party)	1	CO House District 39	Democratic Party
CO House District 40 (Democratic Party)	1	CO House District 40	Democratic Party
CO House District 41 (Democratic Party)	1	CO House District 41	Democratic Party
CO House District 42 (Democratic Party)	1	CO House District 42	Democratic Party
CO House District 43 (Democratic Party)	1	CO House District 43	Democratic Party
CO House District 44 (Democratic Party)	1	CO House District 44	Democratic Party
CO House District 45 (Democratic Party)	1	CO House District 45	Democratic Party
CO House District 46 (Democratic Party)	1	CO House District 46	Democratic Party
CO House District 47 (Democratic Party)	1	CO House District 47	Democratic Party
CO House District 48 (Democratic Party)	1	CO House District 48	Democratic Party
CO House District 49 (Democratic Party)	1	CO House District 49	Democratic Party
CO House District 50 (Democratic Party)	1	CO House District 50	Democratic Party
CO House District 51 (Democratic Party)	1	CO House District 51	Democratic Party
CO House District 52 (Democratic Party)	1	CO House District 52	Democratic Party
CO House District 53 (Democratic Party)	1	CO House District 53	Democratic Party
CO House District 54 (Democratic Party)	1	CO House District 54	Democratic Party
CO House District 55 (Democratic Party)	1	CO House District 55	Democratic Party
CO House District 56 (Democratic Party)	1	CO House District 56	Democratic Party
CO House District 57 (Democratic Party)	1	CO House District 57	Democratic Party
CO House District 58 (Democratic Party)	1	CO House District 58	Democratic Party
CO House District 59 (Democratic Party)	1	CO House District 59	Democratic Party
CO House District 60 (Democratic Party)	1	CO House District 60	Democratic Party
CO House District 61 (Democratic Party)	1	CO House District 61	Democratic Party
CO House District 62 (Democratic Party)	1	CO House District 62	Democratic Party
CO House District 63 (Democratic Party)	1	CO House District 63	Democratic Party
CO House District 64 (Democratic Party)	1	CO House District 64	Democratic Party
CO House District 65 (Democratic Party)	1	CO House District 65	Democratic Party
CO Senate District 1 (Democratic Party)	1	CO Senate District 1	Democratic Party
CO Senate District 2 (Democratic Party)	1	CO Senate District 2	Democratic Party
CO Senate District 3 (Democratic Party)	1	CO Senate District 3	Democratic Party
CO Senate District 4 (Democratic Party)	1	CO Senate District 4	Democratic Party
CO Senate District 5 (Democratic Party)	1	CO Senate District 5	Democratic Party
CO Senate District 6 (Democratic Party)	1	CO Senate District 6	Democratic Party
CO Senate District 7 (Democratic Party)	1	CO Senate District 7	Democratic Party
CO Senate District 8 (Democratic Party)	1	CO Senate District 8	Democratic Party
CO Senate District 9 (Democratic Party)	1	CO Senate District 9	Democratic Party
CO Senate District 10 (Democratic Party)	1	CO Senate District 10	Democratic Party
CO Senate District 11 (Democratic Party)	1	CO Senate District 11	Democratic Party
CO Senate District 12 (Democratic Party)	1	CO Senate District 12	Democratic Party
CO Senate District 13 (Democratic Party)	1	CO Senate District 13	Democratic Party
CO Senate District 14 (Democratic Party)	1	CO Senate District 14	Democratic Party
CO Senate District 15 (Democratic Party)	1	CO Senate District 15	Democratic Party
CO Senate District 16 (Democratic Party)	1	CO Senate District 16	Democratic Party
CO Senate District 17 (Democratic Party)	1	CO Senate District 17	Democratic Party
CO Senate District 18 (Democratic Party)	1	CO Senate District 18	Democratic Party
CO Senate District 19 (Democratic Party)	1	CO Senate District 19	Democratic Party
CO Senate District 20 (Democratic Party)	1	CO Senate District 20	Democratic Party
CO Senate District 21 (Democratic Party)	1	CO Senate District 21	Democratic Party
CO Senate District 22 (Democratic Party)	1	CO Senate District 22	Democratic Party
CO Senate District 23 (Democratic Party)	1	CO Senate District 23	Democratic Party
CO Senate District 24 (Democratic Party)	1	CO Senate District 24	Democratic Party
CO Senate District 25 (Democratic Party)	1	CO Senate District 25	Democratic Party
CO Senate District 26 (Democratic Party)	1	CO Senate District 26	Democratic Party
CO Senate District 27 (Democratic Party)	1	CO Senate District 27	Democratic Party
CO Senate District 28 (Democratic Party)	1	CO Senate District 28	Democratic Party
CO Senate District 29 (Democratic Party)	1	CO Senate District 29	Democratic Party
CO Senate District 30 (Democratic Party)	1	CO Senate District 30	Democratic Party
CO Senate District 31 (Democratic Party)	1	CO Senate District 31	Democratic Party
CO Senate District 32 (Democratic Party)	1	CO Senate District 32	Democratic Party
CO Senate District 33 (Democratic Party)	1	CO Senate District 33	Democratic Party
CO Senate District 34 (Democratic Party)	1	CO Senate District 34	Democratic Party
CO Senate District 35 (Democratic Party)	1	CO Senate District 35	Democratic Party
US House CO District 1 (Democratic Party)	1	US House CO District 1	Democratic Party
US House CO District 2 (Democratic Party)	1	US House CO District 2	Democratic Party
US House CO District 3 (Democratic Party)	1	US House CO District 3	Democratic Party
US House CO District 4 (Democratic Party)	1	US House CO District 4	Democratic Party
US House CO District 5 (Democratic Party)	1	US House CO District 5	Democratic Party
US House CO District 6 (Democratic Party)	1	US House CO District 6	Democratic Party
US House CO District 7 (Democratic Party)	1	US House CO District 7	Democratic Party
US President (CO) (Democratic Party)	1	US President (CO)	Democratic Party
CO Governor (Democratic Party)	1	CO Governor	Democratic Party
US Senate CO (Democratic Party)	1	US Senate CO	Democratic Party
CO Attorney General (Democratic Party)	1	CO Attorney General	Democratic Party
CO State Treasurer (Democratic Party)	1	CO State Treasurer	Democratic Party
CO Secretary of State (Democratic Party)	1	CO Secretary of State	Democratic Party
CO House District 1 (Republican Party)	1	CO House District 1	Republican Party
CO House District 2 (Republican Party)	1	CO House District 2	Republican Party
CO House District 3 (Republican Party)	1	CO House District 3	Republican Party
CO House District 4 (Republican Party)	1	CO House District 4	Republican Party
CO House District 5 (Republican Party)	1	CO House District 5	Republican Party
CO House District 6 (Republican Party)	1	CO House District 6	Republican Party
CO House District 7 (Republican Party)	1	CO House District 7	Republican Party
CO House District 8 (Republican Party)	1	CO House District 8	Republican Party
CO House District 9 (Republican Party)	1	CO House District 9	Republican Party
CO House District 10 (Republican Party)	1	CO House District 10	Republican Party
CO House District 11 (Republican Party)	1	CO House District 11	Republican Party
CO House District 12 (Republican Party)	1	CO House District 12	Republican Party
CO House District 13 (Republican Party)	1	CO House District 13	Republican Party
CO House District 14 (Republican Party)	1	CO House District 14	Republican Party
CO House District 15 (Republican Party)	1	CO House District 15	Republican Party
CO House District 16 (Republican Party)	1	CO House District 16	Republican Party
CO House District 17 (Republican Party)	1	CO House District 17	Republican Party
CO House District 18 (Republican Party)	1	CO House District 18	Republican Party
CO House District 19 (Republican Party)	1	CO House District 19	Republican Party
CO House District 20 (Republican Party)	1	CO House District 20	Republican Party
CO House District 21 (Republican Party)	1	CO House District 21	Republican Party
CO House District 22 (Republican Party)	1	CO House District 22	Republican Party
CO House District 23 (Republican Party)	1	CO House District 23	Republican Party
CO House District 24 (Republican Party)	1	CO House District 24	Republican Party
CO House District 25 (Republican Party)	1	CO House District 25	Republican Party
CO House District 26 (Republican Party)	1	CO House District 26	Republican Party
CO House District 27 (Republican Party)	1	CO House District 27	Republican Party
CO House District 28 (Republican Party)	1	CO House District 28	Republican Party
CO House District 29 (Republican Party)	1	CO House District 29	Republican Party
CO House District 30 (Republican Party)	1	CO House District 30	Republican Party
CO House District 31 (Republican Party)	1	CO House District 31	Republican Party
CO House District 32 (Republican Party)	1	CO House District 32	Republican Party
CO House District 33 (Republican Party)	1	CO House District 33	Republican Party
CO House District 34 (Republican Party)	1	CO House District 34	Republican Party
CO House District 35 (Republican Party)	1	CO House District 35	Republican Party
CO House District 36 (Republican Party)	1	CO House District 36	Republican Party
CO House District 37 (Republican Party)	1	CO House District 37	Republican Party
CO House District 38 (Republican Party)	1	CO House District 38	Republican Party
CO House District 39 (Republican Party)	1	CO House District 39	Republican Party
CO House District 40 (Republican Party)	1	CO House District 40	Republican Party
CO House District 41 (Republican Party)	1	CO House District 41	Republican Party
CO House District 42 (Republican Party)	1	CO House District 42	Republican Party
CO House District 43 (Republican Party)	1	CO House District 43	Republican Party
CO House District 44 (Republican Party)	1	CO House District 44	Republican Party
