Name	ReportingUnitType
Colorado;US House CO District 1	congressional
Colorado;US House CO District 2	congressional
Colorado;US House CO District 3	congressional
Colorado;US House CO District 4	congressional
Colorado;US House CO District 5	congressional
Colorado;US House CO District 6	congressional
Colorado;US House CO District 7	congressional
Colorado;Adams County	county
Colorado;Alamosa County	county
Colorado;Arapahoe County	county
Colorado;Archuleta County	county
Colorado;Baca County	county
Colorado;Bent County	county
Colorado;Boulder County	county
Colorado;Broomfield County	county
Colorado;Chaffee County	county
Colorado;Cheyenne County	county
Colorado;Clear Creek County	county
Colorado;Conejos County	county
Colorado;Costilla County	county
Colorado;Crowley County	county
Colorado;Custer County	county
Colorado;Delta County	county
Colorado;Denver County	county
Colorado;Dolores County	county
Colorado;Douglas County	county
Colorado;Eagle County	county
Colorado;El Paso County	county
Colorado;Elbert County	county
Colorado;Fremont County	county
Colorado;Garfield County	county
Colorado;Gilpin County	county
Colorado;Grand County	county
Colorado;Gunnison County	county
Colorado;Hinsdale County	county
Colorado;Huerfano County	county
Colorado;Jackson County	county
Colorado;Jefferson County	county
Colorado;Kiowa County	county
Colorado;Kit Carson County	county
Colorado;La Plata County	county
Colorado;Lake County	county
Colorado;Larimer County	county
Colorado;Las Animas County	county
Colorado;Lincoln County	county
Colorado;Logan County	county
Colorado;Mesa County	county
Colorado;Mineral County	county
Colorado;Moffat County	county
Colorado;Montezuma County	county
Colorado;Montrose County	county
Colorado;Morgan County	county
Colorado;Otero County	county
Colorado;Ouray County	county
Colorado;Park County	county
Colorado;Phillips County	county
Colorado;Pitkin County	county
Colorado;Prowers County	county
Colorado;Pueblo County	county
Colorado;Rio Blanco County	county
Colorado;Rio Grande County	county
Colorado;Routt County	county
Colorado;Saguache County	county
Colorado;San Juan County	county
Colorado;San Miguel County	county
Colorado;Sedgwick County	county
Colorado;Summit County	county
Colorado;Teller County	county
Colorado;Washington County	county
Colorado;Weld County	county
Colorado;Yuma County	county
Colorado	state
Colorado;CO House District 1	state-house
Colorado;CO House District 10	state-house
Colorado;CO House District 11	state-house
Colorado;CO House District 12	state-house
Colorado;CO House District 13	state-house
Colorado;CO House District 14	state-house
Colorado;CO House District 15	state-house
Colorado;CO House District 16	state-house
Colorado;CO House District 17	state-house
Colorado;CO House District 18	state-house
Colorado;CO House District 19	state-house
Colorado;CO House District 2	state-house
Colorado;CO House District 20	state-house
Colorado;CO House District 21	state-house
Colorado;CO House District 22	state-house
Colorado;CO House District 23	state-house
Colorado;CO House District 24	state-house
Colorado;CO House District 25	state-house
Colorado;CO House District 26	state-house
Colorado;CO House District 27	state-house
Colorado;CO House District 28	state-house
Colorado;CO House District 29	state-house
Colorado;CO House District 3	state-house
Colorado;CO House District 30	state-house
Colorado;CO House District 31	state-house
