cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	CO House District 1 (Democratic Party)	State Representative - District 1 (Democratic Party)
CandidateContest	CO House District 2 (Democratic Party)	State Representative - District 2 (Democratic Party)
CandidateContest	CO House District 3 (Democratic Party)	State Representative - District 3 (Democratic Party)
CandidateContest	CO House District 4 (Democratic Party)	State Representative - District 4 (Democratic Party)
CandidateContest	CO House District 5 (Democratic Party)	State Representative - District 5 (Democratic Party)
CandidateContest	CO House District 6 (Democratic Party)	State Representative - District 6 (Democratic Party)
CandidateContest	CO House District 7 (Democratic Party)	State Representative - District 7 (Democratic Party)
CandidateContest	CO House District 8 (Democratic Party)	State Representative - District 8 (Democratic Party)
CandidateContest	CO House District 9 (Democratic Party)	State Representative - District 9 (Democratic Party)
CandidateContest	CO House District 10 (Democratic Party)	State Representative - District 10 (Democratic Party)
CandidateContest	CO House District 11 (Democratic Party)	State Representative - District 11 (Democratic Party)
CandidateContest	CO House District 12 (Democratic Party)	State Representative - District 12 (Democratic Party)
CandidateContest	CO House District 13 (Democratic Party)	State Representative - District 13 (Democratic Party)
CandidateContest	CO House District 14 (Democratic Party)	State Representative - District 14 (Democratic Party)
CandidateContest	CO House District 15 (Democratic Party)	State Representative - District 15 (Democratic Party)
CandidateContest	CO House District 16 (Democratic Party)	State Representative - District 16 (Democratic Party)
CandidateContest	CO House District 17 (Democratic Party)	State Representative - District 17 (Democratic Party)
CandidateContest	CO House District 18 (Democratic Party)	State Representative - District 18 (Democratic Party)
CandidateContest	CO House District 19 (Democratic Party)	State Representative - District 19 (Democratic Party)
CandidateContest	CO House District 20 (Democratic Party)	State Representative - District 20 (Democratic Party)
CandidateContest	CO House District 21 (Democratic Party)	State Representative - District 21 (Democratic Party)
CandidateContest	CO House District 22 (Democratic Party)	State Representative - District 22 (Democratic Party)
CandidateContest	CO House District 23 (Democratic Party)	State Representative - District 23 (Democratic Party)
CandidateContest	CO House District 24 (Democratic Party)	State Representative - District 24 (Democratic Party)
CandidateContest	CO House District 25 (Democratic Party)	State Representative - District 25 (Democratic Party)
CandidateContest	CO House District 26 (Democratic Party)	State Representative - District 26 (Democratic Party)
CandidateContest	CO House District 27 (Democratic Party)	State Representative - District 27 (Democratic Party)
CandidateContest	CO House District 28 (Democratic Party)	State Representative - District 28 (Democratic Party)
CandidateContest	CO House District 29 (Democratic Party)	State Representative - District 29 (Democratic Party)
CandidateContest	CO House District 30 (Democratic Party)	State Representative - District 30 (Democratic Party)
CandidateContest	CO House District 31 (Democratic Party)	State Representative - District 31 (Democratic Party)
CandidateContest	CO House District 32 (Democratic Party)	State Representative - District 32 (Democratic Party)
CandidateContest	CO House District 33 (Democratic Party)	State Representative - District 33 (Democratic Party)
CandidateContest	CO House District 34 (Democratic Party)	State Representative - District 34 (Democratic Party)
CandidateContest	CO House District 35 (Democratic Party)	State Representative - District 35 (Democratic Party)
CandidateContest	CO House District 36 (Democratic Party)	State Representative - District 36 (Democratic Party)
CandidateContest	CO House District 37 (Democratic Party)	State Representative - District 37 (Democratic Party)
CandidateContest	CO House District 38 (Democratic Party)	State Representative - District 38 (Democratic Party)
CandidateContest	CO House District 39 (Democratic Party)	State Representative - District 39 (Democratic Party)
CandidateContest	CO House District 40 (Democratic Party)	State Representative - District 40 (Democratic Party)
CandidateContest	CO House District 41 (Democratic Party)	State Representative - District 41 (Democratic Party)
CandidateContest	CO House District 42 (Democratic Party)	State Representative - District 42 (Democratic Party)
CandidateContest	CO House District 43 (Democratic Party)	State Representative - District 43 (Democratic Party)
CandidateContest	CO House District 44 (Democratic Party)	State Representative - District 44 (Democratic Party)
CandidateContest	CO House District 45 (Democratic Party)	State Representative - District 45 (Democratic Party)
CandidateContest	CO House District 46 (Democratic Party)	State Representative - District 46 (Democratic Party)
CandidateContest	CO House District 47 (Democratic Party)	State Representative - District 47 (Democratic Party)
CandidateContest	CO House District 48 (Democratic Party)	State Representative - District 48 (Democratic Party)
CandidateContest	CO House District 49 (Democratic Party)	State Representative - District 49 (Democratic Party)
CandidateContest	CO House District 50 (Democratic Party)	State Representative - District 50 (Democratic Party)
CandidateContest	CO House District 51 (Democratic Party)	State Representative - District 51 (Democratic Party)
CandidateContest	CO House District 52 (Democratic Party)	State Representative - District 52 (Democratic Party)
CandidateContest	CO House District 53 (Democratic Party)	State Representative - District 53 (Democratic Party)
CandidateContest	CO House District 54 (Democratic Party)	State Representative - District 54 (Democratic Party)
CandidateContest	CO House District 55 (Democratic Party)	State Representative - District 55 (Democratic Party)
CandidateContest	CO House District 56 (Democratic Party)	State Representative - District 56 (Democratic Party)
CandidateContest	CO House District 57 (Democratic Party)	State Representative - District 57 (Democratic Party)
CandidateContest	CO House District 58 (Democratic Party)	State Representative - District 58 (Democratic Party)
CandidateContest	CO House District 59 (Democratic Party)	State Representative - District 59 (Democratic Party)
CandidateContest	CO House District 60 (Democratic Party)	State Representative - District 60 (Democratic Party)
CandidateContest	CO House District 61 (Democratic Party)	State Representative - District 61 (Democratic Party)
CandidateContest	CO House District 62 (Democratic Party)	State Representative - District 62 (Democratic Party)
CandidateContest	CO House District 63 (Democratic Party)	State Representative - District 63 (Democratic Party)
CandidateContest	CO House District 64 (Democratic Party)	State Representative - District 64 (Democratic Party)
CandidateContest	CO House District 65 (Democratic Party)	State Representative - District 65 (Democratic Party)
CandidateContest	CO Senate District 1 (Democratic Party)	State Senate - District 1 (Democratic Party)
CandidateContest	CO Senate District 2 (Democratic Party)	State Senate - District 2 (Democratic Party)
CandidateContest	CO Senate District 3 (Democratic Party)	State Senate - District 3 (Democratic Party)
