Name	ReportingUnitType
Delaware;DE House District 1	state-house
Delaware;DE House District 2	state-house
Delaware;DE House District 3	state-house
Delaware;DE House District 4	state-house
Delaware;DE House District 5	state-house
Delaware;DE House District 6	state-house
Delaware;DE House District 7	state-house
Delaware;DE House District 8	state-house
Delaware;DE House District 9	state-house
Delaware;DE House District 10	state-house
Delaware;DE House District 11	state-house
Delaware;DE House District 12	state-house
Delaware;DE House District 13	state-house
Delaware;DE House District 14	state-house
Delaware;DE House District 15	state-house
Delaware;DE House District 16	state-house
Delaware;DE House District 17	state-house
Delaware;DE House District 18	state-house
Delaware;DE House District 19	state-house
Delaware;DE House District 20	state-house
Delaware;DE House District 21	state-house
Delaware;DE House District 22	state-house
Delaware;DE House District 23	state-house
Delaware;DE House District 24	state-house
Delaware;DE House District 25	state-house
Delaware;DE House District 26	state-house
Delaware;DE House District 27	state-house
Delaware;DE House District 28	state-house
Delaware;DE House District 29	state-house
Delaware;DE House District 30	state-house
Delaware;DE House District 31	state-house
Delaware;DE House District 32	state-house
Delaware;DE House District 33	state-house
Delaware;DE House District 34	state-house
Delaware;DE House District 35	state-house
Delaware;DE House District 36	state-house
Delaware;DE House District 37	state-house
Delaware;DE House District 38	state-house
Delaware;DE House District 39	state-house
Delaware;DE House District 40	state-house
Delaware;DE House District 41	state-house
Delaware;DE Senate District 1	state-senate
Delaware;DE Senate District 2	state-senate
Delaware;DE Senate District 3	state-senate
Delaware;DE Senate District 4	state-senate
Delaware;DE Senate District 5	state-senate
Delaware;DE Senate District 6	state-senate
Delaware;DE Senate District 7	state-senate
Delaware;DE Senate District 8	state-senate
Delaware;DE Senate District 9	state-senate
Delaware;DE Senate District 10	state-senate
Delaware;DE Senate District 11	state-senate
Delaware;DE Senate District 12	state-senate
Delaware;DE Senate District 13	state-senate
Delaware;DE Senate District 14	state-senate
Delaware;DE Senate District 15	state-senate
Delaware;DE Senate District 16	state-senate
Delaware;DE Senate District 17	state-senate
Delaware;DE Senate District 18	state-senate
Delaware;DE Senate District 19	state-senate
Delaware;DE Senate District 20	state-senate
Delaware;DE Senate District 21	state-senate
Delaware	state
Delaware;New Castle County;01-01	precinct
Delaware;Kent County;11-05	precinct
Delaware;Sussex County;14-01	precinct
Delaware;New Castle County;01-02	precinct
Delaware;Kent County;11-06	precinct
Delaware;Sussex County;14-02	precinct
Delaware;New Castle County;01-03	precinct
Delaware;Kent County;11-07	precinct
Delaware;Sussex County;14-03	precinct
Delaware;New Castle County;01-04	precinct
Delaware;Kent County;11-08	precinct
Delaware;Sussex County;14-04	precinct
Delaware;New Castle County;01-05	precinct
Delaware;Kent County;11-09	precinct
Delaware;Sussex County;14-05	precinct
Delaware;New Castle County;01-06	precinct
Delaware;Kent County;11-10	precinct
Delaware;Sussex County;14-06	precinct
Delaware;New Castle County;01-07	precinct
Delaware;Kent County;28-01	precinct
Delaware;Sussex County;14-07	precinct
Delaware;New Castle County;01-08	precinct
Delaware;Kent County;28-02	precinct
Delaware;Sussex County;20-01	precinct
Delaware;New Castle County;01-09	precinct
Delaware;Kent County;28-03	precinct
Delaware;Sussex County;20-02	precinct
Delaware;New Castle County;01-10	precinct
Delaware;Kent County;28-04	precinct
Delaware;Sussex County;20-03	precinct
Delaware;New Castle County;01-11	precinct
Delaware;Kent County;28-05	precinct
Delaware;Sussex County;20-04	precinct
Delaware;New Castle County;01-12	precinct
Delaware;Kent County;28-06	precinct
Delaware;Sussex County;20-05	precinct
Delaware;New Castle County;01-13	precinct
Delaware;Kent County;28-07	precinct
Delaware;Sussex County;20-06	precinct
Delaware;New Castle County;01-14	precinct
Delaware;Kent County;28-08	precinct
Delaware;Sussex County;20-07	precinct
Delaware;New Castle County;02-01	precinct
Delaware;Kent County;28-09	precinct
Delaware;Sussex County;20-08	precinct
Delaware;New Castle County;02-02	precinct
Delaware;Kent County;28-10	precinct
Delaware;Sussex County;20-09	precinct
Delaware;New Castle County;02-03	precinct
Delaware;Kent County;28-11	precinct
Delaware;Sussex County;20-10	precinct
Delaware;New Castle County;02-04	precinct
Delaware;Kent County;28-12	precinct
Delaware;Sussex County;35-01	precinct
Delaware;New Castle County;02-05	precinct
Delaware;Kent County;28-13	precinct
Delaware;Sussex County;35-02	precinct
Delaware;New Castle County;02-06	precinct
Delaware;Kent County;28-14	precinct
Delaware;Sussex County;35-03	precinct
Delaware;New Castle County;02-07	precinct
Delaware;Kent County;29-01	precinct
Delaware;Sussex County;35-04	precinct
Delaware;New Castle County;02-08	precinct
Delaware;Kent County;29-02	precinct
Delaware;Sussex County;35-05	precinct
Delaware;New Castle County;02-09	precinct
Delaware;Kent County;29-03	precinct
Delaware;Sussex County;35-06	precinct
Delaware;New Castle County;02-10	precinct
Delaware;Kent County;29-04	precinct
Delaware;Sussex County;35-07	precinct
Delaware;New Castle County;02-11	precinct
Delaware;Kent County;29-05	precinct
Delaware;Sussex County;36-01	precinct
Delaware;New Castle County;02-12	precinct
Delaware;New Castle County;02-17	precinct
Delaware;Kent County;29-06	precinct
Delaware;Sussex County;36-02	precinct
Delaware;New Castle County;03-01	precinct
Delaware;Kent County;29-07	precinct
Delaware;Sussex County;36-03	precinct
Delaware;New Castle County;03-02	precinct
Delaware;Kent County;29-08	precinct
Delaware;Sussex County;36-04	precinct
Delaware;New Castle County;03-03	precinct
Delaware;Kent County;29-09	precinct
Delaware;Sussex County;36-05	precinct
Delaware;New Castle County;03-04	precinct
Delaware;Kent County;29-10	precinct
Delaware;Sussex County;36-06	precinct
Delaware;New Castle County;03-05	precinct
Delaware;Kent County;29-11	precinct
Delaware;Sussex County;36-07	precinct
Delaware;New Castle County;03-06	precinct
Delaware;Kent County;29-12	precinct
Delaware;Sussex County;36-08	precinct
Delaware;New Castle County;03-07	precinct
Delaware;Kent County;29-13	precinct
Delaware;Sussex County;36-09	precinct
Delaware;New Castle County;03-08	precinct
Delaware;Kent County;30-01	precinct
Delaware;Sussex County;36-10	precinct
Delaware;New Castle County;03-09	precinct
Delaware;Kent County;30-02	precinct
Delaware;Sussex County;36-11	precinct
Delaware;New Castle County;03-10	precinct
Delaware;Kent County;30-03	precinct
Delaware;Sussex County;37-01	precinct
Delaware;New Castle County;04-01	precinct
Delaware;Kent County;30-04	precinct
Delaware;Sussex County;37-02	precinct
Delaware;New Castle County;04-02	precinct
Delaware;Kent County;30-05	precinct
Delaware;Sussex County;37-03	precinct
Delaware;New Castle County;04-03	precinct
Delaware;Kent County;30-06	precinct
Delaware;Sussex County;37-04	precinct
Delaware;New Castle County;04-04	precinct
Delaware;Kent County;30-07	precinct
Delaware;Sussex County;37-05	precinct
Delaware;New Castle County;04-05	precinct
Delaware;Kent County;30-08	precinct
Delaware;Sussex County;37-06	precinct
Delaware;New Castle County;04-06	precinct
Delaware;Kent County;30-09	precinct
Delaware;Sussex County;37-07	precinct
Delaware;New Castle County;04-07	precinct
Delaware;Kent County;30-10	precinct
Delaware;Sussex County;38-01	precinct
Delaware;New Castle County;04-08	precinct
Delaware;Kent County;30-11	precinct
Delaware;Sussex County;38-02	precinct
Delaware;New Castle County;04-09	precinct
Delaware;Kent County;30-12	precinct
Delaware;Sussex County;38-03	precinct
Delaware;New Castle County;04-10	precinct
Delaware;Kent County;31-01	precinct
Delaware;Sussex County;38-04	precinct
Delaware;New Castle County;04-11	precinct
Delaware;Kent County;31-02	precinct
Delaware;Sussex County;38-05	precinct
Delaware;New Castle County;04-12	precinct
Delaware;Kent County;31-03	precinct
Delaware;Sussex County;38-06	precinct
Delaware;New Castle County;04-13	precinct
Delaware;Kent County;31-04	precinct
Delaware;Sussex County;38-07	precinct
Delaware;New Castle County;04-14	precinct
Delaware;Kent County;31-05	precinct
Delaware;Sussex County;38-08	precinct
Delaware;New Castle County;04-15	precinct
Delaware;Kent County;31-06	precinct
Delaware;Sussex County;39-01	precinct
Delaware;New Castle County;04-16	precinct
Delaware;Kent County;31-07	precinct
Delaware;Sussex County;39-02	precinct
Delaware;New Castle County;05-01	precinct
Delaware;Kent County;31-08	precinct
Delaware;Sussex County;39-03	precinct
Delaware;New Castle County;05-02	precinct
Delaware;Kent County;31-09	precinct
Delaware;Sussex County;39-04	precinct
Delaware;New Castle County;05-03	precinct
Delaware;Kent County;31-10	precinct
Delaware;Sussex County;39-05	precinct
Delaware;New Castle County;05-04	precinct
Delaware;Kent County;31-11	precinct
Delaware;Kent County;31-16	precinct
Delaware;Sussex County;39-06	precinct
Delaware;New Castle County;05-05	precinct
Delaware;Kent County;32-01	precinct
Delaware;Sussex County;39-07	precinct
Delaware;New Castle County;05-06	precinct
Delaware;Kent County;32-02	precinct
Delaware;Sussex County;40-01	precinct
Delaware;New Castle County;05-07	precinct
