cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	DE House District 1 (Democratic Party)	State Representative District 1 (Democratic)
CandidateContest	DE House District 2 (Democratic Party)	State Representative District 2 (Democratic)
CandidateContest	DE House District 3 (Democratic Party)	State Representative District 3 (Democratic)
CandidateContest	DE House District 4 (Democratic Party)	State Representative District 4 (Democratic)
CandidateContest	DE House District 5 (Democratic Party)	State Representative District 5 (Democratic)
CandidateContest	DE House District 6 (Democratic Party)	State Representative District 6 (Democratic)
CandidateContest	DE House District 7 (Democratic Party)	State Representative District 7 (Democratic)
CandidateContest	DE House District 8 (Democratic Party)	State Representative District 8 (Democratic)
CandidateContest	DE House District 9 (Democratic Party)	State Representative District 9 (Democratic)
CandidateContest	DE House District 10 (Democratic Party)	State Representative District 10 (Democratic)
CandidateContest	DE House District 11 (Democratic Party)	State Representative District 11 (Democratic)
CandidateContest	DE House District 12 (Democratic Party)	State Representative District 12 (Democratic)
CandidateContest	DE House District 13 (Democratic Party)	State Representative District 13 (Democratic)
CandidateContest	DE House District 14 (Democratic Party)	State Representative District 14 (Democratic)
CandidateContest	DE House District 15 (Democratic Party)	State Representative District 15 (Democratic)
CandidateContest	DE House District 16 (Democratic Party)	State Representative District 16 (Democratic)
CandidateContest	DE House District 17 (Democratic Party)	State Representative District 17 (Democratic)
CandidateContest	DE House District 18 (Democratic Party)	State Representative District 18 (Democratic)
CandidateContest	DE House District 19 (Democratic Party)	State Representative District 19 (Democratic)
CandidateContest	DE House District 20 (Democratic Party)	State Representative District 20 (Democratic)
CandidateContest	DE House District 21 (Democratic Party)	State Representative District 21 (Democratic)
CandidateContest	DE House District 22 (Democratic Party)	State Representative District 22 (Democratic)
CandidateContest	DE House District 23 (Democratic Party)	State Representative District 23 (Democratic)
CandidateContest	DE House District 24 (Democratic Party)	State Representative District 24 (Democratic)
CandidateContest	DE House District 25 (Democratic Party)	State Representative District 25 (Democratic)
CandidateContest	DE House District 26 (Democratic Party)	State Representative District 26 (Democratic)
CandidateContest	DE House District 27 (Democratic Party)	State Representative District 27 (Democratic)
CandidateContest	DE House District 28 (Democratic Party)	State Representative District 28 (Democratic)
CandidateContest	DE House District 29 (Democratic Party)	State Representative District 29 (Democratic)
CandidateContest	DE House District 30 (Democratic Party)	State Representative District 30 (Democratic)
CandidateContest	DE House District 31 (Democratic Party)	State Representative District 31 (Democratic)
CandidateContest	DE House District 32 (Democratic Party)	State Representative District 32 (Democratic)
CandidateContest	DE House District 33 (Democratic Party)	State Representative District 33 (Democratic)
CandidateContest	DE House District 34 (Democratic Party)	State Representative District 34 (Democratic)
CandidateContest	DE House District 35 (Democratic Party)	State Representative District 35 (Democratic)
CandidateContest	DE House District 36 (Democratic Party)	State Representative District 36 (Democratic)
CandidateContest	DE House District 37 (Democratic Party)	State Representative District 37 (Democratic)
CandidateContest	DE House District 38 (Democratic Party)	State Representative District 38 (Democratic)
CandidateContest	DE House District 39 (Democratic Party)	State Representative District 39 (Democratic)
CandidateContest	DE House District 40 (Democratic Party)	State Representative District 40 (Democratic)
CandidateContest	DE House District 41 (Democratic Party)	State Representative District 41 (Democratic)
CandidateContest	DE Senate District 1 (Democratic Party)	State Senator District 1 (Democratic)
CandidateContest	DE Senate District 2 (Democratic Party)	State Senator District 2 (Democratic)
CandidateContest	DE Senate District 3 (Democratic Party)	State Senator District 3 (Democratic)
CandidateContest	DE Senate District 4 (Democratic Party)	State Senator District 4 (Democratic)
CandidateContest	DE Senate District 5 (Democratic Party)	State Senator District 5 (Democratic)
CandidateContest	DE Senate District 6 (Democratic Party)	State Senator District 6 (Democratic)
CandidateContest	DE Senate District 7 (Democratic Party)	State Senator District 7 (Democratic)
CandidateContest	DE Senate District 8 (Democratic Party)	State Senator District 8 (Democratic)
CandidateContest	DE Senate District 9 (Democratic Party)	State Senator District 9 (Democratic)
CandidateContest	DE Senate District 10 (Democratic Party)	State Senator District 10 (Democratic)
CandidateContest	DE Senate District 11 (Democratic Party)	State Senator District 11 (Democratic)
CandidateContest	DE Senate District 12 (Democratic Party)	State Senator District 12 (Democratic)
CandidateContest	DE Senate District 13 (Democratic Party)	State Senator District 13 (Democratic)
CandidateContest	DE Senate District 14 (Democratic Party)	State Senator District 14 (Democratic)
CandidateContest	DE Senate District 15 (Democratic Party)	State Senator District 15 (Democratic)
CandidateContest	DE Senate District 16 (Democratic Party)	State Senator District 16 (Democratic)
CandidateContest	DE Senate District 17 (Democratic Party)	State Senator District 17 (Democratic)
CandidateContest	DE Senate District 18 (Democratic Party)	State Senator District 18 (Democratic)
CandidateContest	DE Senate District 19 (Democratic Party)	State Senator District 19 (Democratic)
CandidateContest	DE Senate District 20 (Democratic Party)	State Senator District 20 (Democratic)
CandidateContest	DE Senate District 21 (Democratic Party)	State Senator District 21 (Democratic)
CandidateContest	US House DE District 1 (Democratic Party)	US House DE District 1 (Democratic)
CandidateContest	US President (DE) (Democratic Party)	President (Democratic)
CandidateContest	DE Governor (Democratic Party)	Governor (Democratic)
