Name	NumberElected	Office	PrimaryParty
FL House District 1	1	FL House District 1	
FL House District 2	1	FL House District 2	
FL House District 3	1	FL House District 3	
FL House District 4	1	FL House District 4	
FL House District 5	1	FL House District 5	
FL House District 6	1	FL House District 6	
FL House District 7	1	FL House District 7	
FL House District 8	1	FL House District 8	
FL House District 9	1	FL House District 9	
FL House District 10	1	FL House District 10	
FL House District 11	1	FL House District 11	
FL House District 12	1	FL House District 12	
FL House District 13	1	FL House District 13	
FL House District 14	1	FL House District 14	
FL House District 15	1	FL House District 15	
FL House District 16	1	FL House District 16	
FL House District 17	1	FL House District 17	
FL House District 18	1	FL House District 18	
FL House District 19	1	FL House District 19	
FL House District 20	1	FL House District 20	
FL House District 21	1	FL House District 21	
FL House District 22	1	FL House District 22	
FL House District 23	1	FL House District 23	
FL House District 24	1	FL House District 24	
FL House District 25	1	FL House District 25	
FL House District 26	1	FL House District 26	
FL House District 27	1	FL House District 27	
FL House District 28	1	FL House District 28	
FL House District 29	1	FL House District 29	
FL House District 30	1	FL House District 30	
FL House District 31	1	FL House District 31	
FL House District 32	1	FL House District 32	
FL House District 33	1	FL House District 33	
FL House District 34	1	FL House District 34	
FL House District 35	1	FL House District 35	
FL House District 36	1	FL House District 36	
FL House District 37	1	FL House District 37	
FL House District 38	1	FL House District 38	
FL House District 39	1	FL House District 39	
FL House District 40	1	FL House District 40	
FL House District 41	1	FL House District 41	
FL House District 42	1	FL House District 42	
FL House District 43	1	FL House District 43	
FL House District 44	1	FL House District 44	
FL House District 45	1	FL House District 45	
FL House District 46	1	FL House District 46	
FL House District 47	1	FL House District 47	
FL House District 48	1	FL House District 48	
FL House District 49	1	FL House District 49	
FL House District 50	1	FL House District 50	
FL House District 51	1	FL House District 51	
FL House District 52	1	FL House District 52	
FL House District 53	1	FL House District 53	
FL House District 54	1	FL House District 54	
FL House District 55	1	FL House District 55	
FL House District 56	1	FL House District 56	
FL House District 57	1	FL House District 57	
FL House District 58	1	FL House District 58	
FL House District 59	1	FL House District 59	
FL House District 60	1	FL House District 60	
FL House District 61	1	FL House District 61	
FL House District 62	1	FL House District 62	
FL House District 63	1	FL House District 63	
FL House District 64	1	FL House District 64	
FL House District 65	1	FL House District 65	
FL House District 66	1	FL House District 66	
FL House District 67	1	FL House District 67	
FL House District 68	1	FL House District 68	
FL House District 69	1	FL House District 69	
FL House District 70	1	FL House District 70	
FL House District 71	1	FL House District 71	
FL House District 72	1	FL House District 72	
FL House District 73	1	FL House District 73	
FL House District 74	1	FL House District 74	
FL House District 75	1	FL House District 75	
FL House District 76	1	FL House District 76	
FL House District 77	1	FL House District 77	
FL House District 78	1	FL House District 78	
FL House District 79	1	FL House District 79	
FL House District 80	1	FL House District 80	
FL House District 81	1	FL House District 81	
FL House District 82	1	FL House District 82	
FL House District 83	1	FL House District 83	
FL House District 84	1	FL House District 84	
FL House District 85	1	FL House District 85	
FL House District 86	1	FL House District 86	
FL House District 87	1	FL House District 87	
FL House District 88	1	FL House District 88	
FL House District 89	1	FL House District 89	
FL House District 90	1	FL House District 90	
FL House District 91	1	FL House District 91	
FL House District 92	1	FL House District 92	
FL House District 93	1	FL House District 93	
FL House District 94	1	FL House District 94	
FL House District 95	1	FL House District 95	
FL House District 96	1	FL House District 96	
FL House District 97	1	FL House District 97	
FL House District 98	1	FL House District 98	
FL House District 99	1	FL House District 99	
FL House District 100	1	FL House District 100	
FL House District 101	1	FL House District 101	
FL House District 102	1	FL House District 102	
FL House District 103	1	FL House District 103	
FL House District 104	1	FL House District 104	
FL House District 105	1	FL House District 105	
FL House District 106	1	FL House District 106	
FL House District 107	1	FL House District 107	
FL House District 108	1	FL House District 108	
FL House District 109	1	FL House District 109	
FL House District 110	1	FL House District 110	
FL House District 111	1	FL House District 111	
FL House District 112	1	FL House District 112	
FL House District 113	1	FL House District 113	
FL House District 114	1	FL House District 114	
FL House District 115	1	FL House District 115	
FL House District 116	1	FL House District 116	
FL House District 117	1	FL House District 117	
FL House District 118	1	FL House District 118	
FL House District 119	1	FL House District 119	
FL House District 120	1	FL House District 120	
FL Senate District 1	1	FL Senate District 1	
FL Senate District 2	1	FL Senate District 2	
FL Senate District 3	1	FL Senate District 3	
FL Senate District 4	1	FL Senate District 4	
FL Senate District 5	1	FL Senate District 5	
FL Senate District 6	1	FL Senate District 6	
FL Senate District 7	1	FL Senate District 7	
FL Senate District 8	1	FL Senate District 8	
FL Senate District 9	1	FL Senate District 9	
FL Senate District 10	1	FL Senate District 10	
FL Senate District 11	1	FL Senate District 11	
FL Senate District 12	1	FL Senate District 12	
FL Senate District 13	1	FL Senate District 13	
FL Senate District 14	1	FL Senate District 14	
FL Senate District 15	1	FL Senate District 15	
FL Senate District 16	1	FL Senate District 16	
FL Senate District 17	1	FL Senate District 17	
FL Senate District 18	1	FL Senate District 18	
FL Senate District 19	1	FL Senate District 19	
FL Senate District 20	1	FL Senate District 20	
FL Senate District 21	1	FL Senate District 21	
FL Senate District 22	1	FL Senate District 22	
FL Senate District 23	1	FL Senate District 23	
FL Senate District 24	1	FL Senate District 24	
FL Senate District 25	1	FL Senate District 25	
FL Senate District 26	1	FL Senate District 26	
FL Senate District 27	1	FL Senate District 27	
FL Senate District 28	1	FL Senate District 28	
FL Senate District 29	1	FL Senate District 29	
