cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureContest	Voting Restoration Amendment	Amendment No. 4: Voting Restoration Amendment
BallotMeasureSelection	No	20
BallotMeasureSelection	No	Against Bonds
BallotMeasureSelection	No	NO
BallotMeasureSelection	No	No for Rejection
BallotMeasureSelection	Yes	10
BallotMeasureSelection	Yes	For Bonds
BallotMeasureSelection	Yes	YES
BallotMeasureSelection	Yes	Yes for Approval
Candidate	'Lou' Luis Delgado	'Lou' Luis Delgado
Candidate	A J 'Tony' Smith	A J 'Tony' Smith
Candidate	A. Michael Bross	A. Michael Bross
Candidate	A. Munju	A. Munju
Candidate	A. Russell Hughes	A. Russell Hughes
Candidate	Aaron Bean	Aaron Bean
Candidate	Aaron L. Brown	Aaron L. Brown
Candidate	Aaron Matthew Erskine	Aaron Matthew Erskine
Candidate	Aaron Scanlan	Aaron Scanlan
Candidate	Abbe Sheila Rifkin	Abbe Sheila Rifkin
Candidate	Abbe Sheila Rifkin Logan	Abbe Sheila Rifkin Logan
Candidate	Adam Botana	Adam Botana
Candidate	Adam Byrn Tritt	Adam Byrn Tritt
Candidate	Adam Christensen	Adam Christensen
Candidate	Adam Hattersley	Adam Hattersley
Candidate	Adam Morley	Adam Morley
Candidate	Adam Myron	Adam Myron
Candidate	Addison Gray Davis	Addison Gray Davis
Candidate	Adrian 'A.D.' Kinsey	Adrian 'A.D.' Kinsey
Candidate	Adrian H Cline	Adrian H Cline
Candidate	Adrian McCray	Adrian McCray
Candidate	Against Bonds	Against Bonds
Candidate	Akin Akinyemi	Akin Akinyemi
Candidate	Al Bouie	Al Bouie
Candidate	Al Duffy	Al Duffy
Candidate	Al Gore	Al Gore
Candidate	Al Jacquet	Al Jacquet
Candidate	Al Lawson	Al Lawson
Candidate	Al Ron Gonzalez	Al Ron Gonzalez
Candidate	Al Shilling	Al Shilling
Candidate	Al Smith	Al Smith
Candidate	Alain Capucci	Alain Capucci
Candidate	Alan Apte	Alan Apte
Candidate	Alan C. Garceau	Alan C. Garceau
Candidate	Alan Cohn	Alan Cohn
Candidate	Alan F Hamisch	Alan F Hamisch
Candidate	Alan Grayson	Alan Grayson
Candidate	Alan Grofe	Alan Grofe
Candidate	Alan Harris	Alan Harris
Candidate	Alan Hays	Alan Hays
Candidate	Alan J Kapalka	Alan J Kapalka
Candidate	Alan Maio	Alan Maio
Candidate	Alan Williams	Alan Williams
Candidate	Alanis Elizabeth Garcia	Alanis Elizabeth Garcia
Candidate	Albert Chester	Albert Chester
Candidate	Albert E. Thomka	Albert E. Thomka
Candidate	Albert Jordan	Albert Jordan
Candidate	Albert M. Griffiths	Albert M. Griffiths
Candidate	Albert Oram	Albert Oram
Candidate	Alcee L. Hastings	Alcee L. Hastings
Candidate	Alcolya J.L. St. Juste	Alcolya J.L. St. Juste
Candidate	Alejandro Carrandi	Alejandro Carrandi
Candidate	Alejandro Paret	Alejandro Paret
Candidate	Alek Bynzar	Alek Bynzar
Candidate	Aletris Farnam	Aletris Farnam
Candidate	Alex Andrade	Alex Andrade
Candidate	Alex Barrio	Alex Barrio
Candidate	Alex Heeren	Alex Heeren
Candidate	Alex Perez	Alex Perez
Candidate	Alex Rizo	Alex Rizo
Candidate	Alex Rodriguez	Alex Rodriguez
Candidate	Alexandra 'Alex' Miller	Alexandra 'Alex' Miller
Candidate	Alexandria Suarez	Alexandria Suarez
Candidate	Alexis Carter	Alexis Carter
Candidate	Alfred 'Mike' N Lawrence	Alfred 'Mike' N Lawrence
Candidate	Alfred D. Marten	Alfred D. Marten
Candidate	Alicia Bays	Alicia Bays
Candidate	Alicia Washington	Alicia Washington
Candidate	Alina Valdes	Alina Valdes
Candidate	Allan F. Burke	Allan F. Burke
Candidate	Allegra Fung	Allegra Fung
Candidate	Allen Ellison	Allen Ellison
Candidate	Allen L. Moore	Allen L. Moore
Candidate	Allison Gilman	Allison Gilman
Candidate	Allison Tant	Allison Tant
Candidate	Alston Kelley	Alston Kelley
Candidate	Althea Penny Sutton	Althea Penny Sutton
Candidate	Alton K 'Buddy' Williams III	Alton K 'Buddy' Williams III
Candidate	Alva Striplin	Alva Striplin
Candidate	Amanda Fuchswanz	Amanda Fuchswanz
Candidate	Amanda Makki	Amanda Makki
Candidate	Amanda Murphy	Amanda Murphy
Candidate	Amanda P. Wall	Amanda P. Wall
Candidate	Amber Mariano	Amber Mariano
Candidate	Amelia Johnson	Amelia Johnson
Candidate	Amira Fox	Amira Fox
Candidate	Amrita Singh	Amrita Singh
Candidate	Amy Baker	Amy Baker
Candidate	Amy C. Tidd	Amy C. Tidd
Candidate	Amy Kedron	Amy Kedron
Candidate	Amy Klobuchar	Klobuchar, Amy
Candidate	Amy Mercado	Amy Mercado
Candidate	Amy Pope Wells	Amy Pope Wells
Candidate	Amy Rogers	Amy Rogers
Candidate	Amy Wise-Coble	Amy Wise-Coble
Candidate	Ana Jo	Ana Jo
Candidate	Ana Maria Rodriguez	Ana Maria Rodriguez
Candidate	Anabella Grohoski Peralta	Anabella Grohoski Peralta
Candidate	Andrea Leigh McGee	Andrea Leigh McGee
Candidate	Andrea Ruth Gundersen	Andrea Ruth Gundersen
Candidate	Andreas Roth	Andreas Roth
Candidate	Andreas Tziotis	Andreas Tziotis
Candidate	Andrew Bilardello	Andrew Bilardello
Candidate	Andrew Brooks	Andrew Brooks
Candidate	Andrew Curtis	Andrew Curtis
Candidate	Andrew D. Basiago	Andrew D. Basiago
Candidate	Andrew Davis	Andrew Davis
Candidate	Andrew Devon Stephenson II	Andrew Devon Stephenson II
Candidate	Andrew Gillum	Andrew Gillum
Candidate	Andrew Gillum	Gillum / King
Candidate	Andrew J. Pouget	Andrew J. Pouget
Candidate	Andrew Learned	Andrew Learned
Candidate	Andrew S Barron	Andrew S Barron
Candidate	Andrew Thomson	Andrew Thomson
Candidate	Andrew W. Aschmann	Andrew W. Aschmann
Candidate	Andrew Warren	Andrew Warren
Candidate	Andrew Wasielewski	Andrew Wasielewski
Candidate	Andrew Yang	Yang, Andrew
Candidate	Andy Farrell	Andy Farrell
Candidate	Andy Kelly	Andy Kelly
Candidate	Andy Mele	Andy Mele
Candidate	Andy Ringstaff	Andy Ringstaff
Candidate	Andy Thomas	Andy Thomas
Candidate	Andy Warrener	Andy Warrener
Candidate	Angel Quinapallo	Angel Quinapallo
Candidate	Angel S. Urbina Capo	Angel S. Urbina Capo
Candidate	Angela Birdsong	Angela Birdsong
Candidate	Angela Dempsey	Angela Dempsey
Candidate	Angela L. Hoover	Angela L. Hoover
Candidate	Angela Marie Walls-Windhauser	Angela Marie Walls-Windhauser
Candidate	Angela Marie Walls-Windhauser	Walls-Windhauser / Tolbert
