Name	ReportingUnitType
Georgia;GA House District 1	state-house
Georgia;GA House District 2	state-house
Georgia;GA House District 3	state-house
Georgia;GA House District 4	state-house
Georgia;GA House District 5	state-house
Georgia;GA House District 6	state-house
Georgia;GA House District 7	state-house
Georgia;GA House District 8	state-house
Georgia;GA House District 9	state-house
Georgia;GA House District 10	state-house
Georgia;GA House District 11	state-house
Georgia;GA House District 12	state-house
Georgia;GA House District 13	state-house
Georgia;GA House District 14	state-house
Georgia;GA House District 15	state-house
Georgia;GA House District 16	state-house
Georgia;GA House District 17	state-house
Georgia;GA House District 18	state-house
Georgia;GA House District 19	state-house
Georgia;GA House District 20	state-house
Georgia;GA House District 21	state-house
Georgia;GA House District 22	state-house
Georgia;GA House District 23	state-house
Georgia;GA House District 24	state-house
Georgia;GA House District 25	state-house
Georgia;GA House District 26	state-house
Georgia;GA House District 27	state-house
Georgia;GA House District 28	state-house
Georgia;GA House District 29	state-house
Georgia;GA House District 30	state-house
Georgia;GA House District 31	state-house
Georgia;GA House District 32	state-house
Georgia;GA House District 33	state-house
Georgia;GA House District 34	state-house
Georgia;GA House District 35	state-house
Georgia;GA House District 36	state-house
Georgia;GA House District 37	state-house
Georgia;GA House District 38	state-house
Georgia;GA House District 39	state-house
Georgia;GA House District 40	state-house
Georgia;GA House District 41	state-house
Georgia;GA House District 42	state-house
Georgia;GA House District 43	state-house
Georgia;GA House District 44	state-house
Georgia;GA House District 45	state-house
Georgia;GA House District 46	state-house
Georgia;GA House District 47	state-house
Georgia;GA House District 48	state-house
Georgia;GA House District 49	state-house
Georgia;GA House District 50	state-house
Georgia;GA House District 51	state-house
Georgia;GA House District 52	state-house
Georgia;GA House District 53	state-house
Georgia;GA House District 54	state-house
Georgia;GA House District 55	state-house
Georgia;GA House District 56	state-house
Georgia;GA House District 57	state-house
Georgia;GA House District 58	state-house
Georgia;GA House District 59	state-house
Georgia;GA House District 60	state-house
Georgia;GA House District 61	state-house
Georgia;GA House District 62	state-house
Georgia;GA House District 63	state-house
Georgia;GA House District 64	state-house
Georgia;GA House District 65	state-house
Georgia;GA House District 66	state-house
Georgia;GA House District 67	state-house
Georgia;GA House District 68	state-house
Georgia;GA House District 69	state-house
Georgia;GA House District 70	state-house
Georgia;GA House District 71	state-house
Georgia;GA House District 72	state-house
Georgia;GA House District 73	state-house
Georgia;GA House District 74	state-house
Georgia;GA House District 75	state-house
Georgia;GA House District 76	state-house
Georgia;GA House District 77	state-house
Georgia;GA House District 78	state-house
Georgia;GA House District 79	state-house
Georgia;GA House District 80	state-house
Georgia;GA House District 81	state-house
Georgia;GA House District 82	state-house
Georgia;GA House District 83	state-house
Georgia;GA House District 84	state-house
Georgia;GA House District 85	state-house
Georgia;GA House District 86	state-house
Georgia;GA House District 87	state-house
Georgia;GA House District 88	state-house
Georgia;GA House District 89	state-house
Georgia;GA House District 90	state-house
Georgia;GA House District 91	state-house
Georgia;GA House District 92	state-house
Georgia;GA House District 93	state-house
Georgia;GA House District 94	state-house
Georgia;GA House District 95	state-house
Georgia;GA House District 96	state-house
Georgia;GA House District 97	state-house
Georgia;GA House District 98	state-house
Georgia;GA House District 99	state-house
Georgia;GA House District 100	state-house
Georgia;GA House District 101	state-house
Georgia;GA House District 102	state-house
Georgia;GA House District 103	state-house
Georgia;GA House District 104	state-house
Georgia;GA House District 105	state-house
Georgia;GA House District 106	state-house
Georgia;GA House District 107	state-house
Georgia;GA House District 108	state-house
Georgia;GA House District 109	state-house
Georgia;GA House District 110	state-house
Georgia;GA House District 111	state-house
Georgia;GA House District 112	state-house
Georgia;GA House District 113	state-house
Georgia;GA House District 114	state-house
Georgia;GA House District 115	state-house
Georgia;GA House District 116	state-house
Georgia;GA House District 117	state-house
Georgia;GA House District 118	state-house
Georgia;GA House District 119	state-house
Georgia;GA House District 120	state-house
Georgia;GA House District 121	state-house
Georgia;GA House District 122	state-house
Georgia;GA House District 123	state-house
Georgia;GA House District 124	state-house
Georgia;GA House District 125	state-house
Georgia;GA House District 126	state-house
Georgia;GA House District 127	state-house
Georgia;GA House District 128	state-house
Georgia;GA House District 129	state-house
Georgia;GA House District 130	state-house
Georgia;GA House District 131	state-house
Georgia;GA House District 132	state-house
Georgia;GA House District 133	state-house
Georgia;GA House District 134	state-house
Georgia;GA House District 135	state-house
Georgia;GA House District 136	state-house
Georgia;GA House District 137	state-house
Georgia;GA House District 138	state-house
Georgia;GA House District 139	state-house
Georgia;GA House District 140	state-house
Georgia;GA House District 141	state-house
Georgia;GA House District 142	state-house
Georgia;GA House District 143	state-house
Georgia;GA House District 144	state-house
Georgia;GA House District 145	state-house
Georgia;GA House District 146	state-house
Georgia;GA House District 147	state-house
Georgia;GA House District 148	state-house
Georgia;GA House District 149	state-house
Georgia;GA House District 150	state-house
Georgia;GA House District 151	state-house
Georgia;GA House District 152	state-house
Georgia;GA House District 153	state-house
Georgia;GA House District 154	state-house
Georgia;GA House District 155	state-house
Georgia;GA House District 156	state-house
Georgia;GA House District 157	state-house
Georgia;GA House District 158	state-house
Georgia;GA House District 159	state-house
Georgia;GA House District 160	state-house
Georgia;GA House District 161	state-house
Georgia;GA House District 162	state-house
Georgia;GA House District 163	state-house
Georgia;GA House District 164	state-house
Georgia;GA House District 165	state-house
Georgia;GA House District 166	state-house
Georgia;GA House District 167	state-house
Georgia;GA House District 168	state-house
Georgia;GA House District 169	state-house
Georgia;GA House District 170	state-house
Georgia;GA House District 171	state-house
Georgia;GA House District 172	state-house
Georgia;GA House District 173	state-house
Georgia;GA House District 174	state-house
Georgia;GA House District 175	state-house
Georgia;GA House District 176	state-house
Georgia;GA House District 177	state-house
Georgia;GA House District 178	state-house
Georgia;GA House District 179	state-house
Georgia;GA House District 180	state-house
Georgia;GA Senate District 1	state-senate
Georgia;GA Senate District 2	state-senate
Georgia;GA Senate District 3	state-senate
Georgia;GA Senate District 4	state-senate
Georgia;GA Senate District 5	state-senate
Georgia;GA Senate District 6	state-senate
Georgia;GA Senate District 7	state-senate
Georgia;GA Senate District 8	state-senate
