cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	GA House District 1	State House District 1
CandidateContest	GA House District 1	State House Dist 1/Estatal ante la Asamblea General Dist 1
CandidateContest	GA House District 2	State House District 2
CandidateContest	GA House District 2	State House Dist 2/Estatal ante la Asamblea General Dist 2
CandidateContest	GA House District 3	State House District 3
CandidateContest	GA House District 3	State House Dist 3/Estatal ante la Asamblea General Dist 3
CandidateContest	GA House District 4	State House District 4
CandidateContest	GA House District 4	State House Dist 4/Estatal ante la Asamblea General Dist 4
CandidateContest	GA House District 5	State House District 5
CandidateContest	GA House District 5	State House Dist 5/Estatal ante la Asamblea General Dist 5
CandidateContest	GA House District 6	State House District 6
CandidateContest	GA House District 6	State House Dist 6/Estatal ante la Asamblea General Dist 6
CandidateContest	GA House District 7	State House District 7
CandidateContest	GA House District 7	State House Dist 7/Estatal ante la Asamblea General Dist 7
CandidateContest	GA House District 8	State House District 8
CandidateContest	GA House District 8	State House Dist 8/Estatal ante la Asamblea General Dist 8
CandidateContest	GA House District 9	State House District 9
CandidateContest	GA House District 9	State House Dist 9/Estatal ante la Asamblea General Dist 9
CandidateContest	GA House District 10	State House District 10
CandidateContest	GA House District 10	State House Dist 10/Estatal ante la Asamblea General Dist 10
CandidateContest	GA House District 11	State House District 11
CandidateContest	GA House District 11	State House Dist 11/Estatal ante la Asamblea General Dist 11
CandidateContest	GA House District 12	State House District 12
CandidateContest	GA House District 12	State House Dist 12/Estatal ante la Asamblea General Dist 12
CandidateContest	GA House District 13	State House District 13
CandidateContest	GA House District 13	State House Dist 13/Estatal ante la Asamblea General Dist 13
CandidateContest	GA House District 14	State House District 14
CandidateContest	GA House District 14	State House Dist 14/Estatal ante la Asamblea General Dist 14
CandidateContest	GA House District 15	State House District 15
CandidateContest	GA House District 15	State House Dist 15/Estatal ante la Asamblea General Dist 15
CandidateContest	GA House District 16	State House District 16
CandidateContest	GA House District 16	State House Dist 16/Estatal ante la Asamblea General Dist 16
CandidateContest	GA House District 17	State House District 17
CandidateContest	GA House District 17	State House Dist 17/Estatal ante la Asamblea General Dist 17
CandidateContest	GA House District 18	State House District 18
CandidateContest	GA House District 18	State House Dist 18/Estatal ante la Asamblea General Dist 18
CandidateContest	GA House District 19	State House District 19
CandidateContest	GA House District 19	State House Dist 19/Estatal ante la Asamblea General Dist 19
CandidateContest	GA House District 20	State House District 20
CandidateContest	GA House District 20	State House Dist 20/Estatal ante la Asamblea General Dist 20
CandidateContest	GA House District 21	State House District 21
CandidateContest	GA House District 21	State House Dist 21/Estatal ante la Asamblea General Dist 21
CandidateContest	GA House District 22	State House District 22
CandidateContest	GA House District 22	State House Dist 22/Estatal ante la Asamblea General Dist 22
CandidateContest	GA House District 23	State House District 23
CandidateContest	GA House District 23	State House Dist 23/Estatal ante la Asamblea General Dist 23
CandidateContest	GA House District 24	State House District 24
CandidateContest	GA House District 24	State House Dist 24/Estatal ante la Asamblea General Dist 24
CandidateContest	GA House District 25	State House District 25
CandidateContest	GA House District 25	State House Dist 25/Estatal ante la Asamblea General Dist 25
CandidateContest	GA House District 26	State House District 26
CandidateContest	GA House District 26	State House Dist 26/Estatal ante la Asamblea General Dist 26
CandidateContest	GA House District 27	State House District 27
CandidateContest	GA House District 27	State House Dist 27/Estatal ante la Asamblea General Dist 27
CandidateContest	GA House District 28	State House District 28
CandidateContest	GA House District 28	State House Dist 28/Estatal ante la Asamblea General Dist 28
CandidateContest	GA House District 29	State House District 29
CandidateContest	GA House District 29	State House Dist 29/Estatal ante la Asamblea General Dist 29
CandidateContest	GA House District 30	State House District 30
CandidateContest	GA House District 30	State House Dist 30/Estatal ante la Asamblea General Dist 30
CandidateContest	GA House District 31	State House District 31
CandidateContest	GA House District 31	State House Dist 31/Estatal ante la Asamblea General Dist 31
CandidateContest	GA House District 32	State House District 32
CandidateContest	GA House District 32	State House Dist 32/Estatal ante la Asamblea General Dist 32
CandidateContest	GA House District 33	State House District 33
CandidateContest	GA House District 33	State House Dist 33/Estatal ante la Asamblea General Dist 33
CandidateContest	GA House District 34	State House District 34
CandidateContest	GA House District 34	State House Dist 34/Estatal ante la Asamblea General Dist 34
CandidateContest	GA House District 35	State House District 35
CandidateContest	GA House District 35	State House Dist 35/Estatal ante la Asamblea General Dist 35
CandidateContest	GA House District 36	State House District 36
CandidateContest	GA House District 36	State House Dist 36/Estatal ante la Asamblea General Dist 36
CandidateContest	GA House District 37	State House District 37
CandidateContest	GA House District 37	State House Dist 37/Estatal ante la Asamblea General Dist 37
CandidateContest	GA House District 38	State House District 38
CandidateContest	GA House District 38	State House Dist 38/Estatal ante la Asamblea General Dist 38
CandidateContest	GA House District 39	State House District 39
CandidateContest	GA House District 39	State House Dist 39/Estatal ante la Asamblea General Dist 39
CandidateContest	GA House District 40	State House District 40
CandidateContest	GA House District 40	State House Dist 40/Estatal ante la Asamblea General Dist 40
CandidateContest	GA House District 41	State House District 41
CandidateContest	GA House District 41	State House Dist 41/Estatal ante la Asamblea General Dist 41
CandidateContest	GA House District 42	State House District 42
CandidateContest	GA House District 42	State House Dist 42/Estatal ante la Asamblea General Dist 42
CandidateContest	GA House District 43	State House District 43
CandidateContest	GA House District 43	State House Dist 43/Estatal ante la Asamblea General Dist 43
CandidateContest	GA House District 44	State House District 44
CandidateContest	GA House District 44	State House Dist 44/Estatal ante la Asamblea General Dist 44
CandidateContest	GA House District 45	State House District 45
CandidateContest	GA House District 45	State House Dist 45/Estatal ante la Asamblea General Dist 45
CandidateContest	GA House District 46	State House District 46
CandidateContest	GA House District 46	State House Dist 46/Estatal ante la Asamblea General Dist 46
CandidateContest	GA House District 47	State House District 47
CandidateContest	GA House District 47	State House Dist 47/Estatal ante la Asamblea General Dist 47
CandidateContest	GA House District 48	State House District 48
CandidateContest	GA House District 48	State House Dist 48/Estatal ante la Asamblea General Dist 48
CandidateContest	GA House District 49	State House District 49
CandidateContest	GA House District 49	State House Dist 49/Estatal ante la Asamblea General Dist 49
CandidateContest	GA House District 50	State House District 50
CandidateContest	GA House District 50	State House Dist 50/Estatal ante la Asamblea General Dist 50
CandidateContest	GA House District 51	State House District 51
CandidateContest	GA House District 51	State House Dist 51/Estatal ante la Asamblea General Dist 51
CandidateContest	GA House District 52	State House District 52
CandidateContest	GA House District 52	State House Dist 52/Estatal ante la Asamblea General Dist 52
CandidateContest	GA House District 53	State House District 53
CandidateContest	GA House District 53	State House Dist 53/Estatal ante la Asamblea General Dist 53
CandidateContest	GA House District 54	State House District 54
CandidateContest	GA House District 54	State House Dist 54/Estatal ante la Asamblea General Dist 54
CandidateContest	GA House District 55	State House District 55
CandidateContest	GA House District 55	State House Dist 55/Estatal ante la Asamblea General Dist 55
CandidateContest	GA House District 56	State House District 56
CandidateContest	GA House District 56	State House Dist 56/Estatal ante la Asamblea General Dist 56
CandidateContest	GA House District 57	State House District 57
CandidateContest	GA House District 57	State House Dist 57/Estatal ante la Asamblea General Dist 57
CandidateContest	GA House District 58	State House District 58
CandidateContest	GA House District 58	State House Dist 58/Estatal ante la Asamblea General Dist 58
CandidateContest	GA House District 59	State House District 59
CandidateContest	GA House District 59	State House Dist 59/Estatal ante la Asamblea General Dist 59
CandidateContest	GA House District 60	State House District 60
CandidateContest	GA House District 60	State House Dist 60/Estatal ante la Asamblea General Dist 60
CandidateContest	GA House District 61	State House District 61
CandidateContest	GA House District 61	State House Dist 61/Estatal ante la Asamblea General Dist 61
CandidateContest	GA House District 62	State House District 62
CandidateContest	GA House District 62	State House Dist 62/Estatal ante la Asamblea General Dist 62
CandidateContest	GA House District 63	State House District 63
CandidateContest	GA House District 63	State House Dist 63/Estatal ante la Asamblea General Dist 63
CandidateContest	GA House District 64	State House District 64
CandidateContest	GA House District 64	State House Dist 64/Estatal ante la Asamblea General Dist 64
CandidateContest	GA House District 65	State House District 65
CandidateContest	GA House District 65	State House Dist 65/Estatal ante la Asamblea General Dist 65
CandidateContest	GA House District 66	State House District 66
CandidateContest	GA House District 66	State House Dist 66/Estatal ante la Asamblea General Dist 66
CandidateContest	GA House District 67	State House District 67
CandidateContest	GA House District 67	State House Dist 67/Estatal ante la Asamblea General Dist 67
CandidateContest	GA House District 68	State House District 68
CandidateContest	GA House District 68	State House Dist 68/Estatal ante la Asamblea General Dist 68
CandidateContest	GA House District 69	State House District 69
CandidateContest	GA House District 69	State House Dist 69/Estatal ante la Asamblea General Dist 69
CandidateContest	GA House District 70	State House District 70
CandidateContest	GA House District 70	State House Dist 70/Estatal ante la Asamblea General Dist 70
CandidateContest	GA House District 71	State House District 71
CandidateContest	GA House District 71	State House Dist 71/Estatal ante la Asamblea General Dist 71
CandidateContest	GA House District 72	State House District 72
CandidateContest	GA House District 72	State House Dist 72/Estatal ante la Asamblea General Dist 72
CandidateContest	GA House District 73	State House District 73
CandidateContest	GA House District 73	State House Dist 73/Estatal ante la Asamblea General Dist 73
CandidateContest	GA House District 74	State House District 74
CandidateContest	GA House District 74	State House Dist 74/Estatal ante la Asamblea General Dist 74
CandidateContest	GA House District 75	State House District 75
CandidateContest	GA House District 75	State House Dist 75/Estatal ante la Asamblea General Dist 75
CandidateContest	GA House District 76	State House District 76
CandidateContest	GA House District 76	State House Dist 76/Estatal ante la Asamblea General Dist 76
CandidateContest	GA House District 77	State House District 77
CandidateContest	GA House District 77	State House Dist 77/Estatal ante la Asamblea General Dist 77
CandidateContest	GA House District 78	State House District 78
CandidateContest	GA House District 78	State House Dist 78/Estatal ante la Asamblea General Dist 78
CandidateContest	GA House District 79	State House District 79
CandidateContest	GA House District 79	State House Dist 79/Estatal ante la Asamblea General Dist 79
CandidateContest	GA House District 80	State House District 80
CandidateContest	GA House District 80	State House Dist 80/Estatal ante la Asamblea General Dist 80
CandidateContest	GA House District 81	State House District 81
