Name	ReportingUnitType
Hawaii;US House HI District 1	congressional
Hawaii;US House HI District 2	congressional
Hawaii;Hawaii County	county
Hawaii;Honolulu County	county
Hawaii;Kalawao County	county
Hawaii;Kauai County	county
Hawaii;Maui County	county
Hawaii;Hawaii County;Precinct 01-01	precinct
Hawaii;Hawaii County;Precinct 01-02	precinct
Hawaii;Hawaii County;Precinct 01-03	precinct
Hawaii;Hawaii County;Precinct 01-04	precinct
Hawaii;Hawaii County;Precinct 01-05	precinct
Hawaii;Hawaii County;Precinct 01-06	precinct
Hawaii;Hawaii County;Precinct 01-07	precinct
Hawaii;Hawaii County;Precinct 01-08	precinct
Hawaii;Hawaii County;Precinct 01-09	precinct
Hawaii;Hawaii County;Precinct 02-01	precinct
Hawaii;Hawaii County;Precinct 02-02	precinct
Hawaii;Hawaii County;Precinct 02-03	precinct
Hawaii;Hawaii County;Precinct 02-04	precinct
Hawaii;Hawaii County;Precinct 02-05	precinct
Hawaii;Hawaii County;Precinct 03-01	precinct
Hawaii;Hawaii County;Precinct 03-02	precinct
Hawaii;Hawaii County;Precinct 03-03	precinct
Hawaii;Hawaii County;Precinct 03-04	precinct
Hawaii;Hawaii County;Precinct 03-05	precinct
Hawaii;Hawaii County;Precinct 03-06	precinct
Hawaii;Hawaii County;Precinct 03-07	precinct
Hawaii;Hawaii County;Precinct 04-01	precinct
Hawaii;Hawaii County;Precinct 04-02	precinct
Hawaii;Hawaii County;Precinct 04-03	precinct
Hawaii;Hawaii County;Precinct 04-04	precinct
Hawaii;Hawaii County;Precinct 05-01	precinct
Hawaii;Hawaii County;Precinct 05-02	precinct
Hawaii;Hawaii County;Precinct 05-03	precinct
Hawaii;Hawaii County;Precinct 05-04	precinct
Hawaii;Hawaii County;Precinct 05-05	precinct
Hawaii;Hawaii County;Precinct 05-06	precinct
Hawaii;Hawaii County;Precinct 05-07	precinct
Hawaii;Hawaii County;Precinct 05-08	precinct
Hawaii;Hawaii County;Precinct 06-01	precinct
Hawaii;Hawaii County;Precinct 06-02	precinct
Hawaii;Hawaii County;Precinct 06-03	precinct
Hawaii;Hawaii County;Precinct 06-04	precinct
Hawaii;Hawaii County;Precinct 06-05	precinct
Hawaii;Hawaii County;Precinct 07-01	precinct
Hawaii;Hawaii County;Precinct 07-02	precinct
Hawaii;Hawaii County;Precinct 07-03	precinct
Hawaii;Hawaii County;Precinct 07-04	precinct
Hawaii;Hawaii County;Precinct 07-05	precinct
