Name	NumberElected	Office	PrimaryParty
ID Senate District 1	1	ID Senate District 1
ID House District 1A	1	ID House District 1A	
ID House District 1B	1	ID House District 1B	
ID Senate District 2	1	ID Senate District 2	
ID House District 2A	1	ID House District 2A	
ID House District 2B	1	ID House District 2B	
ID Senate District 3	1	ID Senate District 3	
ID House District 3A	1	ID House District 3A	
ID House District 3B	1	ID House District 3B	
ID Senate District 4	1	ID Senate District 4	
ID House District 4A	1	ID House District 4A	
ID House District 4B	1	ID House District 4B	
ID Senate District 5	1	ID Senate District 5	
ID House District 5A	1	ID House District 5A	
ID House District 5B	1	ID House District 5B	
ID Senate District 6	1	ID Senate District 6	
ID House District 6A	1	ID House District 6A	
ID House District 6B	1	ID House District 6B	
ID Senate District 7	1	ID Senate District 7	
ID House District 7A	1	ID House District 7A	
ID House District 7B	1	ID House District 7B	
ID Senate District 8	1	ID Senate District 8	
ID House District 8A	1	ID House District 8A	
ID House District 8B	1	ID House District 8B	
ID Senate District 9	1	ID Senate District 9	
ID House District 9A	1	ID House District 9A	
ID House District 9B	1	ID House District 9B	
ID Senate District 10	1	ID Senate District 10	
ID House District 10A	1	ID House District 10A	
ID House District 10B	1	ID House District 10B	
ID Senate District 11	1	ID Senate District 11	
ID House District 11A	1	ID House District 11A	
ID House District 11B	1	ID House District 11B	
ID Senate District 12	1	ID Senate District 12	
ID House District 12A	1	ID House District 12A	
ID House District 12B	1	ID House District 12B	
ID Senate District 13	1	ID Senate District 13	
ID House District 13A	1	ID House District 13A	
ID House District 13B	1	ID House District 13B	
ID Senate District 14	1	ID Senate District 14	
ID House District 14A	1	ID House District 14A	
ID House District 14B	1	ID House District 14B	
ID Senate District 15	1	ID Senate District 15	
ID House District 15A	1	ID House District 15A	
ID House District 15B	1	ID House District 15B	
ID Senate District 16	1	ID Senate District 16	
ID House District 16A	1	ID House District 16A	
ID House District 16B	1	ID House District 16B	
ID Senate District 17	1	ID Senate District 17	
ID House District 17A	1	ID House District 17A	
ID House District 17B	1	ID House District 17B	
ID Senate District 18	1	ID Senate District 18	
ID House District 18A	1	ID House District 18A	
ID House District 18B	1	ID House District 18B	
ID Senate District 19	1	ID Senate District 19	
ID House District 19A	1	ID House District 19A	
ID House District 19B	1	ID House District 19B	
ID Senate District 20	1	ID Senate District 20	
ID House District 20A	1	ID House District 20A	
ID House District 20B	1	ID House District 20B	
ID Senate District 21	1	ID Senate District 21	
ID House District 21A	1	ID House District 21A	
ID House District 21B	1	ID House District 21B	
ID Senate District 22	1	ID Senate District 22	
ID House District 22A	1	ID House District 22A	
ID House District 22B	1	ID House District 22B	
ID Senate District 23	1	ID Senate District 23	
ID House District 23A	1	ID House District 23A	
ID House District 23B	1	ID House District 23B	
ID Senate District 24	1	ID Senate District 24	
ID House District 24A	1	ID House District 24A	
ID House District 24B	1	ID House District 24B	
ID Senate District 25	1	ID Senate District 25	
ID House District 25A	1	ID House District 25A	
ID House District 25B	1	ID House District 25B	
ID Senate District 26	1	ID Senate District 26	
ID House District 26A	1	ID House District 26A	
ID House District 26B	1	ID House District 26B	
ID Senate District 27	1	ID Senate District 27	
ID House District 27A	1	ID House District 27A	
ID House District 27B	1	ID House District 27B	
ID Senate District 28	1	ID Senate District 28	
ID House District 28A	1	ID House District 28A	
ID House District 28B	1	ID House District 28B	
ID Senate District 29	1	ID Senate District 29	
ID House District 29A	1	ID House District 29A	
ID House District 29B	1	ID House District 29B	
ID Senate District 30	1	ID Senate District 30	
ID House District 30A	1	ID House District 30A	
ID House District 30B	1	ID House District 30B	
ID Senate District 31	1	ID Senate District 31	
ID House District 31A	1	ID House District 31A	
ID House District 31B	1	ID House District 31B	
ID Senate District 32	1	ID Senate District 32	
ID House District 32A	1	ID House District 32A	
ID House District 32B	1	ID House District 32B	
ID Senate District 33	1	ID Senate District 33	
ID House District 33A	1	ID House District 33A	
ID House District 33B	1	ID House District 33B	
ID Senate District 34	1	ID Senate District 34	
ID House District 34A	1	ID House District 34A	
ID House District 34B	1	ID House District 34B	
ID Senate District 35	1	ID Senate District 35	
ID House District 35A	1	ID House District 35A	
ID House District 35B	1	ID House District 35B	
US House ID District 1	1	US House ID District 1	
US House ID District 2	1	US House ID District 2	
US President (ID)	1	US President (ID)	
ID Governor	1	ID Governor	
US Senate ID	1	US Senate ID	
ID Attorney General	1	ID Attorney General	
ID Lieutenant Governor	1	ID Lieutenant Governor	
ID State Treasurer	1	ID State Treasurer
ID Secretary of State	1	ID Secretary of State
ID Superintendent of Public Instruction	1	ID Superintendent of Public Instruction
ID State Controller	1	ID State Controller

