Name	ReportingUnitType
Idaho;ID House District 1	state-house
Idaho;ID House District 2	state-house
Idaho;ID House District 3	state-house
Idaho;ID House District 4	state-house
Idaho;ID House District 5	state-house
Idaho;ID House District 6	state-house
Idaho;ID House District 7	state-house
Idaho;ID House District 8	state-house
Idaho;ID House District 9	state-house
Idaho;ID House District 10	state-house
Idaho;ID House District 11	state-house
Idaho;ID House District 12	state-house
Idaho;ID House District 13	state-house
Idaho;ID House District 14	state-house
Idaho;ID House District 15	state-house
Idaho;ID House District 16	state-house
Idaho;ID House District 17	state-house
Idaho;ID House District 18	state-house
Idaho;ID House District 19	state-house
Idaho;ID House District 20	state-house
Idaho;ID House District 21	state-house
Idaho;ID House District 22	state-house
Idaho;ID House District 23	state-house
Idaho;ID House District 24	state-house
Idaho;ID House District 25	state-house
Idaho;ID House District 26	state-house
Idaho;ID House District 27	state-house
Idaho;ID House District 28	state-house
Idaho;ID House District 29	state-house
Idaho;ID House District 30	state-house
Idaho;ID House District 31	state-house
Idaho;ID House District 32	state-house
Idaho;ID House District 33	state-house
Idaho;ID House District 34	state-house
Idaho;ID House District 35	state-house
Idaho;ID House District 36	state-house
Idaho;ID House District 37	state-house
Idaho;ID House District 38	state-house
Idaho;ID House District 39	state-house
Idaho;ID House District 40	state-house
Idaho;ID House District 41	state-house
Idaho;ID House District 42	state-house
Idaho;ID House District 43	state-house
Idaho;ID House District 44	state-house
Idaho;ID House District 45	state-house
Idaho;ID House District 46	state-house
Idaho;ID House District 47	state-house
Idaho;ID House District 48	state-house
Idaho;ID House District 49	state-house
Idaho;ID House District 50	state-house
Idaho;ID House District 51	state-house
Idaho;ID House District 52	state-house
Idaho;ID House District 53	state-house
Idaho;ID House District 54	state-house
Idaho;ID House District 55	state-house
Idaho;ID House District 56	state-house
Idaho;ID House District 57	state-house
Idaho;ID House District 58	state-house
Idaho;ID House District 59	state-house
Idaho;ID House District 60	state-house
Idaho;ID House District 61	state-house
Idaho;ID House District 62	state-house
Idaho;ID House District 63	state-house
Idaho;ID House District 64	state-house
Idaho;ID House District 65	state-house
Idaho;ID House District 66	state-house
Idaho;ID House District 67	state-house
Idaho;ID House District 68	state-house
Idaho;ID House District 69	state-house
Idaho;ID House District 70	state-house
Idaho;ID Senate District 1	state-senate
Idaho;ID Senate District 2	state-senate
Idaho;ID Senate District 3	state-senate
Idaho;ID Senate District 4	state-senate
Idaho;ID Senate District 5	state-senate
Idaho;ID Senate District 6	state-senate
Idaho;ID Senate District 7	state-senate
Idaho;ID Senate District 8	state-senate
Idaho;ID Senate District 9	state-senate
Idaho;ID Senate District 10	state-senate
Idaho;ID Senate District 11	state-senate
Idaho;ID Senate District 12	state-senate
Idaho;ID Senate District 13	state-senate
Idaho;ID Senate District 14	state-senate
Idaho;ID Senate District 15	state-senate
Idaho;ID Senate District 16	state-senate
Idaho;ID Senate District 17	state-senate
Idaho;ID Senate District 18	state-senate
Idaho;ID Senate District 19	state-senate
Idaho;ID Senate District 20	state-senate
Idaho;ID Senate District 21	state-senate
Idaho;ID Senate District 22	state-senate
Idaho;ID Senate District 23	state-senate
Idaho;ID Senate District 24	state-senate
Idaho;ID Senate District 25	state-senate
Idaho;ID Senate District 26	state-senate
Idaho;ID Senate District 27	state-senate
Idaho;ID Senate District 28	state-senate
Idaho;ID Senate District 29	state-senate
Idaho;ID Senate District 30	state-senate
Idaho;ID Senate District 31	state-senate
Idaho;ID Senate District 32	state-senate
Idaho;ID Senate District 33	state-senate
Idaho;ID Senate District 34	state-senate
Idaho;ID Senate District 35	state-senate
Idaho;US House ID District 1	congressional
Idaho;US House ID District 2	congressional
Idaho	state
