cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	ID House District 1	ID House District 1
CandidateContest	ID House District 2	ID House District 2
CandidateContest	ID House District 3	ID House District 3
CandidateContest	ID House District 4	ID House District 4
CandidateContest	ID House District 5	ID House District 5
CandidateContest	ID House District 6	ID House District 6
CandidateContest	ID House District 7	ID House District 7
CandidateContest	ID House District 8	ID House District 8
CandidateContest	ID House District 9	ID House District 9
CandidateContest	ID House District 10	ID House District 10
CandidateContest	ID House District 11	ID House District 11
CandidateContest	ID House District 12	ID House District 12
CandidateContest	ID House District 13	ID House District 13
CandidateContest	ID House District 14	ID House District 14
CandidateContest	ID House District 15	ID House District 15
CandidateContest	ID House District 16	ID House District 16
CandidateContest	ID House District 17	ID House District 17
CandidateContest	ID House District 18	ID House District 18
CandidateContest	ID House District 19	ID House District 19
CandidateContest	ID House District 20	ID House District 20
CandidateContest	ID House District 21	ID House District 21
CandidateContest	ID House District 22	ID House District 22
CandidateContest	ID House District 23	ID House District 23
CandidateContest	ID House District 24	ID House District 24
CandidateContest	ID House District 25	ID House District 25
CandidateContest	ID House District 26	ID House District 26
CandidateContest	ID House District 27	ID House District 27
CandidateContest	ID House District 28	ID House District 28
CandidateContest	ID House District 29	ID House District 29
CandidateContest	ID House District 30	ID House District 30
CandidateContest	ID House District 31	ID House District 31
CandidateContest	ID House District 32	ID House District 32
CandidateContest	ID House District 33	ID House District 33
CandidateContest	ID House District 34	ID House District 34
CandidateContest	ID House District 35	ID House District 35
CandidateContest	ID House District 36	ID House District 36
CandidateContest	ID House District 37	ID House District 37
CandidateContest	ID House District 38	ID House District 38
CandidateContest	ID House District 39	ID House District 39
CandidateContest	ID House District 40	ID House District 40
CandidateContest	ID House District 41	ID House District 41
CandidateContest	ID House District 42	ID House District 42
CandidateContest	ID House District 43	ID House District 43
CandidateContest	ID House District 44	ID House District 44
CandidateContest	ID House District 45	ID House District 45
CandidateContest	ID House District 46	ID House District 46
CandidateContest	ID House District 47	ID House District 47
CandidateContest	ID House District 48	ID House District 48
CandidateContest	ID House District 49	ID House District 49
CandidateContest	ID House District 50	ID House District 50
CandidateContest	ID House District 51	ID House District 51
CandidateContest	ID House District 52	ID House District 52
CandidateContest	ID House District 53	ID House District 53
CandidateContest	ID House District 54	ID House District 54
CandidateContest	ID House District 55	ID House District 55
CandidateContest	ID House District 56	ID House District 56
CandidateContest	ID House District 57	ID House District 57
CandidateContest	ID House District 58	ID House District 58
CandidateContest	ID House District 59	ID House District 59
CandidateContest	ID House District 60	ID House District 60
CandidateContest	ID House District 61	ID House District 61
CandidateContest	ID House District 62	ID House District 62
CandidateContest	ID House District 63	ID House District 63
CandidateContest	ID House District 64	ID House District 64
CandidateContest	ID House District 65	ID House District 65
CandidateContest	ID House District 66	ID House District 66
CandidateContest	ID House District 67	ID House District 67
CandidateContest	ID House District 68	ID House District 68
CandidateContest	ID House District 69	ID House District 69
CandidateContest	ID House District 70	ID House District 70
CandidateContest	ID Senate District 1	ID Senate District 1
CandidateContest	ID Senate District 2	ID Senate District 2
CandidateContest	ID Senate District 3	ID Senate District 3
CandidateContest	ID Senate District 4	ID Senate District 4
CandidateContest	ID Senate District 5	ID Senate District 5
CandidateContest	ID Senate District 6	ID Senate District 6
CandidateContest	ID Senate District 7	ID Senate District 7
CandidateContest	ID Senate District 8	ID Senate District 8
CandidateContest	ID Senate District 9	ID Senate District 9
CandidateContest	ID Senate District 10	ID Senate District 10
