Name	NumberElected	Office	PrimaryParty
IL House District 1	1	IL House District 1	
IL House District 2	1	IL House District 2	
IL House District 3	1	IL House District 3	
IL House District 4	1	IL House District 4	
IL House District 5	1	IL House District 5	
IL House District 6	1	IL House District 6	
IL House District 7	1	IL House District 7	
IL House District 8	1	IL House District 8	
IL House District 9	1	IL House District 9	
IL House District 10	1	IL House District 10	
IL House District 11	1	IL House District 11	
IL House District 12	1	IL House District 12	
IL House District 13	1	IL House District 13	
IL House District 14	1	IL House District 14	
IL House District 15	1	IL House District 15	
IL House District 16	1	IL House District 16	
IL House District 17	1	IL House District 17	
IL House District 18	1	IL House District 18	
IL House District 19	1	IL House District 19	
IL House District 20	1	IL House District 20	
IL House District 21	1	IL House District 21	
IL House District 22	1	IL House District 22	
IL House District 23	1	IL House District 23	
IL House District 24	1	IL House District 24	
IL House District 25	1	IL House District 25	
IL House District 26	1	IL House District 26	
IL House District 27	1	IL House District 27	
IL House District 28	1	IL House District 28	
IL House District 29	1	IL House District 29	
IL House District 30	1	IL House District 30	
IL House District 31	1	IL House District 31	
IL House District 32	1	IL House District 32	
IL House District 33	1	IL House District 33	
IL House District 34	1	IL House District 34	
IL House District 35	1	IL House District 35	
IL House District 36	1	IL House District 36	
IL House District 37	1	IL House District 37	
IL House District 38	1	IL House District 38	
IL House District 39	1	IL House District 39	
IL House District 40	1	IL House District 40	
IL House District 41	1	IL House District 41	
IL House District 42	1	IL House District 42	
IL House District 43	1	IL House District 43	
IL House District 44	1	IL House District 44	
IL House District 45	1	IL House District 45	
IL House District 46	1	IL House District 46	
IL House District 47	1	IL House District 47	
IL House District 48	1	IL House District 48	
IL House District 49	1	IL House District 49	
IL House District 50	1	IL House District 50	
IL House District 51	1	IL House District 51	
IL House District 52	1	IL House District 52	
IL House District 53	1	IL House District 53	
IL House District 54	1	IL House District 54	
IL House District 55	1	IL House District 55	
IL House District 56	1	IL House District 56	
IL House District 57	1	IL House District 57	
IL House District 58	1	IL House District 58	
IL House District 59	1	IL House District 59	
IL House District 60	1	IL House District 60	
IL House District 61	1	IL House District 61	
IL House District 62	1	IL House District 62	
IL House District 63	1	IL House District 63	
IL House District 64	1	IL House District 64	
IL House District 65	1	IL House District 65	
IL House District 66	1	IL House District 66	
IL House District 67	1	IL House District 67	
IL House District 68	1	IL House District 68	
IL House District 69	1	IL House District 69	
IL House District 70	1	IL House District 70	
IL House District 71	1	IL House District 71	
IL House District 72	1	IL House District 72	
IL House District 73	1	IL House District 73	
IL House District 74	1	IL House District 74	
IL House District 75	1	IL House District 75	
IL House District 76	1	IL House District 76	
IL House District 77	1	IL House District 77	
