Name	ElectionDistrict
IL House District 1	Illinois;IL House District 1
IL House District 2	Illinois;IL House District 2
IL House District 3	Illinois;IL House District 3
IL House District 4	Illinois;IL House District 4
IL House District 5	Illinois;IL House District 5
IL House District 6	Illinois;IL House District 6
IL House District 7	Illinois;IL House District 7
IL House District 8	Illinois;IL House District 8
IL House District 9	Illinois;IL House District 9
IL House District 10	Illinois;IL House District 10
IL House District 11	Illinois;IL House District 11
IL House District 12	Illinois;IL House District 12
IL House District 13	Illinois;IL House District 13
IL House District 14	Illinois;IL House District 14
IL House District 15	Illinois;IL House District 15
IL House District 16	Illinois;IL House District 16
IL House District 17	Illinois;IL House District 17
IL House District 18	Illinois;IL House District 18
IL House District 19	Illinois;IL House District 19
IL House District 20	Illinois;IL House District 20
IL House District 21	Illinois;IL House District 21
IL House District 22	Illinois;IL House District 22
IL House District 23	Illinois;IL House District 23
IL House District 24	Illinois;IL House District 24
IL House District 25	Illinois;IL House District 25
IL House District 26	Illinois;IL House District 26
IL House District 27	Illinois;IL House District 27
IL House District 28	Illinois;IL House District 28
IL House District 29	Illinois;IL House District 29
IL House District 30	Illinois;IL House District 30
IL House District 31	Illinois;IL House District 31
IL House District 32	Illinois;IL House District 32
IL House District 33	Illinois;IL House District 33
IL House District 34	Illinois;IL House District 34
IL House District 35	Illinois;IL House District 35
IL House District 36	Illinois;IL House District 36
IL House District 37	Illinois;IL House District 37
IL House District 38	Illinois;IL House District 38
IL House District 39	Illinois;IL House District 39
IL House District 40	Illinois;IL House District 40
IL House District 41	Illinois;IL House District 41
IL House District 42	Illinois;IL House District 42
IL House District 43	Illinois;IL House District 43
IL House District 44	Illinois;IL House District 44
IL House District 45	Illinois;IL House District 45
IL House District 46	Illinois;IL House District 46
IL House District 47	Illinois;IL House District 47
IL House District 48	Illinois;IL House District 48
IL House District 49	Illinois;IL House District 49
IL House District 50	Illinois;IL House District 50
IL House District 51	Illinois;IL House District 51
IL House District 52	Illinois;IL House District 52
IL House District 53	Illinois;IL House District 53
IL House District 54	Illinois;IL House District 54
IL House District 55	Illinois;IL House District 55
IL House District 56	Illinois;IL House District 56
IL House District 57	Illinois;IL House District 57
IL House District 58	Illinois;IL House District 58
IL House District 59	Illinois;IL House District 59
IL House District 60	Illinois;IL House District 60
IL House District 61	Illinois;IL House District 61
IL House District 62	Illinois;IL House District 62
IL House District 63	Illinois;IL House District 63
IL House District 64	Illinois;IL House District 64
IL House District 65	Illinois;IL House District 65
IL House District 66	Illinois;IL House District 66
IL House District 67	Illinois;IL House District 67
IL House District 68	Illinois;IL House District 68
IL House District 69	Illinois;IL House District 69
IL House District 70	Illinois;IL House District 70
IL House District 71	Illinois;IL House District 71
IL House District 72	Illinois;IL House District 72
IL House District 73	Illinois;IL House District 73
