cdf_element	cdf_internal_name	raw_identifier_value
Candidate	A. Andreas 'Andy' Matoesian	A. Andreas 'Andy' Matoesian - No
Candidate	A. Andreas 'Andy' Matoesian	A. Andreas 'Andy' Matoesian - Yes
Candidate	ANDREA McPIKE	ANDREA McPIKE
Candidate	ANDREW G. McKAY	ANDREW G. McKAY
Candidate	ANTHONY 'TONY' DelGIORNO	ANTHONY 'TONY' DelGIORNO
Candidate	ANTHONY DeLUCA	ANTHONY DeLUCA
Candidate	Aaron Del Mar	Aaron Del Mar
Candidate	Aaron M. Ortiz	Aaron M. Ortiz
Candidate	Aaron Mercier	Aaron Mercier
Candidate	Aaron Turner	Aaron Turner
Candidate	Abby Witt	Abby Witt
Candidate	Abdul Malik Mujahid	Abdul Malik Mujahid
Candidate	Abigail Schultz	Abigail Schultz
Candidate	Ada Owens	Ada Owens
Candidate	Adam Broad	Adam Broad
Candidate	Adam Flores	Adam Flores
Candidate	Adam Giganti	Adam Giganti
Candidate	Adam Kinzinger	Adam Kinzinger
Candidate	Adam M Niemerg	Adam M Niemerg
Candidate	Addison Woodward	Addison Woodward
Candidate	Adrian Wright	Adrian Wright
Candidate	Adriana Barriga-Green	Adriana Barriga-Green
Candidate	Adriana D. Olson	Adriana D. Olson
Candidate	Adrienne Elaine Davis	Adrienne Elaine Davis
Candidate	Aicha Marie Maccarthy	Aicha Marie Maccarthy - No
Candidate	Aicha Marie Maccarthy	Aicha Marie Maccarthy - Yes
Candidate	Aileen Bhandari	Aileen Bhandari
Candidate	Aisha El-Amin	Aisha El-Amin
Candidate	Al Gore	AL GORE
Candidate	Al Riley	Al Riley
Candidate	Alan D. Tucker	Alan D. Tucker - No
Candidate	Alan D. Tucker	Alan D. Tucker - Yes
Candidate	Alan Spitz	Alan Spitz
Candidate	Albert A. Schaal	Albert A. Schaal
Candidate	Aleksandra 'Alex' Gillespie	Aleksandra 'Alex' Gillespie
Candidate	Alex Arroyo	Alex Arroyo
Candidate	Alexander (Aj) Ruggieri	Alexander (Aj) Ruggieri
Candidate	Alexander Patrick White	Alexander Patrick White - No
Candidate	Alexander Patrick White	Alexander Patrick White - Yes
Candidate	Alfred Saucedo	Alfred Saucedo
Candidate	Alfredo 'Al' Manzo	Alfredo 'Al' Manzo
Candidate	Alia Sarfraz	Alia Sarfraz
Candidate	Alice Wilson	Alice Wilson
Candidate	Alicia Elena Martinez	Alicia Elena Martinez
Candidate	Alison C. Conlon	Alison C. Conlon
Candidate	Alison Squires	Alison Squires
Candidate	Allan Blessing	Allan Blessing
Candidate	Allan M. Axelrod	Allan M. Axelrod
Candidate	Allen F. Murphy	Allen F. Murphy - No
Candidate	Allen F. Murphy	Allen F. Murphy - Yes
Candidate	Allen Louis Linton, Ii	Allen Louis Linton, Ii
Candidate	Allen Skillicorn	Allen Skillicorn
