Name	ReportingUnitType
Indiana;IN House District 1	state-house
Indiana;IN House District 2	state-house
Indiana;IN House District 3	state-house
Indiana;IN House District 4	state-house
Indiana;IN House District 5	state-house
Indiana;IN House District 6	state-house
Indiana;IN House District 7	state-house
Indiana;IN House District 8	state-house
Indiana;IN House District 9	state-house
Indiana;IN House District 10	state-house
Indiana;IN House District 11	state-house
Indiana;IN House District 12	state-house
Indiana;IN House District 13	state-house
Indiana;IN House District 14	state-house
Indiana;IN House District 15	state-house
Indiana;IN House District 16	state-house
Indiana;IN House District 17	state-house
Indiana;IN House District 18	state-house
Indiana;IN House District 19	state-house
Indiana;IN House District 20	state-house
Indiana;IN House District 21	state-house
Indiana;IN House District 22	state-house
Indiana;IN House District 23	state-house
Indiana;IN House District 24	state-house
Indiana;IN House District 25	state-house
Indiana;IN House District 26	state-house
Indiana;IN House District 27	state-house
Indiana;IN House District 28	state-house
Indiana;IN House District 29	state-house
Indiana;IN House District 30	state-house
Indiana;IN House District 31	state-house
Indiana;IN House District 32	state-house
Indiana;IN House District 33	state-house
Indiana;IN House District 34	state-house
Indiana;IN House District 35	state-house
Indiana;IN House District 36	state-house
Indiana;IN House District 37	state-house
Indiana;IN House District 38	state-house
Indiana;IN House District 39	state-house
Indiana;IN House District 40	state-house
Indiana;IN House District 41	state-house
Indiana;IN House District 42	state-house
Indiana;IN House District 43	state-house
Indiana;IN House District 44	state-house
Indiana;IN House District 45	state-house
Indiana;IN House District 46	state-house
Indiana;IN House District 47	state-house
Indiana;IN House District 48	state-house
Indiana;IN House District 49	state-house
Indiana;IN House District 50	state-house
Indiana;IN House District 51	state-house
Indiana;IN House District 52	state-house
Indiana;IN House District 53	state-house
Indiana;IN House District 54	state-house
Indiana;IN House District 55	state-house
Indiana;IN House District 56	state-house
Indiana;IN House District 57	state-house
Indiana;IN House District 58	state-house
Indiana;IN House District 59	state-house
Indiana;IN House District 60	state-house
Indiana;IN House District 61	state-house
Indiana;IN House District 62	state-house
Indiana;IN House District 63	state-house
Indiana;IN House District 64	state-house
Indiana;IN House District 65	state-house
Indiana;IN House District 66	state-house
Indiana;IN House District 67	state-house
Indiana;IN House District 68	state-house
Indiana;IN House District 69	state-house
Indiana;IN House District 70	state-house
Indiana;IN House District 71	state-house
Indiana;IN House District 72	state-house
Indiana;IN House District 73	state-house
Indiana;IN House District 74	state-house
Indiana;IN House District 75	state-house
Indiana;IN House District 76	state-house
Indiana;IN House District 77	state-house
Indiana;IN House District 78	state-house
Indiana;IN House District 79	state-house
Indiana;IN House District 80	state-house
Indiana;IN House District 81	state-house
Indiana;IN House District 82	state-house
Indiana;IN House District 83	state-house
Indiana;IN House District 84	state-house
Indiana;IN House District 85	state-house
Indiana;IN House District 86	state-house
Indiana;IN House District 87	state-house
Indiana;IN House District 88	state-house
Indiana;IN House District 89	state-house
Indiana;IN House District 90	state-house
Indiana;IN House District 91	state-house
Indiana;IN House District 92	state-house
Indiana;IN House District 93	state-house
Indiana;IN House District 94	state-house
Indiana;IN House District 95	state-house
Indiana;IN House District 96	state-house
Indiana;IN House District 97	state-house
Indiana;IN House District 98	state-house
Indiana;IN House District 99	state-house
Indiana;IN House District 100	state-house
Indiana;IN Senate District 1	state-senate
Indiana;IN Senate District 2	state-senate
Indiana;IN Senate District 3	state-senate
Indiana;IN Senate District 4	state-senate
Indiana;IN Senate District 5	state-senate
Indiana;IN Senate District 6	state-senate
Indiana;IN Senate District 7	state-senate
Indiana;IN Senate District 8	state-senate
Indiana;IN Senate District 9	state-senate
Indiana;IN Senate District 10	state-senate
Indiana;IN Senate District 11	state-senate
Indiana;IN Senate District 12	state-senate
