Name	Number Elected	Office	PrimaryParty
IA House District 1	1	IA House District 1	
IA House District 2	1	IA House District 2	
IA House District 3	1	IA House District 3	
IA House District 4	1	IA House District 4	
IA House District 5	1	IA House District 5	
IA House District 6	1	IA House District 6	
IA House District 7	1	IA House District 7	
IA House District 8	1	IA House District 8	
IA House District 9	1	IA House District 9	
IA House District 10	1	IA House District 10	
IA House District 11	1	IA House District 11	
IA House District 12	1	IA House District 12	
IA House District 13	1	IA House District 13	
IA House District 14	1	IA House District 14	
IA House District 15	1	IA House District 15	
IA House District 16	1	IA House District 16	
IA House District 17	1	IA House District 17	
IA House District 18	1	IA House District 18	
IA House District 19	1	IA House District 19	
IA House District 20	1	IA House District 20	
IA House District 21	1	IA House District 21	
IA House District 22	1	IA House District 22	
IA House District 23	1	IA House District 23	
IA House District 24	1	IA House District 24	
IA House District 25	1	IA House District 25	
IA House District 26	1	IA House District 26	
IA House District 27	1	IA House District 27	
IA House District 28	1	IA House District 28	
IA House District 29	1	IA House District 29	
IA House District 30	1	IA House District 30	
IA House District 31	1	IA House District 31	
IA House District 32	1	IA House District 32	
IA House District 33	1	IA House District 33	
IA House District 34	1	IA House District 34	
IA House District 35	1	IA House District 35	
IA House District 36	1	IA House District 36	
IA House District 37	1	IA House District 37	
IA House District 38	1	IA House District 38	
IA House District 39	1	IA House District 39	
IA House District 40	1	IA House District 40	
IA House District 41	1	IA House District 41	
IA House District 42	1	IA House District 42	
IA House District 43	1	IA House District 43	
IA House District 44	1	IA House District 44	
IA House District 45	1	IA House District 45	
IA House District 46	1	IA House District 46	
IA House District 47	1	IA House District 47	
IA House District 48	1	IA House District 48	
IA House District 49	1	IA House District 49	
IA House District 50	1	IA House District 50	
IA House District 51	1	IA House District 51	
IA House District 52	1	IA House District 52	
IA House District 53	1	IA House District 53	
IA House District 54	1	IA House District 54	
IA House District 55	1	IA House District 55	
IA House District 56	1	IA House District 56	
IA House District 57	1	IA House District 57	
IA House District 58	1	IA House District 58	
IA House District 59	1	IA House District 59	
IA House District 60	1	IA House District 60	
IA House District 61	1	IA House District 61	
IA House District 62	1	IA House District 62	
IA House District 63	1	IA House District 63	
IA House District 64	1	IA House District 64	
IA House District 65	1	IA House District 65	
IA House District 66	1	IA House District 66	
