Name	ReportingUnitType
Iowa;IA House District 1	state-house
Iowa;IA House District 2	state-house
Iowa;IA House District 3	state-house
Iowa;IA House District 4	state-house
Iowa;IA House District 5	state-house
Iowa;IA House District 6	state-house
Iowa;IA House District 7	state-house
Iowa;IA House District 8	state-house
Iowa;IA House District 9	state-house
Iowa;IA House District 10	state-house
Iowa;IA House District 11	state-house
Iowa;IA House District 12	state-house
Iowa;IA House District 13	state-house
Iowa;IA House District 14	state-house
Iowa;IA House District 15	state-house
Iowa;IA House District 16	state-house
Iowa;IA House District 17	state-house
Iowa;IA House District 18	state-house
Iowa;IA House District 19	state-house
Iowa;IA House District 20	state-house
Iowa;IA House District 21	state-house
Iowa;IA House District 22	state-house
Iowa;IA House District 23	state-house
Iowa;IA House District 24	state-house
Iowa;IA House District 25	state-house
Iowa;IA House District 26	state-house
Iowa;IA House District 27	state-house
Iowa;IA House District 28	state-house
Iowa;IA House District 29	state-house
Iowa;IA House District 30	state-house
Iowa;IA House District 31	state-house
Iowa;IA House District 32	state-house
Iowa;IA House District 33	state-house
Iowa;IA House District 34	state-house
Iowa;IA House District 35	state-house
Iowa;IA House District 36	state-house
Iowa;IA House District 37	state-house
Iowa;IA House District 38	state-house
Iowa;IA House District 39	state-house
Iowa;IA House District 40	state-house
Iowa;IA House District 41	state-house
Iowa;IA House District 42	state-house
Iowa;IA House District 43	state-house
Iowa;IA House District 44	state-house
Iowa;IA House District 45	state-house
Iowa;IA House District 46	state-house
Iowa;IA House District 47	state-house
Iowa;IA House District 48	state-house
Iowa;IA House District 49	state-house
Iowa;IA House District 50	state-house
Iowa;IA House District 51	state-house
Iowa;IA House District 52	state-house
Iowa;IA House District 53	state-house
Iowa;IA House District 54	state-house
Iowa;IA House District 55	state-house
Iowa;IA House District 56	state-house
Iowa;IA House District 57	state-house
Iowa;IA House District 58	state-house
Iowa;IA House District 59	state-house
Iowa;IA House District 60	state-house
Iowa;IA House District 61	state-house
Iowa;IA House District 62	state-house
Iowa;IA House District 63	state-house
Iowa;IA House District 64	state-house
Iowa;IA House District 65	state-house
Iowa;IA House District 66	state-house
Iowa;IA House District 67	state-house
Iowa;IA House District 68	state-house
Iowa;IA House District 69	state-house
Iowa;IA House District 70	state-house
Iowa;IA House District 71	state-house
Iowa;IA House District 72	state-house
Iowa;IA House District 73	state-house
Iowa;IA House District 74	state-house
Iowa;IA House District 75	state-house
Iowa;IA House District 76	state-house
Iowa;IA House District 77	state-house
Iowa;IA House District 78	state-house
Iowa;IA House District 79	state-house
Iowa;IA House District 80	state-house
Iowa;IA House District 81	state-house
Iowa;IA House District 82	state-house
Iowa;IA House District 83	state-house
Iowa;IA House District 84	state-house
Iowa;IA House District 85	state-house
Iowa;IA House District 86	state-house
Iowa;IA House District 87	state-house
Iowa;IA House District 88	state-house
Iowa;IA House District 89	state-house
Iowa;IA House District 90	state-house
Iowa;IA House District 91	state-house
Iowa;IA House District 92	state-house
Iowa;IA House District 93	state-house
Iowa;IA House District 94	state-house
Iowa;IA House District 95	state-house
Iowa;IA House District 96	state-house
Iowa;IA House District 97	state-house
Iowa;IA House District 98	state-house
Iowa;IA House District 99	state-house
Iowa;IA House District 100	state-house
Iowa;IA Senate District 1	state-senate
Iowa;IA Senate District 2	state-senate
Iowa;IA Senate District 3	state-senate
Iowa;IA Senate District 4	state-senate
Iowa;IA Senate District 5	state-senate
Iowa;IA Senate District 6	state-senate
Iowa;IA Senate District 7	state-senate
Iowa;IA Senate District 8	state-senate
Iowa;IA Senate District 9	state-senate
Iowa;IA Senate District 10	state-senate
Iowa;IA Senate District 11	state-senate
Iowa;IA Senate District 12	state-senate
Iowa;IA Senate District 13	state-senate
Iowa;IA Senate District 14	state-senate
Iowa;IA Senate District 15	state-senate
Iowa;IA Senate District 16	state-senate
Iowa;IA Senate District 17	state-senate
Iowa;IA Senate District 18	state-senate
Iowa;IA Senate District 19	state-senate
Iowa;IA Senate District 20	state-senate
Iowa;IA Senate District 21	state-senate
Iowa;IA Senate District 22	state-senate
Iowa;IA Senate District 23	state-senate
Iowa;IA Senate District 24	state-senate
Iowa;IA Senate District 25	state-senate
Iowa;IA Senate District 26	state-senate
Iowa;IA Senate District 27	state-senate
Iowa;IA Senate District 28	state-senate
Iowa;IA Senate District 29	state-senate
Iowa;IA Senate District 30	state-senate
Iowa;IA Senate District 31	state-senate
Iowa;IA Senate District 32	state-senate
Iowa;IA Senate District 33	state-senate
Iowa;IA Senate District 34	state-senate
Iowa;IA Senate District 35	state-senate
Iowa;IA Senate District 36	state-senate
Iowa;IA Senate District 37	state-senate
Iowa;IA Senate District 38	state-senate
Iowa;IA Senate District 39	state-senate
Iowa;IA Senate District 40	state-senate
Iowa;IA Senate District 41	state-senate
Iowa;IA Senate District 42	state-senate
Iowa;IA Senate District 43	state-senate
Iowa;IA Senate District 44	state-senate
Iowa;IA Senate District 45	state-senate
Iowa;IA Senate District 46	state-senate
Iowa;IA Senate District 47	state-senate
Iowa;IA Senate District 48	state-senate
Iowa;IA Senate District 49	state-senate
Iowa;IA Senate District 50	state-senate
Iowa;US House IA District 1	congressional
Iowa;US House IA District 2	congressional
Iowa;US House IA District 3	congressional
Iowa;US House IA District 4	congressional
Iowa	State
Iowa;Adair County	county
Iowa;Adams County	county
Iowa;Allamakee County	county
Iowa;Appanoose County	county
Iowa;Audubon County	county
Iowa;Benton County	county
Iowa;Black Hawk County	county
Iowa;Boone County	county
Iowa;Bremer County	county
Iowa;Buchanan County	county
Iowa;Buena Vista County	county
Iowa;Butler County	county
Iowa;Calhoun County	county
Iowa;Carroll County	county
Iowa;Cass County	county
Iowa;Cedar County	county
Iowa;Cerro Gordo County	county
Iowa;Cherokee County	county
Iowa;Chickasaw County	county
Iowa;Clarke County	county
Iowa;Clay County	county
Iowa;Clayton County	county
Iowa;Clinton County	county
Iowa;Crawford County	county
Iowa;Dallas County	county
Iowa;Davis County	county
Iowa;Decatur County	county
Iowa;Delaware County	county
Iowa;Des Moines County	county
Iowa;Dickinson County	county
Iowa;Dubuque County	county
Iowa;Emmet County	county
Iowa;Fayette County	county
Iowa;Floyd County	county
Iowa;Franklin County	county
Iowa;Fremont County	county
Iowa;Greene County	county
Iowa;Grundy County	county
Iowa;Guthrie County	county
Iowa;Hamilton County	county
Iowa;Hancock County	county
Iowa;Hardin County	county
Iowa;Harrison County	county
Iowa;Henry County	county
Iowa;Howard County	county
Iowa;Humboldt County	county
Iowa;Ida County	county
Iowa;Iowa County	county
Iowa;Jackson County	county
Iowa;Jasper County	county
Iowa;Jefferson County	county
Iowa;Johnson County	county
Iowa;Jones County	county
Iowa;Keokuk County	county
Iowa;Kossuth County	county
Iowa;Lee County	county
Iowa;Linn County	county
Iowa;Louisa County	county
Iowa;Lucas County	county
Iowa;Lyon County	county
Iowa;Madison County	county
Iowa;Mahaska County	county
Iowa;Marion County	county
Iowa;Marshall County	county
Iowa;Mills County	county
Iowa;Mitchell County	county
Iowa;Monona County	county
Iowa;Monroe County	county
Iowa;Montgomery County	county
Iowa;Muscatine County	county
Iowa;O'Brien County	county
Iowa;Osceola County	county
Iowa;Page County	county
Iowa;Palo Alto County	county
Iowa;Plymouth County	county
Iowa;Pocahontas County	county
Iowa;Polk County	county
Iowa;Pottawattamie County	county
Iowa;Poweshiek County	county
Iowa;Ringgold County	county
Iowa;Sac County	county
Iowa;Scott County	county
Iowa;Shelby County	county
Iowa;Sioux County	county
Iowa;Story County	county
Iowa;Tama County	county
Iowa;Taylor County	county
Iowa;Union County	county
Iowa;Van Buren County	county
Iowa;Wapello County	county
Iowa;Warren County	county
Iowa;Washington County	county
Iowa;Wayne County	county
Iowa;Webster County	county
Iowa;Winnebago County	county
Iowa;Winneshiek County	county
Iowa;Woodbury County	county
Iowa;Worth County	county
Iowa;Wright County	county
