cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Abby Finkenauer	Abby Finkenaur
Candidate	Ako Abdul-Samad	Ako Alodul-Samad
Candidate	Bjorn Johnson	Björn Johnson
Candidate	C.J. Petersen	C.J. Peterson
Candidate	Carmella Schultes	Camella Schultes
Candidate	Carmella Schultes	Camella Schuttes
Candidate	Dave Loebsack	Dave Loesbrach
Candidate	David Kerr	David L. Kerr
Candidate	Deb Scharper	Deb Sharper (write-in)
Candidate	Dennis J. Bush	Dennis Bush (W)
Candidate	Eddie J. Mauro	Eddie Mauro
Candidate	Gary M. Mohr	Gary Mohr
Candidate	Gary Siegwarth/Natalia Blaskovich	Gary Siegwarth/Natalia Blaskov
Candidate	Jake Ronald Thompson	Jake Thompson
Candidate	Jeff Taylor	Jeff Taylor (W)
Candidate	John William Anderson	John W. Anderson
Candidate	K. Lynn Evans	K. Lynn Evans (W)
Candidate	Kirsten Running-Marquardt	Kristin Running-Marquardt
Candidate	Matt W. Windschitl	Matt. W. Windschitl
Candidate	Rita DeJong	Rita De Jong
Candidate	Rita R. Hart	Rita Hart
Candidate	Samantha Keith	Samanta Keith
Candidate	Timothy H. Kacena	Timothy H Kacena
Candidate	Vicki Lensing	Vicky Lensing
Candidate	Warren Andrew Varley	Warren Varley
Candidate	Waylon Brown	Waylon Brown (write-in)
Candidate	Write-in	ich Write-in
Candidate	Zachary Pendroy	(Blank)
Candidate	Zachary Pendroy	Aaron Sewell
Candidate	Zachary Pendroy	Abby Finkenauer
Candidate	Zachary Pendroy	Abby Finkenhauer
Candidate	Zachary Pendroy	Adam Kerkvliet
Candidate	Zachary Pendroy	Aimee Hospardarsky
Candidate	Zachary Pendroy	Ako Abdul-Samad
Candidate	Zachary Pendroy	Alexander Freund
Candidate	Zachary Pendroy	Alvin L. Aragon
Candidate	Zachary Pendroy	Amanda Ragan
Candidate	Zachary Pendroy	Amber Gustafson
Candidate	Zachary Pendroy	Amber Taylor
Candidate	Zachary Pendroy	Amy Nielsen
Candidate	Zachary Pendroy	Amy Sinclair
Candidate	Zachary Pendroy	Andrea Andy McGuire
Candidate	Zachary Pendroy	Andrea Phillips
Candidate	Zachary Pendroy	Andrew Emanuel
Candidate	Zachary Pendroy	Andrew Rasmussen
Candidate	Zachary Pendroy	Andy Kelleher
Candidate	Zachary Pendroy	Andy McKean
Candidate	Zachary Pendroy	Andy Young
Candidate	Zachary Pendroy	Angela Kofoot
Candidate	Zachary Pendroy	Angela Reed
Candidate	Zachary Pendroy	Ann Egley
Candidate	Zachary Pendroy	Ann Fields
Candidate	Zachary Pendroy	Ann Howell
Candidate	Zachary Pendroy	Ann M. Fields
Candidate	Zachary Pendroy	Ann Meyer
Candidate	Zachary Pendroy	Anna Bergman
Candidate	Zachary Pendroy	Anne Osmundson
Candidate	Zachary Pendroy	Annette Sweeney
Candidate	Zachary Pendroy	Anthony Boggs
Candidate	Zachary Pendroy	Anthony Condon Sr
Candidate	Zachary Pendroy	Anthony Junk
Candidate	Zachary Pendroy	Art Staed
Candidate	Zachary Pendroy	Ashley Hinson
Candidate	Zachary Pendroy	Barb Dearborn
Candidate	Zachary Pendroy	Barrett Hubbard
Candidate	Zachary Pendroy	Ben Brown
Candidate	Zachary Pendroy	Benjamin Frederick
Candidate	Zachary Pendroy	Beth Wessel-Kroeschell
Candidate	Zachary Pendroy	Betty Berends
Candidate	Zachary Pendroy	Bill Dotzler
Candidate	Zachary Pendroy	Bill Morain
Candidate	Zachary Pendroy	Bill Schafer
Candidate	Zachary Pendroy	Bjorn Johnson
Candidate	Zachary Pendroy	Blake Stratton
Candidate	Zachary Pendroy	Blank
