Name	ElectionDistrict
KS House District 1	Kansas;KS House District 1
KS House District 2	Kansas;KS House District 2
KS House District 3	Kansas;KS House District 3
KS House District 4	Kansas;KS House District 4
KS House District 5	Kansas;KS House District 5
KS House District 6	Kansas;KS House District 6
KS House District 7	Kansas;KS House District 7
KS House District 8	Kansas;KS House District 8
KS House District 9	Kansas;KS House District 9
KS House District 10	Kansas;KS House District 10
KS House District 11	Kansas;KS House District 11
KS House District 12	Kansas;KS House District 12
KS House District 13	Kansas;KS House District 13
KS House District 14	Kansas;KS House District 14
KS House District 15	Kansas;KS House District 15
KS House District 16	Kansas;KS House District 16
KS House District 17	Kansas;KS House District 17
KS House District 18	Kansas;KS House District 18
KS House District 19	Kansas;KS House District 19
KS House District 20	Kansas;KS House District 20
KS House District 21	Kansas;KS House District 21
KS House District 22	Kansas;KS House District 22
KS House District 23	Kansas;KS House District 23
KS House District 24	Kansas;KS House District 24
KS House District 25	Kansas;KS House District 25
KS House District 26	Kansas;KS House District 26
KS House District 27	Kansas;KS House District 27
KS House District 28	Kansas;KS House District 28
KS House District 29	Kansas;KS House District 29
KS House District 30	Kansas;KS House District 30
KS House District 31	Kansas;KS House District 31
KS House District 32	Kansas;KS House District 32
KS House District 33	Kansas;KS House District 33
KS House District 34	Kansas;KS House District 34
KS House District 35	Kansas;KS House District 35
KS House District 36	Kansas;KS House District 36
KS House District 37	Kansas;KS House District 37
KS House District 38	Kansas;KS House District 38
KS House District 39	Kansas;KS House District 39
KS House District 40	Kansas;KS House District 40
KS House District 41	Kansas;KS House District 41
KS House District 42	Kansas;KS House District 42
KS House District 43	Kansas;KS House District 43
KS House District 44	Kansas;KS House District 44
KS House District 45	Kansas;KS House District 45
KS House District 46	Kansas;KS House District 46
KS House District 47	Kansas;KS House District 47
KS House District 48	Kansas;KS House District 48
KS House District 49	Kansas;KS House District 49
KS House District 50	Kansas;KS House District 50
KS House District 51	Kansas;KS House District 51
KS House District 52	Kansas;KS House District 52
KS House District 53	Kansas;KS House District 53
KS House District 54	Kansas;KS House District 54
KS House District 55	Kansas;KS House District 55
KS House District 56	Kansas;KS House District 56
KS House District 57	Kansas;KS House District 57
KS House District 58	Kansas;KS House District 58
KS House District 59	Kansas;KS House District 59
KS House District 60	Kansas;KS House District 60
KS House District 61	Kansas;KS House District 61
KS House District 62	Kansas;KS House District 62
KS House District 63	Kansas;KS House District 63
KS House District 64	Kansas;KS House District 64
KS House District 65	Kansas;KS House District 65
KS House District 66	Kansas;KS House District 66
KS House District 67	Kansas;KS House District 67
KS House District 68	Kansas;KS House District 68
KS House District 69	Kansas;KS House District 69
KS House District 70	Kansas;KS House District 70
KS House District 71	Kansas;KS House District 71
KS House District 72	Kansas;KS House District 72
KS House District 73	Kansas;KS House District 73
