cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Aaron Coleman	Aaron Coleman
Candidate	Adam Smith	Smith, Adam
Candidate	Adam T. Thomas	Thomas, Adam T.
Candidate	Al Gore	AL GORE
Candidate	Alana Cloutier	Cloutier, Alana
Candidate	Alicia (Schartz) Straub	Straub, Alicia (Schartz)
Candidate	Amanda L. Adkins	Adkins, Amanda L.
Candidate	Amanda L. Adkins	Amanda L. Adkins
Candidate	Angela Justus Schweller	Angela Justus Schweller
Candidate	Anthony Hensley	Anthony Hensley
Candidate	Anthony Hensley	Hensley, Anthony
Candidate	Avery Anderson	Anderson, Avery
Candidate	Barack Obama	BARACK OBAMA
Candidate	Barb Wasinger	Wasinger, Barb
Candidate	Barbara Bollier	Bollier, Barbara
Candidate	Barbara W. Ballard	Ballard, Barbara W.
Candidate	Becca Peck	Peck, Becca
Candidate	Bill Meyer	Meyer, Bill
Candidate	Bill Rhiley	Rhiley, Bill
Candidate	Blaine Finch	Finch, Blaine
Candidate	Blake Carpenter	Blake Carpenter
Candidate	Boyd Orr	Orr, Boyd
Candidate	Bradley C. Ralph	Ralph, Bradley C.
Candidate	Brenda S. Dietrich	Brenda S. Dietrich
Candidate	Brenda S. Dietrich	Dietrich, Brenda S.
Candidate	Brett Fairchild	Fairchild, Brett
Candidate	Broderick Henderson	Broderick Henderson
Candidate	Bud Estes	Estes, Bud
Candidate	Caren Rugg	Rugg, Caren
Candidate	Carolyn McGinn	McGinn, Carolyn
Candidate	Caryn Tyson	Tyson, Caryn
Candidate	Charles (Chuck) Smith	Smith, Charles (Chuck)
Candidate	Charlotte Esau	Charlotte Esau
Candidate	Cheryl A. Arthur	Arthur, Cheryl A.
Candidate	Cheryl Helmer	Helmer, Cheryl
Candidate	Chris Croft	Chris Croft
Candidate	Christina Haswood	Haswood, Christina
Candidate	Cindy Holscher	Cindy Holscher
Candidate	Clarke Sanders	Sanders, Clarke
Candidate	Cole Fine	Cole Fine
Candidate	Craig Bowser	Bowser, Craig
Candidate	Dan Kerschen	Dan Kerschen
Candidate	Dante Javaheri	Javaheri, Dante
Candidate	Dave Baker	Baker, Dave
Candidate	David Haley	David Haley
Candidate	David Robbins	David Robbins
Candidate	David W. French	French, David W.
Candidate	Dennis 'Boog' Highberger	Highberger, Dennis 'Boog'
Candidate	Dennis Pyle	Pyle, Dennis
Candidate	Diana Whittington	Diana Whittington
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald J. Trump	Donald J. Trump
Candidate	Donald J. Trump	Donald J. Trump / Michael R. Pence
Candidate	Donald J. Trump	Trump and Pence
Candidate	Donald J. Trump	Trump and Pence.1
Candidate	Doug Blex	Blex, Doug
Candidate	Eber Phelps	Phelps, Eber
Candidate	Edgar A. Pando	Pando, Edgar A.
Candidate	Edward Hackerott	Edward Hackerott
Candidate	Edward Hackerott	Hackerott, Edward
Candidate	Elaine S. Bowers	Bowers, Elaine S.
Candidate	Elliott R. Adams	Adams, Elliott R.
Candidate	Eric L. Smith	Smith, Eric L.
Candidate	Ethan Corson	Ethan Corson
Candidate	Ethan D. Caylor	Caylor, Ethan D.
Candidate	Francis Awerkamp	Awerkamp, Francis
