Name	NumberElected	Office	PrimaryParty
KY House District 1	1	KY House District 1	
KY House District 2	1	KY House District 2	
KY House District 3	1	KY House District 3	
KY House District 4	1	KY House District 4	
KY House District 5	1	KY House District 5	
KY House District 6	1	KY House District 6	
KY House District 7	1	KY House District 7	
KY House District 8	1	KY House District 8	
KY House District 9	1	KY House District 9	
KY House District 10	1	KY House District 10	
KY House District 11	1	KY House District 11	
KY House District 12	1	KY House District 12	
KY House District 13	1	KY House District 13	
KY House District 14	1	KY House District 14	
KY House District 15	1	KY House District 15	
KY House District 16	1	KY House District 16	
KY House District 17	1	KY House District 17	
KY House District 18	1	KY House District 18	
KY House District 19	1	KY House District 19	
KY House District 20	1	KY House District 20	
KY House District 21	1	KY House District 21	
KY House District 22	1	KY House District 22	
KY House District 23	1	KY House District 23	
KY House District 24	1	KY House District 24	
KY House District 25	1	KY House District 25	
KY House District 26	1	KY House District 26	
KY House District 27	1	KY House District 27	
KY House District 28	1	KY House District 28	
KY House District 29	1	KY House District 29	
KY House District 30	1	KY House District 30	
KY House District 31	1	KY House District 31	
KY House District 32	1	KY House District 32	
KY House District 33	1	KY House District 33	
KY House District 34	1	KY House District 34	
KY House District 35	1	KY House District 35	
KY House District 36	1	KY House District 36	
KY House District 37	1	KY House District 37	
KY House District 38	1	KY House District 38	
KY House District 39	1	KY House District 39	
KY House District 40	1	KY House District 40	
KY House District 41	1	KY House District 41	
KY House District 42	1	KY House District 42	
KY House District 43	1	KY House District 43	
KY House District 44	1	KY House District 44	
KY House District 45	1	KY House District 45	
KY House District 46	1	KY House District 46	
KY House District 47	1	KY House District 47	
KY House District 48	1	KY House District 48	
KY House District 49	1	KY House District 49	
KY House District 50	1	KY House District 50	
KY House District 51	1	KY House District 51	
KY House District 52	1	KY House District 52	
KY House District 53	1	KY House District 53	
KY House District 54	1	KY House District 54	
KY House District 55	1	KY House District 55	
KY House District 56	1	KY House District 56	
KY House District 57	1	KY House District 57	
KY House District 58	1	KY House District 58	
KY House District 59	1	KY House District 59	
KY House District 60	1	KY House District 60	
KY House District 61	1	KY House District 61	
KY House District 62	1	KY House District 62	
KY House District 63	1	KY House District 63	
KY House District 64	1	KY House District 64	
KY House District 65	1	KY House District 65	
KY House District 66	1	KY House District 66	
KY House District 67	1	KY House District 67	
KY House District 68	1	KY House District 68	
KY House District 69	1	KY House District 69	
KY House District 70	1	KY House District 70	
KY House District 71	1	KY House District 71	
KY House District 72	1	KY House District 72	
KY House District 73	1	KY House District 73	
KY House District 74	1	KY House District 74	
KY House District 75	1	KY House District 75	
KY House District 76	1	KY House District 76	
KY House District 77	1	KY House District 77	
KY House District 78	1	KY House District 78	
KY House District 79	1	KY House District 79	
KY House District 80	1	KY House District 80	
KY House District 81	1	KY House District 81	
KY House District 82	1	KY House District 82	
KY House District 83	1	KY House District 83	
KY House District 84	1	KY House District 84	
KY House District 85	1	KY House District 85	
KY House District 86	1	KY House District 86	
KY House District 87	1	KY House District 87	
KY House District 88	1	KY House District 88	
KY House District 89	1	KY House District 89	
KY House District 90	1	KY House District 90	
KY House District 91	1	KY House District 91	
KY House District 92	1	KY House District 92	
KY House District 93	1	KY House District 93	
KY House District 94	1	KY House District 94	
KY House District 95	1	KY House District 95	
KY House District 96	1	KY House District 96	
KY House District 97	1	KY House District 97	
KY House District 98	1	KY House District 98	
KY House District 99	1	KY House District 99	
KY House District 100	1	KY House District 100	
KY Senate District 1	1	KY Senate District 1	
KY Senate District 2	1	KY Senate District 2	
KY Senate District 3	1	KY Senate District 3	
KY Senate District 4	1	KY Senate District 4	
KY Senate District 5	1	KY Senate District 5	
KY Senate District 6	1	KY Senate District 6	
KY Senate District 7	1	KY Senate District 7	
KY Senate District 8	1	KY Senate District 8	
KY Senate District 9	1	KY Senate District 9	
KY Senate District 10	1	KY Senate District 10	
KY Senate District 11	1	KY Senate District 11	
KY Senate District 12	1	KY Senate District 12	
KY Senate District 13	1	KY Senate District 13	
KY Senate District 14	1	KY Senate District 14	
KY Senate District 15	1	KY Senate District 15	
KY Senate District 16	1	KY Senate District 16	
KY Senate District 17	1	KY Senate District 17	
KY Senate District 18	1	KY Senate District 18	
KY Senate District 19	1	KY Senate District 19	
KY Senate District 20	1	KY Senate District 20	
KY Senate District 21	1	KY Senate District 21	
KY Senate District 22	1	KY Senate District 22	
KY Senate District 23	1	KY Senate District 23	
KY Senate District 24	1	KY Senate District 24	
KY Senate District 25	1	KY Senate District 25	
KY Senate District 26	1	KY Senate District 26	
KY Senate District 27	1	KY Senate District 27	
KY Senate District 28	1	KY Senate District 28	
KY Senate District 29	1	KY Senate District 29	
KY Senate District 30	1	KY Senate District 30	
KY Senate District 31	1	KY Senate District 31	
KY Senate District 32	1	KY Senate District 32	
KY Senate District 33	1	KY Senate District 33	
KY Senate District 34	1	KY Senate District 34	
KY Senate District 35	1	KY Senate District 35	
KY Senate District 36	1	KY Senate District 36	
KY Senate District 37	1	KY Senate District 37	
KY Senate District 38	1	KY Senate District 38	
US House KY District 1	1	US House KY District 1	
US House KY District 2	1	US House KY District 2	
US House KY District 3	1	US House KY District 3	
US House KY District 4	1	US House KY District 4	
US House KY District 5	1	US House KY District 5	
US House KY District 6	1	US House KY District 6	
US President (KY)	1	US President (KY)	
KY Governor	1	KY Governor	
US Senate KY	1	US Senate KY	
KY Attorney General	1	KY Attorney General	
KY Lieutenant Governor	1	KY Lieutenant Governor	
KY Treasurer	1	KY Treasurer	
KY Secretary of State	1	KY Secretary of State	
