Name	NumberElected	Office	PrimaryParty
LA House District 1	1	LA House District 1	
LA House District 2	1	LA House District 2	
LA House District 3	1	LA House District 3	
LA House District 4	1	LA House District 4	
LA House District 5	1	LA House District 5	
LA House District 6	1	LA House District 6	
LA House District 7	1	LA House District 7	
LA House District 8	1	LA House District 8	
LA House District 9	1	LA House District 9	
LA House District 10	1	LA House District 10	
LA House District 11	1	LA House District 11	
LA House District 12	1	LA House District 12	
LA House District 13	1	LA House District 13	
LA House District 14	1	LA House District 14	
LA House District 15	1	LA House District 15	
LA House District 16	1	LA House District 16	
LA House District 17	1	LA House District 17	
LA House District 18	1	LA House District 18	
LA House District 19	1	LA House District 19	
LA House District 20	1	LA House District 20	
LA House District 21	1	LA House District 21	
LA House District 22	1	LA House District 22	
LA House District 23	1	LA House District 23	
LA House District 24	1	LA House District 24	
LA House District 25	1	LA House District 25	
LA House District 26	1	LA House District 26	
LA House District 27	1	LA House District 27	
LA House District 28	1	LA House District 28	
LA House District 29	1	LA House District 29	
LA House District 30	1	LA House District 30	
LA House District 31	1	LA House District 31	
LA House District 32	1	LA House District 32	
LA House District 33	1	LA House District 33	
LA House District 34	1	LA House District 34	
LA House District 35	1	LA House District 35	
LA House District 36	1	LA House District 36	
LA House District 37	1	LA House District 37	
LA House District 38	1	LA House District 38	
LA House District 39	1	LA House District 39	
LA House District 40	1	LA House District 40	
LA House District 41	1	LA House District 41	
LA House District 42	1	LA House District 42	
LA House District 43	1	LA House District 43	
LA House District 44	1	LA House District 44	
LA House District 45	1	LA House District 45	
LA House District 46	1	LA House District 46	
LA House District 47	1	LA House District 47	
LA House District 48	1	LA House District 48	
LA House District 49	1	LA House District 49	
LA House District 50	1	LA House District 50	
LA House District 51	1	LA House District 51	
LA House District 52	1	LA House District 52	
LA House District 53	1	LA House District 53	
LA House District 54	1	LA House District 54	
LA House District 55	1	LA House District 55	
LA House District 56	1	LA House District 56	
LA House District 57	1	LA House District 57	
LA House District 58	1	LA House District 58	
LA House District 59	1	LA House District 59	
LA House District 60	1	LA House District 60	
LA House District 61	1	LA House District 61	
LA House District 62	1	LA House District 62	
LA House District 63	1	LA House District 63	
LA House District 64	1	LA House District 64	
LA House District 65	1	LA House District 65	
LA House District 66	1	LA House District 66	
LA House District 67	1	LA House District 67	
LA House District 68	1	LA House District 68	
LA House District 69	1	LA House District 69	
LA House District 70	1	LA House District 70	
LA House District 71	1	LA House District 71	
LA House District 72	1	LA House District 72	
LA House District 73	1	LA House District 73	
LA House District 74	1	LA House District 74	
LA House District 75	1	LA House District 75	
LA House District 76	1	LA House District 76	
LA House District 77	1	LA House District 77	
LA House District 78	1	LA House District 78	
LA House District 79	1	LA House District 79	
LA House District 80	1	LA House District 80	
LA House District 81	1	LA House District 81	
LA House District 82	1	LA House District 82	
LA House District 83	1	LA House District 83	
LA House District 84	1	LA House District 84	
LA House District 85	1	LA House District 85	
LA House District 86	1	LA House District 86	
LA House District 87	1	LA House District 87	
LA House District 88	1	LA House District 88	
LA House District 89	1	LA House District 89	
LA House District 90	1	LA House District 90	
LA House District 91	1	LA House District 91	
LA House District 92	1	LA House District 92	
LA House District 93	1	LA House District 93	
LA House District 94	1	LA House District 94	
LA House District 95	1	LA House District 95	
LA House District 96	1	LA House District 96	
LA House District 97	1	LA House District 97	
LA House District 98	1	LA House District 98	
LA House District 99	1	LA House District 99	
LA House District 100	1	LA House District 100	
LA House District 101	1	LA House District 101	
LA House District 102	1	LA House District 102	
LA House District 103	1	LA House District 103	
LA House District 104	1	LA House District 104	
LA House District 105	1	LA House District 105	
LA Senate District 1	1	LA Senate District 1	
LA Senate District 2	1	LA Senate District 2	
LA Senate District 3	1	LA Senate District 3	
LA Senate District 4	1	LA Senate District 4	
LA Senate District 5	1	LA Senate District 5	
LA Senate District 6	1	LA Senate District 6	
LA Senate District 7	1	LA Senate District 7	
LA Senate District 8	1	LA Senate District 8	
LA Senate District 9	1	LA Senate District 9	
LA Senate District 10	1	LA Senate District 10	
LA Senate District 11	1	LA Senate District 11	
LA Senate District 12	1	LA Senate District 12	
LA Senate District 13	1	LA Senate District 13	
LA Senate District 14	1	LA Senate District 14	
LA Senate District 15	1	LA Senate District 15	
LA Senate District 16	1	LA Senate District 16	
LA Senate District 17	1	LA Senate District 17	
LA Senate District 18	1	LA Senate District 18	
LA Senate District 19	1	LA Senate District 19	
LA Senate District 20	1	LA Senate District 20	
LA Senate District 21	1	LA Senate District 21	
LA Senate District 22	1	LA Senate District 22	
LA Senate District 23	1	LA Senate District 23	
LA Senate District 24	1	LA Senate District 24	
LA Senate District 25	1	LA Senate District 25	
LA Senate District 26	1	LA Senate District 26	
LA Senate District 27	1	LA Senate District 27	
LA Senate District 28	1	LA Senate District 28	
LA Senate District 29	1	LA Senate District 29	
LA Senate District 30	1	LA Senate District 30	
LA Senate District 31	1	LA Senate District 31	
LA Senate District 32	1	LA Senate District 32	
LA Senate District 33	1	LA Senate District 33	
LA Senate District 34	1	LA Senate District 34	
LA Senate District 35	1	LA Senate District 35	
LA Senate District 36	1	LA Senate District 36	
LA Senate District 37	1	LA Senate District 37	
LA Senate District 38	1	LA Senate District 38	
LA Senate District 39	1	LA Senate District 39	
US House LA District 1	1	US House LA District 1	
US House LA District 2	1	US House LA District 2	
US House LA District 3	1	US House LA District 3	
US House LA District 4	1	US House LA District 4	
US House LA District 5	1	US House LA District 5	
US House LA District 6	1	US House LA District 6	
US President (LA)	1	US President (LA)	
LA Governor	1	LA Governor	
US Senate LA	1	US Senate LA	
LA Attorney General	1	LA Attorney General	
