Name	ElectionDistrict
LA House District 1	Louisiana;LA House District 1
LA House District 2	Louisiana;LA House District 2
LA House District 3	Louisiana;LA House District 3
LA House District 4	Louisiana;LA House District 4
LA House District 5	Louisiana;LA House District 5
LA House District 6	Louisiana;LA House District 6
LA House District 7	Louisiana;LA House District 7
LA House District 8	Louisiana;LA House District 8
LA House District 9	Louisiana;LA House District 9
LA House District 10	Louisiana;LA House District 10
LA House District 11	Louisiana;LA House District 11
LA House District 12	Louisiana;LA House District 12
LA House District 13	Louisiana;LA House District 13
LA House District 14	Louisiana;LA House District 14
LA House District 15	Louisiana;LA House District 15
LA House District 16	Louisiana;LA House District 16
LA House District 17	Louisiana;LA House District 17
LA House District 18	Louisiana;LA House District 18
LA House District 19	Louisiana;LA House District 19
LA House District 20	Louisiana;LA House District 20
LA House District 21	Louisiana;LA House District 21
LA House District 22	Louisiana;LA House District 22
LA House District 23	Louisiana;LA House District 23
LA House District 24	Louisiana;LA House District 24
LA House District 25	Louisiana;LA House District 25
LA House District 26	Louisiana;LA House District 26
LA House District 27	Louisiana;LA House District 27
LA House District 28	Louisiana;LA House District 28
LA House District 29	Louisiana;LA House District 29
LA House District 30	Louisiana;LA House District 30
LA House District 31	Louisiana;LA House District 31
LA House District 32	Louisiana;LA House District 32
LA House District 33	Louisiana;LA House District 33
LA House District 34	Louisiana;LA House District 34
LA House District 35	Louisiana;LA House District 35
LA House District 36	Louisiana;LA House District 36
LA House District 37	Louisiana;LA House District 37
LA House District 38	Louisiana;LA House District 38
LA House District 39	Louisiana;LA House District 39
LA House District 40	Louisiana;LA House District 40
LA House District 41	Louisiana;LA House District 41
LA House District 42	Louisiana;LA House District 42
LA House District 43	Louisiana;LA House District 43
LA House District 44	Louisiana;LA House District 44
LA House District 45	Louisiana;LA House District 45
LA House District 46	Louisiana;LA House District 46
LA House District 47	Louisiana;LA House District 47
LA House District 48	Louisiana;LA House District 48
LA House District 49	Louisiana;LA House District 49
LA House District 50	Louisiana;LA House District 50
LA House District 51	Louisiana;LA House District 51
LA House District 52	Louisiana;LA House District 52
