Name	ReportingUnitType
Louisiana;LA House District 1	state-house
Louisiana;LA House District 2	state-house
Louisiana;LA House District 3	state-house
Louisiana;LA House District 4	state-house
Louisiana;LA House District 5	state-house
Louisiana;LA House District 6	state-house
Louisiana;LA House District 7	state-house
Louisiana;LA House District 8	state-house
Louisiana;LA House District 9	state-house
Louisiana;LA House District 10	state-house
Louisiana;LA House District 11	state-house
Louisiana;LA House District 12	state-house
Louisiana;LA House District 13	state-house
Louisiana;LA House District 14	state-house
Louisiana;LA House District 15	state-house
Louisiana;LA House District 16	state-house
Louisiana;LA House District 17	state-house
Louisiana;LA House District 18	state-house
Louisiana;LA House District 19	state-house
Louisiana;LA House District 20	state-house
Louisiana;LA House District 21	state-house
Louisiana;LA House District 22	state-house
Louisiana;LA House District 23	state-house
Louisiana;LA House District 24	state-house
Louisiana;LA House District 25	state-house
Louisiana;LA House District 26	state-house
Louisiana;LA House District 27	state-house
Louisiana;LA House District 28	state-house
Louisiana;LA House District 29	state-house
Louisiana;LA House District 30	state-house
Louisiana;LA House District 31	state-house
Louisiana;LA House District 32	state-house
Louisiana;LA House District 33	state-house
Louisiana;LA House District 34	state-house
Louisiana;LA House District 35	state-house
Louisiana;LA House District 36	state-house
Louisiana;LA House District 37	state-house
Louisiana;LA House District 38	state-house
Louisiana;LA House District 39	state-house
Louisiana;LA House District 40	state-house
Louisiana;LA House District 41	state-house
Louisiana;LA House District 42	state-house
Louisiana;LA House District 43	state-house
Louisiana;LA House District 44	state-house
Louisiana;LA House District 45	state-house
Louisiana;LA House District 46	state-house
Louisiana;LA House District 47	state-house
Louisiana;LA House District 48	state-house
Louisiana;LA House District 49	state-house
Louisiana;LA House District 50	state-house
Louisiana;LA House District 51	state-house
Louisiana;LA House District 52	state-house
Louisiana;LA House District 53	state-house
Louisiana;LA House District 54	state-house
Louisiana;LA House District 55	state-house
Louisiana;LA House District 56	state-house
Louisiana;LA House District 57	state-house
Louisiana;LA House District 58	state-house
Louisiana;LA House District 59	state-house
Louisiana;LA House District 60	state-house
Louisiana;LA House District 61	state-house
Louisiana;LA House District 62	state-house
Louisiana;LA House District 63	state-house
Louisiana;LA House District 64	state-house
Louisiana;LA House District 65	state-house
Louisiana;LA House District 66	state-house
Louisiana;LA House District 67	state-house
Louisiana;LA House District 68	state-house
Louisiana;LA House District 69	state-house
Louisiana;LA House District 70	state-house
Louisiana;LA House District 71	state-house
Louisiana;LA House District 72	state-house
Louisiana;LA House District 73	state-house
Louisiana;LA House District 74	state-house
Louisiana;LA House District 75	state-house
Louisiana;LA House District 76	state-house
Louisiana;LA House District 77	state-house
Louisiana;LA House District 78	state-house
Louisiana;LA House District 79	state-house
Louisiana;LA House District 80	state-house
Louisiana;LA House District 81	state-house
Louisiana;LA House District 82	state-house
Louisiana;LA House District 83	state-house
Louisiana;LA House District 84	state-house
Louisiana;LA House District 85	state-house
Louisiana;LA House District 86	state-house
Louisiana;LA House District 87	state-house
Louisiana;LA House District 88	state-house
Louisiana;LA House District 89	state-house
Louisiana;LA House District 90	state-house
Louisiana;LA House District 91	state-house
Louisiana;LA House District 92	state-house
Louisiana;LA House District 93	state-house
Louisiana;LA House District 94	state-house
Louisiana;LA House District 95	state-house
Louisiana;LA House District 96	state-house
Louisiana;LA House District 97	state-house
Louisiana;LA House District 98	state-house
Louisiana;LA House District 99	state-house
Louisiana;LA House District 100	state-house
Louisiana;LA House District 101	state-house
Louisiana;LA House District 102	state-house
Louisiana;LA House District 103	state-house
Louisiana;LA House District 104	state-house
Louisiana;LA House District 105	state-house
Louisiana;LA Senate District 1	state-senate
Louisiana;LA Senate District 2	state-senate
Louisiana;LA Senate District 3	state-senate
Louisiana;LA Senate District 4	state-senate
Louisiana;LA Senate District 5	state-senate
Louisiana;LA Senate District 6	state-senate
Louisiana;LA Senate District 7	state-senate
Louisiana;LA Senate District 8	state-senate
Louisiana;LA Senate District 9	state-senate
Louisiana;LA Senate District 10	state-senate
Louisiana;LA Senate District 11	state-senate
Louisiana;LA Senate District 12	state-senate
Louisiana;LA Senate District 13	state-senate
Louisiana;LA Senate District 14	state-senate
Louisiana;LA Senate District 15	state-senate
Louisiana;LA Senate District 16	state-senate
Louisiana;LA Senate District 17	state-senate
Louisiana;LA Senate District 18	state-senate
Louisiana;LA Senate District 19	state-senate
Louisiana;LA Senate District 20	state-senate
Louisiana;LA Senate District 21	state-senate
Louisiana;LA Senate District 22	state-senate
Louisiana;LA Senate District 23	state-senate
Louisiana;LA Senate District 24	state-senate
Louisiana;LA Senate District 25	state-senate
Louisiana;LA Senate District 26	state-senate
Louisiana;LA Senate District 27	state-senate
Louisiana;LA Senate District 28	state-senate
Louisiana;LA Senate District 29	state-senate
Louisiana;LA Senate District 30	state-senate
Louisiana;LA Senate District 31	state-senate
Louisiana;LA Senate District 32	state-senate
Louisiana;LA Senate District 33	state-senate
Louisiana;LA Senate District 34	state-senate
Louisiana;LA Senate District 35	state-senate
Louisiana;LA Senate District 36	state-senate
Louisiana;LA Senate District 37	state-senate
Louisiana;LA Senate District 38	state-senate
Louisiana;LA Senate District 39	state-senate
Louisiana;US House LA District 1	congressional
Louisiana;US House LA District 2	congressional
Louisiana;US House LA District 3	congressional
Louisiana;US House LA District 4	congressional
Louisiana;US House LA District 5	congressional
Louisiana;US House LA District 6	congressional
Louisiana	state
Louisiana;Acadia Parish;Ward 1;Precinct 1	precinct
Louisiana;Acadia Parish;Ward 1;Precinct 02A	precinct
Louisiana;Acadia Parish;Ward 1;Precinct 02B	precinct
Louisiana;Acadia Parish;Ward 1;Precinct 03A	precinct
Louisiana;Acadia Parish;Ward 1;Precinct 03B	precinct
