cdf_element	cdf_internal_name	raw_identifier_value
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 1	Acadia;1;1
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 02A	Acadia;1;02A
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 02B	Acadia;1;02B
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 03A	Acadia;1;03A
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 03B	Acadia;1;03B
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 04A	Acadia;1;04A
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 04B	Acadia;1;04B
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 05A	Acadia;1;05A
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 05B	Acadia;1;05B
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 6	Acadia;1;6
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 7	Acadia;1;7
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 8	Acadia;1;8
ReportingUnit	Louisiana;Acadia Parish;Ward 1;Prcinct 9	Acadia;1;9
ReportingUnit	Louisiana;Acadia Parish;Ward 2;Prcinct 1	Acadia;2;1
ReportingUnit	Louisiana;Acadia Parish;Ward 2;Prcinct 2	Acadia;2;2
ReportingUnit	Louisiana;Acadia Parish;Ward 2;Prcinct 3	Acadia;2;3
ReportingUnit	Louisiana;Acadia Parish;Ward 2;Prcinct 4	Acadia;2;4
ReportingUnit	Louisiana;Acadia Parish;Ward 2;Prcinct 5	Acadia;2;5
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 1	Acadia;3;1
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 2	Acadia;3;2
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 03A	Acadia;3;03A
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 03B	Acadia;3;03B
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 4	Acadia;3;4
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 5	Acadia;3;5
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 6	Acadia;3;6
ReportingUnit	Louisiana;Acadia Parish;Ward 3;Prcinct 7	Acadia;3;7
ReportingUnit	Louisiana;Acadia Parish;Ward 4;Prcinct 1	Acadia;4;1
