Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Maryland;Governor / Lt. Governor 	Maryland	1	1	0	TRUE
Maryland;State's Attorney        	Maryland	1	1	0	TRUE
Maryland;Treasurer               	Maryland	1	1	0	TRUE
Maryland;US Congress Senate            	Maryland	1	1	0	TRUE
Maryland;Attorney General	Maryland	1	1	0	TRUE
Maryland;Governor/Lt. Governor	Maryland	1	1	0	TRUE
Maryland;US Congress Senate	Maryland	1	1	0	TRUE
Maryland; State Senate District 1	Maryland; State Senate District 1	1	1	0	TRUE
Maryland; State Senate District 10	Maryland; State Senate District 10	1	1	0	TRUE
Maryland; State Senate District 11	Maryland; State Senate District 11	1	1	0	TRUE
Maryland; State Senate District 12	Maryland; State Senate District 12	1	1	0	TRUE
Maryland; State Senate District 13	Maryland; State Senate District 13	1	1	0	TRUE
Maryland; State Senate District 14	Maryland; State Senate District 14	1	1	0	TRUE
Maryland; State Senate District 15	Maryland; State Senate District 15	1	1	0	TRUE
Maryland; State Senate District 16	Maryland; State Senate District 16	1	1	0	TRUE
Maryland; State Senate District 17	Maryland; State Senate District 17	1	1	0	TRUE
Maryland; State Senate District 18	Maryland; State Senate District 18	1	1	0	TRUE
Maryland; State Senate District 19	Maryland; State Senate District 19	1	1	0	TRUE
Maryland; State Senate District 2	Maryland; State Senate District 2	1	1	0	TRUE
Maryland; State Senate District 20	Maryland; State Senate District 20	1	1	0	TRUE
Maryland; State Senate District 21	Maryland; State Senate District 21	1	1	0	TRUE
Maryland; State Senate District 22	Maryland; State Senate District 22	1	1	0	TRUE
Maryland; State Senate District 23	Maryland; State Senate District 23	1	1	0	TRUE
Maryland; State Senate District 24	Maryland; State Senate District 24	1	1	0	TRUE
Maryland; State Senate District 25	Maryland; State Senate District 25	1	1	0	TRUE
Maryland; State Senate District 26	Maryland; State Senate District 26	1	1	0	TRUE
Maryland; State Senate District 27	Maryland; State Senate District 27	1	1	0	TRUE
Maryland; State Senate District 28	Maryland; State Senate District 28	1	1	0	TRUE
Maryland; State Senate District 29	Maryland; State Senate District 29	1	1	0	TRUE
Maryland; State Senate District 3	Maryland; State Senate District 3	1	1	0	TRUE
Maryland; State Senate District 30	Maryland; State Senate District 30	1	1	0	TRUE
Maryland; State Senate District 31	Maryland; State Senate District 31	1	1	0	TRUE
Maryland; State Senate District 32	Maryland; State Senate District 32	1	1	0	TRUE
Maryland; State Senate District 33	Maryland; State Senate District 33	1	1	0	TRUE
Maryland; State Senate District 34	Maryland; State Senate District 34	1	1	0	TRUE
Maryland; State Senate District 35	Maryland; State Senate District 35	1	1	0	TRUE
Maryland; State Senate District 36	Maryland; State Senate District 36	1	1	0	TRUE
Maryland; State Senate District 37	Maryland; State Senate District 37	1	1	0	TRUE
