Name	ReportingUnitType
Maryland	state
Maryland; State Senate District 1	state-senate
Maryland; State Senate District 10	state-senate
Maryland; State Senate District 11	state-senate
Maryland; State Senate District 12	state-senate
Maryland; State Senate District 13	state-senate
Maryland; State Senate District 14	state-senate
Maryland; State Senate District 15	state-senate
Maryland; State Senate District 16	state-senate
Maryland; State Senate District 17	state-senate
Maryland; State Senate District 18	state-senate
Maryland; State Senate District 19	state-senate
Maryland; State Senate District 2	state-senate
Maryland; State Senate District 20	state-senate
Maryland; State Senate District 21	state-senate
Maryland; State Senate District 22	state-senate
Maryland; State Senate District 23	state-senate
Maryland; State Senate District 24	state-senate
Maryland; State Senate District 25	state-senate
Maryland; State Senate District 26	state-senate
Maryland; State Senate District 27	state-senate
Maryland; State Senate District 28	state-senate
Maryland; State Senate District 29	state-senate
Maryland; State Senate District 3	state-senate
Maryland; State Senate District 30	state-senate
Maryland; State Senate District 31	state-senate
Maryland; State Senate District 32	state-senate
Maryland; State Senate District 33	state-senate
Maryland; State Senate District 34	state-senate
Maryland; State Senate District 35	state-senate
Maryland; State Senate District 36	state-senate
Maryland; State Senate District 37	state-senate
Maryland; State Senate District 38	state-senate
Maryland; State Senate District 39	state-senate
Maryland; State Senate District 4	state-senate
Maryland; State Senate District 40	state-senate
Maryland; State Senate District 41	state-senate
Maryland; State Senate District 42	state-senate
Maryland; State Senate District 43	state-senate
Maryland; State Senate District 44	state-senate
Maryland; State Senate District 45	state-senate
Maryland; State Senate District 46	state-senate
Maryland; State Senate District 47	state-senate
Maryland; State Senate District 5	state-senate
Maryland; State Senate District 6	state-senate
Maryland; State Senate District 7	state-senate
Maryland; State Senate District 8	state-senate
Maryland; State Senate District 9	state-senate
Maryland;Allegany County	county
Maryland;Allegany County;Election District 1	election district
Maryland;Allegany County;Election District 1:Precinct 0	precinct
Maryland;Allegany County;Election District 10	election district
Maryland;Allegany County;Election District 10:Precinct 0	precinct
Maryland;Allegany County;Election District 11	election district
Maryland;Allegany County;Election District 11:Precinct 0	precinct
Maryland;Allegany County;Election District 12	election district
Maryland;Allegany County;Election District 12:Precinct 0	precinct
Maryland;Allegany County;Election District 13	election district
Maryland;Allegany County;Election District 13:Precinct 0	precinct
Maryland;Allegany County;Election District 14	election district
Maryland;Allegany County;Election District 14:Precinct 0	precinct
Maryland;Allegany County;Election District 16	election district
Maryland;Allegany County;Election District 16:Precinct 0	precinct
Maryland;Allegany County;Election District 18	election district
Maryland;Allegany County;Election District 18:Precinct 0	precinct
Maryland;Allegany County;Election District 2	election district
Maryland;Allegany County;Election District 2:Precinct 0	precinct
Maryland;Allegany County;Election District 20	election district
Maryland;Allegany County;Election District 20:Precinct 0	precinct
Maryland;Allegany County;Election District 21	election district
Maryland;Allegany County;Election District 21:Precinct 0	precinct
Maryland;Allegany County;Election District 22	election district
Maryland;Allegany County;Election District 22:Precinct 1	precinct
Maryland;Allegany County;Election District 22:Precinct 2	precinct
Maryland;Allegany County;Election District 23	election district
Maryland;Allegany County;Election District 23:Precinct 0	precinct
Maryland;Allegany County;Election District 24	election district
Maryland;Allegany County;Election District 24:Precinct 0	precinct
Maryland;Allegany County;Election District 26	election district
Maryland;Allegany County;Election District 26:Precinct 0	precinct
Maryland;Allegany County;Election District 29	election district
Maryland;Allegany County;Election District 29:Precinct 1	precinct
Maryland;Allegany County;Election District 29:Precinct 2	precinct
Maryland;Allegany County;Election District 29:Precinct 3	precinct
Maryland;Allegany County;Election District 3	election district
Maryland;Allegany County;Election District 3:Precinct 0	precinct
Maryland;Allegany County;Election District 31	election district
Maryland;Allegany County;Election District 31:Precinct 0	precinct
Maryland;Allegany County;Election District 34	election district
Maryland;Allegany County;Election District 34:Precinct 0	precinct
Maryland;Allegany County;Election District 4	election district
Maryland;Allegany County;Election District 4:Precinct 2	precinct
Maryland;Allegany County;Election District 4:Precinct 3	precinct
Maryland;Allegany County;Election District 4:Precinct 4	precinct
Maryland;Allegany County;Election District 4:Precinct 5	precinct
Maryland;Allegany County;Election District 4:Precinct 8	precinct
Maryland;Allegany County;Election District 5	election district
Maryland;Allegany County;Election District 5:Precinct 4	precinct
Maryland;Allegany County;Election District 5:Precinct 6	precinct
Maryland;Allegany County;Election District 6	election district
Maryland;Allegany County;Election District 6:Precinct 1	precinct
