BallotName	Party
A. BOMER	No Party Affiliation
AARON DELIKTA	Republican Party
AARON MARIASY	Green Party
AARON MILLER	Republican Party
ABDULLAH HAMMOUD	Democratic Party
ADAM DREHER	Democratic Party
ADAM HOLLIER	Democratic Party
AL HARDWICK	Republican Party
ALBERTA GRIFFIN	Democratic Party
ALEX GARZA	Democratic Party
AMANDA BRAND	Republican Party
AMBER PEDERSEN	Democratic Party
ANDRE DWAN GODWIN	No Party Affiliation
ANDREA FISCHER NEWMAN	Republican Party
ANDREA GERALDS	Democratic Party
ANDREA K. SCHROEDER	Republican Party
ANDREA KIRBY	Republican Party
ANDREA POLLOCK	Republican Party
ANDREW RICHNER	Republican Party
ANDY LEVIN	Democratic Party
ANGELA SAVINO	Republican Party
ANGELA WITWER	Democratic Party
ANGELO SCOTT BROWN	No Party Affiliation
ANIL KUMAR	Democratic Party
ANN BOLLIN	Republican Party
ANNETTE GLENN	Republican Party
ANNIE SPENCER	Republican Party
ANTHONY CROFF	Libertarian Party
ARIC NESBITT	Republican Party
ARTHUR BLUNDELL	Republican Party
BEAU MATTHEW LAFAVE	Republican Party
BEN FREDERICK	Republican Party
BENJAMIN CARR	Libertarian Party
BENJAMIN DRYKE	Libertarian Party
BETH GRIFFIN	Republican Party
BETTY JEAN ALEXANDER	Democratic Party
BILL GELINEAU	Libertarian Party
BILL HUIZENGA	Republican Party
BILL LAVOY	Democratic Party
BILL SAXTON	Democratic Party
BILL SCHUETTE	Republican Party
BOB BAIRD	Republican Party
BOB ROMPS	Democratic Party
BORIS TUMAN	Republican Party
BRAD PAQUETTE	Republican Party
BRADLEY SLAGH	Republican Party
BRANDON HOEZEE	Republican Party
BRANDT IDEN	Republican Party
BRENDA CARTER	Democratic Party
BRENDA JONES	Democratic Party
BRENDA LAWRENCE	Democratic Party
BRIAN ELLISON	Libertarian Party
BRIAN K. ELDER	Democratic Party
BRIAN MEAKIN	Republican Party
BRIAN R. WRIGHT	Libertarian Party
BRIANNA T. SCOTT	Democratic Party
BRIDGETTE R. ABRAHAM-GUZMAN	Natural Law Party
BRONNA KAHLE	Republican Party
BRUCE CAMPBELL	Libertarian Party
BRYAN C. BARNHILL	Democratic Party
CANDIUS STEARNS	Republican Party
CARA CLEMENTE	Democratic Party
CATHY ALBRO	Democratic Party
CELIA YOUNG-WENKEL	Democratic Party
CHAD MCNAMARA	Libertarian Party
CHANEIKA RANELL PENNY	No Party Affiliation
CHRIS AFENDOULIS	Republican Party
CHRIS GRAVELINE	No Party Affiliation
CHRISTINE C. SCHWARTZ	Republican Party
CHRISTINE E. BARNES	Republican Party
CHRISTINE GREIG	Democratic Party
CHRISTOPHER BANKS	Democratic Party
CHRISTOPHER COMDEN	Republican Party
CHRISTOPHER GILES	Democratic Party
CLYDE DARNELL LYNCH	No Party Affiliation
CLYDE LYNCH	No Party Affiliation
COLLEEN TURK	Democratic Party
COLTON A. CAMPBELL	Republican Party
COOPER NYE	No Party Affiliation
CRAIG BEACH	Democratic Party
CRYSTAL VAN SICKLE	Republican Party
CURT VANDERWALL	Republican Party
"CURTIS HERTEL, JR."	Democratic Party
CYNTHIA A. JOHNSON	Democratic Party
CYNTHIA A. LUCZAK	Democratic Party
D. ETTA WILCOXON	Green Party
DAIRE RENDON	Republican Party
DALE W. ZORN	Republican Party
DAN LAUWERS	Republican Party
DAN O'NEIL	Democratic Party
DAN SEIBERT	Democratic Party
DANA KNIGHT	Democratic Party
DANA NESSEL	Democratic Party
DANETTA L. SIMPSON	No Party Affiliation
DANIEL T. KILDEE	Democratic Party
DARIAN MOORE	Republican Party
DARRELL STASIK	Republican Party
DARRIN CAMILLERI	Democratic Party
DAVE ADAMS	Democratic Party
DAVE DUTCH	Republican Party
DAVE MORGAN	Republican Party
DAVID ANTHONY DUDENHOEFER	No Party Affiliation
DAVID E. LOSSING	Democratic Party
DAVID J. LILLIS	Republican Party
DAVID LAGRAND	Democratic Party
DAVID MOTT	No Party Affiliation
DAVID NICHOLSON	Republican Party
DAVID WOLKINSON	Republican Party
DAWN D. LEVEY	Democratic Party
DAYNA POLEHANKI	Democratic Party
DEAN E. HILL	Democratic Party
DEBBIE BOURGOIS	Democratic Party
DEBBIE DINGELL	Democratic Party
DEBBIE STABENOW	Democratic Party
DENNIS B. SMITH	Democratic Party
DESHAWN WILKINS	Republican Party
DIANA FARRINGTON	Republican Party
DIANE DUNASKISS	Republican Party
DION ADAMS	Democratic Party
DOLORES BRODERSEN	Republican Party
DONNA KEKESIS	Republican Party
DONNA LASINSKI	Democratic Party
DOROTHY PATTERSON	Republican Party
DOROTHY TANNER	Republican Party
DOUG DERN	No Party Affiliation
DOUG MITCHELL	Republican Party
DOUG TIETZ	Republican Party
DOUGLAS C. WOZNIAK	Republican Party
DOUGLAS LEVESQUE	Republican Party
DOUGLAS W. GARDNER	No Party Affiliation
ED MCBROOM	Republican Party
ELISSA SLOTKIN	Democratic Party
ELIZABETH T. CLEMENT	No Party Affiliation
ERIC BORREGARD	Green Party
ERIC EDWARD SABIN	Democratic Party
ERIC LEUTHEUSER	Republican Party
ERIKA GEISS	Democratic Party
ERNIE WHITESIDE	Democratic Party
ERWIN HAAS	Libertarian Party
EUGENE SINTA	No Party Affiliation
EVAN SPACE	No Party Affiliation
FRANCIS L. ROWLEY	No Party Affiliation
FRANK LIBERATI	Democratic Party
FRED UPTON	Republican Party
GAIL EICHORST	Republican Party
GARNET LEWIS	Democratic Party
GARY HOWELL	Republican Party
GARY R. EISEN	Republican Party
GARY WALKOWICZ	Republican Party
GEORGE E. HUFFMAN III	Republican Party
GEORGE NASTAS	Republican Party
GERALD T. VAN SICKLE	Republican Party
GRAHAM FILLER	Republican Party
GREG VANWOERKOM	Republican Party
GREGORY CRESWELL	Libertarian Party
GREGORY MARKKANEN	Republican Party
GREGORY SCOTT STEMPFLE	Libertarian Party
GRETCHEN DRISKELL	Democratic Party
GRETCHEN WHITMER	Democratic Party
HALEY STEVENS	Democratic Party
HALI MCEACHERN	Republican Party
HANK VAUPEL	Republican Party
HARLEY MIKKELSON	Green Party
HEIDI A. ZUNIGA	Democratic Party
HENRY JOSEPH LESTER	No Party Affiliation
HENRY SWIFT	Republican Party
