Name	ElectionDistrict
MI House District 1	Michigan;MI House District 1
MI House District 2	Michigan;MI House District 2
MI House District 3	Michigan;MI House District 3
MI House District 4	Michigan;MI House District 4
MI House District 5	Michigan;MI House District 5
MI House District 6	Michigan;MI House District 6
MI House District 7	Michigan;MI House District 7
MI House District 8	Michigan;MI House District 8
MI House District 9	Michigan;MI House District 9
MI House District 10	Michigan;MI House District 10
MI House District 11	Michigan;MI House District 11
MI House District 12	Michigan;MI House District 12
MI House District 13	Michigan;MI House District 13
MI House District 14	Michigan;MI House District 14
MI House District 15	Michigan;MI House District 15
MI House District 16	Michigan;MI House District 16
MI House District 17	Michigan;MI House District 17
MI House District 18	Michigan;MI House District 18
MI House District 19	Michigan;MI House District 19
MI House District 20	Michigan;MI House District 20
MI House District 21	Michigan;MI House District 21
MI House District 22	Michigan;MI House District 22
MI House District 23	Michigan;MI House District 23
MI House District 24	Michigan;MI House District 24
MI House District 25	Michigan;MI House District 25
MI House District 26	Michigan;MI House District 26
MI House District 27	Michigan;MI House District 27
MI House District 28	Michigan;MI House District 28
MI House District 29	Michigan;MI House District 29
MI House District 30	Michigan;MI House District 30
MI House District 31	Michigan;MI House District 31
MI House District 32	Michigan;MI House District 32
MI House District 33	Michigan;MI House District 33
MI House District 34	Michigan;MI House District 34
MI House District 35	Michigan;MI House District 35
MI House District 36	Michigan;MI House District 36
MI House District 37	Michigan;MI House District 37
MI House District 38	Michigan;MI House District 38
MI House District 39	Michigan;MI House District 39
MI House District 40	Michigan;MI House District 40
MI House District 41	Michigan;MI House District 41
MI House District 42	Michigan;MI House District 42
MI House District 43	Michigan;MI House District 43
MI House District 44	Michigan;MI House District 44
MI House District 45	Michigan;MI House District 45
MI House District 46	Michigan;MI House District 46
MI House District 47	Michigan;MI House District 47
MI House District 48	Michigan;MI House District 48
MI House District 49	Michigan;MI House District 49
MI House District 50	Michigan;MI House District 50
MI House District 51	Michigan;MI House District 51
MI House District 52	Michigan;MI House District 52
MI House District 53	Michigan;MI House District 53
MI House District 54	Michigan;MI House District 54
MI House District 55	Michigan;MI House District 55
MI House District 56	Michigan;MI House District 56
MI House District 57	Michigan;MI House District 57
MI House District 58	Michigan;MI House District 58
MI House District 59	Michigan;MI House District 59
MI House District 60	Michigan;MI House District 60
MI House District 61	Michigan;MI House District 61
MI House District 62	Michigan;MI House District 62
MI House District 63	Michigan;MI House District 63
MI House District 64	Michigan;MI House District 64
MI House District 65	Michigan;MI House District 65
MI House District 66	Michigan;MI House District 66
MI House District 67	Michigan;MI House District 67
MI House District 68	Michigan;MI House District 68
MI House District 69	Michigan;MI House District 69
MI House District 70	Michigan;MI House District 70
MI House District 71	Michigan;MI House District 71
MI House District 72	Michigan;MI House District 72
MI House District 73	Michigan;MI House District 73
MI House District 74	Michigan;MI House District 74
MI House District 75	Michigan;MI House District 75
MI House District 76	Michigan;MI House District 76
MI House District 77	Michigan;MI House District 77
MI House District 78	Michigan;MI House District 78
MI House District 79	Michigan;MI House District 79
MI House District 80	Michigan;MI House District 80
MI House District 81	Michigan;MI House District 81
MI House District 82	Michigan;MI House District 82
MI House District 83	Michigan;MI House District 83
MI House District 84	Michigan;MI House District 84
MI House District 85	Michigan;MI House District 85
MI House District 86	Michigan;MI House District 86
MI House District 87	Michigan;MI House District 87
MI House District 88	Michigan;MI House District 88
MI House District 89	Michigan;MI House District 89
MI House District 90	Michigan;MI House District 90
MI House District 91	Michigan;MI House District 91
MI House District 92	Michigan;MI House District 92
MI House District 93	Michigan;MI House District 93
MI House District 94	Michigan;MI House District 94
MI House District 95	Michigan;MI House District 95
MI House District 96	Michigan;MI House District 96
MI House District 97	Michigan;MI House District 97
MI House District 98	Michigan;MI House District 98
MI House District 99	Michigan;MI House District 99
MI House District 100	Michigan;MI House District 100
MI House District 101	Michigan;MI House District 101
MI House District 102	Michigan;MI House District 102
MI House District 103	Michigan;MI House District 103
MI House District 104	Michigan;MI House District 104
MI House District 105	Michigan;MI House District 105
MI House District 106	Michigan;MI House District 106
MI House District 107	Michigan;MI House District 107
MI House District 108	Michigan;MI House District 108
MI House District 109	Michigan;MI House District 109
MI House District 110	Michigan;MI House District 110
MI Senate District 1	Michigan;MI Senate District 1
MI Senate District 2	Michigan;MI Senate District 2
MI Senate District 3	Michigan;MI Senate District 3
MI Senate District 4	Michigan;MI Senate District 4
MI Senate District 5	Michigan;MI Senate District 5
MI Senate District 6	Michigan;MI Senate District 6
MI Senate District 7	Michigan;MI Senate District 7
MI Senate District 8	Michigan;MI Senate District 8
MI Senate District 9	Michigan;MI Senate District 9
MI Senate District 10	Michigan;MI Senate District 10
MI Senate District 11	Michigan;MI Senate District 11
MI Senate District 12	Michigan;MI Senate District 12
MI Senate District 13	Michigan;MI Senate District 13
MI Senate District 14	Michigan;MI Senate District 14
MI Senate District 15	Michigan;MI Senate District 15
MI Senate District 16	Michigan;MI Senate District 16
MI Senate District 17	Michigan;MI Senate District 17
MI Senate District 18	Michigan;MI Senate District 18
MI Senate District 19	Michigan;MI Senate District 19
MI Senate District 20	Michigan;MI Senate District 20
MI Senate District 21	Michigan;MI Senate District 21
MI Senate District 22	Michigan;MI Senate District 22
MI Senate District 23	Michigan;MI Senate District 23
MI Senate District 24	Michigan;MI Senate District 24
MI Senate District 25	Michigan;MI Senate District 25
MI Senate District 26	Michigan;MI Senate District 26
MI Senate District 27	Michigan;MI Senate District 27
MI Senate District 28	Michigan;MI Senate District 28
MI Senate District 29	Michigan;MI Senate District 29
MI Senate District 30	Michigan;MI Senate District 30
MI Senate District 31	Michigan;MI Senate District 31
MI Senate District 32	Michigan;MI Senate District 32
MI Senate District 33	Michigan;MI Senate District 33
MI Senate District 34	Michigan;MI Senate District 34
MI Senate District 35	Michigan;MI Senate District 35
MI Senate District 36	Michigan;MI Senate District 36
MI Senate District 37	Michigan;MI Senate District 37
MI Senate District 38	Michigan;MI Senate District 38
US House MI District 1	Michigan;US House MI District 1
US House MI District 2	Michigan;US House MI District 2
US House MI District 3	Michigan;US House MI District 3
US House MI District 4	Michigan;US House MI District 4
US House MI District 5	Michigan;US House MI District 5
US House MI District 6	Michigan;US House MI District 6
US House MI District 7	Michigan;US House MI District 7
US House MI District 8	Michigan;US House MI District 8
US House MI District 9	Michigan;US House MI District 9
US House MI District 10	Michigan;US House MI District 10
US House MI District 11	Michigan;US House MI District 11
US House MI District 12	Michigan;US House MI District 12
US House MI District 13	Michigan;US House MI District 13
US House MI District 14	Michigan;US House MI District 14
US Senate	Michigan
