Name	ReportingUnitType
Michigan	state
Michigan;Alcona County	county
Michigan;Alcona County;{Statistical Adjustments}	statistical-adjustment
Michigan;Alcona County;Alcona Township	township
Michigan;Alcona County;Alcona Township;Ward 0	ward
Michigan;Alcona County;Alcona Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Caledonia Township	township
Michigan;Alcona County;Caledonia Township;Ward 0	ward
Michigan;Alcona County;Caledonia Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Curtis Township	township
Michigan;Alcona County;Curtis Township;Ward 0	ward
Michigan;Alcona County;Curtis Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Greenbush Township	township
Michigan;Alcona County;Greenbush Township;Ward 0	ward
Michigan;Alcona County;Greenbush Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Gustin Township	township
Michigan;Alcona County;Gustin Township;Ward 0	ward
Michigan;Alcona County;Gustin Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Harrisville City	city
Michigan;Alcona County;Harrisville City;Ward 1	ward
Michigan;Alcona County;Harrisville City;Ward 1;Precinct 1 Label	precinct
Michigan;Alcona County;Harrisville Township	township
Michigan;Alcona County;Harrisville Township;Ward 0	ward
Michigan;Alcona County;Harrisville Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Hawes Township	township
Michigan;Alcona County;Hawes Township;Ward 0	ward
Michigan;Alcona County;Hawes Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Haynes Township	township
Michigan;Alcona County;Haynes Township;Ward 0	ward
Michigan;Alcona County;Haynes Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Mikado Township	township
Michigan;Alcona County;Mikado Township;Ward 0	ward
Michigan;Alcona County;Mikado Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Millen Township	township
Michigan;Alcona County;Millen Township;Ward 0	ward
Michigan;Alcona County;Millen Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alcona County;Mitchell Township	township
Michigan;Alcona County;Mitchell Township;Ward 0	ward
Michigan;Alcona County;Mitchell Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alger County	county
Michigan;Alger County;{Statistical Adjustments}	statistical-adjustment
Michigan;Alger County;{Statistical Adjustments};Ward 0	ward
Michigan;Alger County;{Statistical Adjustments};Ward 0;Precinct 9999 Label	precinct
Michigan;Alger County;Au Train Township	township
Michigan;Alger County;Au Train Township;Ward 0	ward
Michigan;Alger County;Au Train Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alger County;Burt Township	township
Michigan;Alger County;Burt Township;Ward 0	ward
Michigan;Alger County;Burt Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alger County;Grand Island Township	township
Michigan;Alger County;Grand Island Township;Ward 0	ward
Michigan;Alger County;Grand Island Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alger County;Limestone Township	township
Michigan;Alger County;Limestone Township;Ward 0	ward
Michigan;Alger County;Limestone Township;Ward 0;Precinct 1 Label	precinct
Michigan;Alger County;Mathias Township	township
