cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureContest	STATE PROPOSAL - 18-1: LEGISLATIVE INITIATIVE: COALITION TO REGULATE MARIJUANA LIKE ALCOHOL	STATE PROPOSAL - 18-1: LEGISLATIVE INITIATIVE: COALITION TO REGULATE MARIJUANA LIKE ALCOHOL
BallotMeasureContest	STATE PROPOSAL - 18-2: CONSTITUTIONAL AMENDMENT: VOTERS NOT POLITICIANS	STATE PROPOSAL - 18-2: CONSTITUTIONAL AMENDMENT: VOTERS NOT POLITICIANS
BallotMeasureContest	STATE PROPOSAL - 18-3: CONSTITUTIONAL AMENDMENT: PROMOTE THE VOTE	STATE PROPOSAL - 18-3: CONSTITUTIONAL AMENDMENT: PROMOTE THE VOTE
BallotMeasureSelection	No	NO
BallotMeasureSelection	Yes	YES
Candidate	A. BOMER	A. BOMER
Candidate	AARON DELIKTA	AARON DELIKTA
Candidate	AARON MARIASY	AARON MARIASY
Candidate	AARON MILLER	AARON MILLER
Candidate	ABDULLAH HAMMOUD	ABDULLAH HAMMOUD
Candidate	ADAM DREHER	ADAM DREHER
Candidate	ADAM HOLLIER	ADAM HOLLIER
Candidate	AL HARDWICK	AL HARDWICK
Candidate	ALBERTA GRIFFIN	ALBERTA GRIFFIN
Candidate	ALEX GARZA	ALEX GARZA
Candidate	AMANDA BRAND	AMANDA BRAND
Candidate	AMBER PEDERSEN	AMBER PEDERSEN
Candidate	ANDRE DWAN GODWIN	ANDRE DWAN GODWIN
Candidate	ANDREA FISCHER NEWMAN	ANDREA FISCHER NEWMAN
Candidate	ANDREA GERALDS	ANDREA GERALDS
Candidate	ANDREA K. SCHROEDER	ANDREA K. SCHROEDER
Candidate	ANDREA KIRBY	ANDREA KIRBY
Candidate	ANDREA POLLOCK	ANDREA POLLOCK
Candidate	ANDREW RICHNER	ANDREW RICHNER
Candidate	ANDY LEVIN	ANDY LEVIN
Candidate	ANGELA SAVINO	ANGELA SAVINO
Candidate	ANGELA WITWER	ANGELA WITWER
Candidate	ANGELO SCOTT BROWN	ANGELO SCOTT BROWN
Candidate	ANIL KUMAR	ANIL KUMAR
Candidate	ANN BOLLIN	ANN BOLLIN
Candidate	ANNETTE GLENN	ANNETTE GLENN
Candidate	ANNIE SPENCER	ANNIE SPENCER
Candidate	ANTHONY CROFF	ANTHONY CROFF
Candidate	ARIC NESBITT	ARIC NESBITT
Candidate	ARTHUR BLUNDELL	ARTHUR BLUNDELL
