Name	ReportingUnitType
Michigen	state
Michigen;ALCONA	county
Michigen;ALGER	county
Michigen;ALLEGAN	county
Michigen;ALPENA	county
Michigen;ANTRIM	county
Michigen;ARENAC	county
Michigen;BARAGA	county
Michigen;BARRY	county
Michigen;BAY	county
Michigen;BENZIE	county
Michigen;BERRIEN	county
Michigen;BRANCH	county
Michigen;CALHOUN	county
Michigen;CASS	county
Michigen;CHARLEVOIX	county
Michigen;CHEBOYGAN	county
Michigen;CHIPPEWA	county
Michigen;CLARE	county
Michigen;CLINTON	county
Michigen;CRAWFORD	county
Michigen;DELTA	county
Michigen;DICKINSON	county
Michigen;EATON	county
Michigen;EMMET	county
Michigen;GENESEE	county
Michigen;GLADWIN	county
Michigen;GOGEBIC	county
Michigen;GD. TRAVERSE	county
Michigen;GRATIOT	county
Michigen;HILLSDALE	county
Michigen;HOUGHTON	county
Michigen;HURON	county
Michigen;INGHAM	county
Michigen;IONIA	county
Michigen;IOSCO	county
Michigen;IRON	county
Michigen;ISABELLA	county
Michigen;JACKSON	county
Michigen;KALAMAZOO	county
Michigen;KALKASKA	county
Michigen;KENT	county
Michigen;KEWEENAW	county
Michigen;LAKE	county
Michigen;LAPEER	county
Michigen;LEELANAU	county
Michigen;LENAWEE	county
Michigen;LIVINGSTON	county
Michigen;LUCE	county
Michigen;MACKINAC	county
Michigen;MACOMB	county
Michigen;MANISTEE	county
Michigen;MARQUETTE	county
Michigen;MASON	county
Michigen;MECOSTA	county
Michigen;MENOMINEE	county
Michigen;MIDLAND	county
Michigen;MISSAUKEE	county
Michigen;MONROE	county
Michigen;MONTCALM	county
Michigen;MONTMORENCY	county
Michigen;MUSKEGON	county
Michigen;NEWAYGO	county
Michigen;OAKLAND	county
Michigen;OCEANA	county
Michigen;OGEMAW	county
Michigen;ONTONAGON	county
Michigen;OSCEOLA	county
Michigen;OSCODA	county
Michigen;OTSEGO	county
Michigen;OTTAWA	county
Michigen;PRESQUE ISLE	county
Michigen;ROSCOMMON	county
Michigen;SAGINAW	county
Michigen;ST. CLAIR	county
Michigen;ST. JOSEPH	county
Michigen;SANILAC	county
Michigen;SCHOOLCRAFT	county
Michigen;SHIAWASSEE	county
Michigen;TUSCOLA	county
Michigen;VAN BUREN	county
Michigen;WASHTENAW	county
Michigen;WAYNE	county
Michigen;WEXFORD	county
Michigen;ALCONA;ALCONA TOWNSHIP	city/township
Michigen;ALCONA;CALEDONIA TOWNSHIP	city/township
Michigen;ALCONA;CURTIS TOWNSHIP	city/township
Michigen;ALCONA;GREENBUSH TOWNSHIP	city/township
Michigen;ALCONA;GUSTIN TOWNSHIP	city/township
Michigen;ALCONA;HARRISVILLE TOWNSHIP	city/township
Michigen;ALCONA;HAWES TOWNSHIP	city/township
Michigen;ALCONA;HAYNES TOWNSHIP	city/township
Michigen;ALCONA;MIKADO TOWNSHIP	city/township
Michigen;ALCONA;MILLEN TOWNSHIP	city/township
Michigen;ALCONA;MITCHELL TOWNSHIP	city/township
Michigen;ALCONA;HARRISVILLE CITY	city/township
Michigen;ALCONA;{Statistical Adjustments}	city/township
Michigen;ALGER;AU TRAIN TOWNSHIP	city/township
Michigen;ALGER;BURT TOWNSHIP	city/township
Michigen;ALGER;GRAND ISLAND TOWNSHIP	city/township
Michigen;ALGER;LIMESTONE TOWNSHIP	city/township
Michigen;ALGER;MATHIAS TOWNSHIP	city/township
Michigen;ALGER;MUNISING TOWNSHIP	city/township
Michigen;ALGER;ONOTA TOWNSHIP	city/township
Michigen;ALGER;ROCK RIVER TOWNSHIP	city/township
Michigen;ALGER;MUNISING CITY	city/township
Michigen;ALGER;{Statistical Adjustments}	city/township
Michigen;ALLEGAN;ALLEGAN TOWNSHIP	city/township
Michigen;ALLEGAN;CASCO TOWNSHIP	city/township
Michigen;ALLEGAN;CHESHIRE TOWNSHIP	city/township
Michigen;ALLEGAN;CLYDE TOWNSHIP	city/township
Michigen;ALLEGAN;DORR TOWNSHIP	city/township
Michigen;ALLEGAN;FILLMORE TOWNSHIP	city/township
Michigen;ALLEGAN;GANGES TOWNSHIP	city/township
Michigen;ALLEGAN;GUNPLAIN TOWNSHIP	city/township
Michigen;ALLEGAN;HEATH TOWNSHIP	city/township
Michigen;ALLEGAN;HOPKINS TOWNSHIP	city/township
Michigen;ALLEGAN;LAKETOWN TOWNSHIP	city/township
Michigen;ALLEGAN;LEE TOWNSHIP	city/township
Michigen;ALLEGAN;LEIGHTON TOWNSHIP	city/township
Michigen;ALLEGAN;MANLIUS TOWNSHIP	city/township
Michigen;ALLEGAN;MARTIN TOWNSHIP	city/township
Michigen;ALLEGAN;MONTEREY TOWNSHIP	city/township
Michigen;ALLEGAN;OTSEGO TOWNSHIP	city/township
Michigen;ALLEGAN;OVERISEL TOWNSHIP	city/township
Michigen;ALLEGAN;SALEM TOWNSHIP	city/township
Michigen;ALLEGAN;SAUGATUCK TOWNSHIP	city/township
Michigen;ALLEGAN;TROWBRIDGE TOWNSHIP	city/township
Michigen;ALLEGAN;VALLEY TOWNSHIP	city/township
Michigen;ALLEGAN;WATSON TOWNSHIP	city/township
Michigen;ALLEGAN;WAYLAND TOWNSHIP	city/township
Michigen;ALLEGAN;ALLEGAN CITY	city/township
Michigen;ALLEGAN;DOUGLAS CITY	city/township
Michigen;ALLEGAN;FENNVILLE CITY	city/township
Michigen;ALLEGAN;HOLLAND CITY	city/township
Michigen;ALLEGAN;OTSEGO CITY	city/township
Michigen;ALLEGAN;PLAINWELL CITY	city/township
Michigen;ALLEGAN;SAUGATUCK CITY	city/township
Michigen;ALLEGAN;SOUTH HAVEN CITY	city/township
Michigen;ALLEGAN;WAYLAND CITY	city/township
Michigen;ALLEGAN;{Statistical Adjustments}	city/township
Michigen;ALPENA;ALPENA TOWNSHIP	city/township
Michigen;ALPENA;GREEN TOWNSHIP	city/township
Michigen;ALPENA;LONG RAPIDS TOWNSHIP	city/township
Michigen;ALPENA;MAPLE RIDGE TOWNSHIP	city/township
Michigen;ALPENA;OSSINEKE TOWNSHIP	city/township
Michigen;ALPENA;SANBORN TOWNSHIP	city/township
Michigen;ALPENA;WELLINGTON TOWNSHIP	city/township
Michigen;ALPENA;WILSON TOWNSHIP	city/township
Michigen;ALPENA;ALPENA CITY	city/township
Michigen;ALPENA;{Statistical Adjustments}	city/township
Michigen;ANTRIM;BANKS TOWNSHIP	city/township
Michigen;ANTRIM;CENTRAL LAKE TOWNSHIP	city/township
Michigen;ANTRIM;CHESTONIA TOWNSHIP	city/township
Michigen;ANTRIM;CUSTER TOWNSHIP	city/township
Michigen;ANTRIM;ECHO TOWNSHIP	city/township
Michigen;ANTRIM;ELK RAPIDS TOWNSHIP	city/township
Michigen;ANTRIM;FOREST HOME TOWNSHIP	city/township
Michigen;ANTRIM;HELENA TOWNSHIP	city/township
Michigen;ANTRIM;JORDAN TOWNSHIP	city/township
Michigen;ANTRIM;KEARNEY TOWNSHIP	city/township
Michigen;ANTRIM;MANCELONA TOWNSHIP	city/township
Michigen;ANTRIM;MILTON TOWNSHIP	city/township
Michigen;ANTRIM;STAR TOWNSHIP	city/township
Michigen;ANTRIM;TORCH LAKE TOWNSHIP	city/township
Michigen;ANTRIM;WARNER TOWNSHIP	city/township
Michigen;ANTRIM;{Statistical Adjustments}	city/township
Michigen;ARENAC;ADAMS TOWNSHIP	city/township
Michigen;ARENAC;ARENAC TOWNSHIP	city/township
Michigen;ARENAC;AU GRES TOWNSHIP	city/township
Michigen;ARENAC;CLAYTON TOWNSHIP	city/township
