Name	NumberElected	Office	PrimaryParty
ME House District 1	1	ME House District 1	
ME House District 2	1	ME House District 2	
ME House District 3	1	ME House District 3	
ME House District 4	1	ME House District 4	
ME House District 5	1	ME House District 5	
ME House District 6	1	ME House District 6	
ME House District 7	1	ME House District 7	
ME House District 8	1	ME House District 8	
ME House District 9	1	ME House District 9	
ME House District 10	1	ME House District 10	
ME House District 11	1	ME House District 11	
ME House District 12	1	ME House District 12	
ME House District 13	1	ME House District 13	
ME House District 14	1	ME House District 14	
ME House District 15	1	ME House District 15	
ME House District 16	1	ME House District 16	
ME House District 17	1	ME House District 17	
ME House District 18	1	ME House District 18	
ME House District 19	1	ME House District 19	
ME House District 20	1	ME House District 20	
ME House District 21	1	ME House District 21	
ME House District 22	1	ME House District 22	
ME House District 23	1	ME House District 23	
ME House District 24	1	ME House District 24	
ME House District 25	1	ME House District 25	
ME House District 26	1	ME House District 26	
ME House District 27	1	ME House District 27	
ME House District 28	1	ME House District 28	
ME House District 29	1	ME House District 29	
ME House District 30	1	ME House District 30	
ME House District 31	1	ME House District 31	
ME House District 32	1	ME House District 32	
ME House District 33	1	ME House District 33	
ME House District 34	1	ME House District 34	
ME House District 35	1	ME House District 35	
ME House District 36	1	ME House District 36	
ME House District 37	1	ME House District 37	
ME House District 38	1	ME House District 38	
ME House District 39	1	ME House District 39	
ME House District 40	1	ME House District 40	
ME House District 41	1	ME House District 41	
ME House District 42	1	ME House District 42	
ME House District 43	1	ME House District 43	
ME House District 44	1	ME House District 44	
ME House District 45	1	ME House District 45	
ME House District 46	1	ME House District 46	
ME House District 47	1	ME House District 47	
ME House District 48	1	ME House District 48	
ME House District 49	1	ME House District 49	
ME House District 50	1	ME House District 50	
ME House District 51	1	ME House District 51	
ME House District 52	1	ME House District 52	
ME House District 53	1	ME House District 53	
ME House District 54	1	ME House District 54	
ME House District 55	1	ME House District 55	
ME House District 56	1	ME House District 56	
ME House District 57	1	ME House District 57	
ME House District 58	1	ME House District 58	
ME House District 59	1	ME House District 59	
ME House District 60	1	ME House District 60	
ME House District 61	1	ME House District 61	
ME House District 62	1	ME House District 62	
ME House District 63	1	ME House District 63	
ME House District 64	1	ME House District 64	
ME House District 65	1	ME House District 65	
ME House District 66	1	ME House District 66	
ME House District 67	1	ME House District 67	
ME House District 68	1	ME House District 68	
ME House District 69	1	ME House District 69	
ME House District 70	1	ME House District 70	
ME House District 71	1	ME House District 71	
ME House District 72	1	ME House District 72	
ME House District 73	1	ME House District 73	
ME House District 74	1	ME House District 74	
ME House District 75	1	ME House District 75	
ME House District 76	1	ME House District 76	
ME House District 77	1	ME House District 77	
ME House District 78	1	ME House District 78	
ME House District 79	1	ME House District 79	
ME House District 80	1	ME House District 80	
ME House District 81	1	ME House District 81	
ME House District 82	1	ME House District 82	
ME House District 83	1	ME House District 83	
ME House District 84	1	ME House District 84	
ME House District 85	1	ME House District 85	
ME House District 86	1	ME House District 86	
ME House District 87	1	ME House District 87	
ME House District 88	1	ME House District 88	
ME House District 89	1	ME House District 89	
ME House District 90	1	ME House District 90	
ME House District 91	1	ME House District 91	
ME House District 92	1	ME House District 92	
ME House District 93	1	ME House District 93	
ME House District 94	1	ME House District 94	
ME House District 95	1	ME House District 95	
ME House District 96	1	ME House District 96	
ME House District 97	1	ME House District 97	
ME House District 98	1	ME House District 98	
ME House District 99	1	ME House District 99	
ME House District 100	1	ME House District 100	
ME House District 101	1	ME House District 101	
ME House District 102	1	ME House District 102	
ME House District 103	1	ME House District 103	
ME House District 104	1	ME House District 104	
ME House District 105	1	ME House District 105	
ME House District 106	1	ME House District 106	
ME House District 107	1	ME House District 107	
ME House District 108	1	ME House District 108	
ME House District 109	1	ME House District 109	
ME House District 110	1	ME House District 110	
ME House District 111	1	ME House District 111	
ME House District 112	1	ME House District 112	
ME House District 113	1	ME House District 113	
ME House District 114	1	ME House District 114	
ME House District 115	1	ME House District 115	
ME House District 116	1	ME House District 116	
ME House District 117	1	ME House District 117	
ME House District 118	1	ME House District 118	
ME House District 119	1	ME House District 119	
ME House District 120	1	ME House District 120	
ME House District 121	1	ME House District 121	
ME House District 122	1	ME House District 122	
ME House District 123	1	ME House District 123	
ME House District 124	1	ME House District 124	
ME House District 125	1	ME House District 125	
ME House District 126	1	ME House District 126	
ME House District 127	1	ME House District 127	
ME House District 128	1	ME House District 128	
ME House District 129	1	ME House District 129	
ME House District 130	1	ME House District 130	
ME House District 131	1	ME House District 131	
ME House District 132	1	ME House District 132	
ME House District 133	1	ME House District 133	
ME House District 134	1	ME House District 134	
ME House District 135	1	ME House District 135	
ME House District 136	1	ME House District 136	
ME House District 137	1	ME House District 137	
ME House District 138	1	ME House District 138	
ME House District 139	1	ME House District 139	
ME House District 140	1	ME House District 140	
ME House District 141	1	ME House District 141	
ME House District 142	1	ME House District 142	
ME House District 143	1	ME House District 143	
ME House District 144	1	ME House District 144	
ME House District 145	1	ME House District 145	
ME House District 146	1	ME House District 146	
ME House District 147	1	ME House District 147	
ME House District 148	1	ME House District 148	
ME House District 149	1	ME House District 149	
ME House District 150	1	ME House District 150	
ME House District 151	1	ME House District 151	
ME Senate District 1	1	ME Senate District 1	
ME Senate District 2	1	ME Senate District 2	
ME Senate District 3	1	ME Senate District 3	
ME Senate District 4	1	ME Senate District 4	
ME Senate District 5	1	ME Senate District 5	
ME Senate District 6	1	ME Senate District 6	
ME Senate District 7	1	ME Senate District 7	
ME Senate District 8	1	ME Senate District 8	
ME Senate District 9	1	ME Senate District 9	
ME Senate District 10	1	ME Senate District 10	
ME Senate District 11	1	ME Senate District 11	
ME Senate District 12	1	ME Senate District 12	
ME Senate District 13	1	ME Senate District 13	
ME Senate District 14	1	ME Senate District 14	
ME Senate District 15	1	ME Senate District 15	
ME Senate District 16	1	ME Senate District 16	
ME Senate District 17	1	ME Senate District 17	
ME Senate District 18	1	ME Senate District 18	
ME Senate District 19	1	ME Senate District 19	
ME Senate District 20	1	ME Senate District 20	
ME Senate District 21	1	ME Senate District 21	
ME Senate District 22	1	ME Senate District 22	
ME Senate District 23	1	ME Senate District 23	
ME Senate District 24	1	ME Senate District 24	
ME Senate District 25	1	ME Senate District 25	
ME Senate District 26	1	ME Senate District 26	
ME Senate District 27	1	ME Senate District 27	
ME Senate District 28	1	ME Senate District 28	
ME Senate District 29	1	ME Senate District 29	
ME Senate District 30	1	ME Senate District 30	
ME Senate District 31	1	ME Senate District 31	
ME Senate District 32	1	ME Senate District 32	
ME Senate District 33	1	ME Senate District 33	
ME Senate District 34	1	ME Senate District 34	
ME Senate District 35	1	ME Senate District 35	
US House ME District 1	1	US House ME District 1	
US House ME District 2	1	US House ME District 2	
US President (ME)	1	US President (ME)	
US President (ME) (Republican Party)	1	US President (ME)
US President (ME) (Democratic Party)	1	US President (ME)
ME Governor	1	ME Governor
US Senate ME	1	US Senate ME	
ME Attorney General	1	ME Attorney General	
ME Lieutenant Governor	1	ME Lieutenant Governor	
ME Treasurer	1	ME Treasurer	
ME Secretary of State	1	ME Secretary of State	
