cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Al Gore	AL GORE
Candidate	Allen, Jay T.	Allen, Jay T.
Candidate	Amy J. Klobuchar	Amy J. Klobuchar
Candidate	Amy J. Klobuchar	Klobuchar, Amy J.
Candidate	Andrew Yang	Andrew Yang
Candidate	Andrew Yang	Yang, Andrew
Candidate	Barack Obama	BARACK OBAMA
Candidate	Bernard Sanders	Bernard Sanders
Candidate	Bernard Sanders	Sanders, Bernard
Candidate	Bre Kidman	Bre Kidman
Candidate	Bre Kidman	Kidman, Bre
Candidate	Cory A. Booker	Booker, Cory A.
Candidate	Cory A. Booker	Cory A. Booker
Candidate	Crafts, Dale John	Crafts, Dale John
Candidate	Deval Patrick	Deval Patrick
Candidate	Deval Patrick	Patrick, Deval
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald J. Trump	Donald J. Trump
Candidate	Donald J. Trump	Trump, Donald J.
Candidate	Elizabeth A. Sweet	Elizabeth A. Sweet
Candidate	Elizabeth A. Sweet	Sweet, Elizabeth A.
Candidate	Elizabeth A. Warren	Elizabeth A. Warren
Candidate	Elizabeth A. Warren	Warren, Elizabeth A.
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Golden, Jared F.	Golden, Jared F.
Candidate	Hillary Clinton	HILLARY CLINTON
Candidate	Howard Hawkins	Hawkins, Howard
Candidate	Jo Jorgensen	Jorgensen, Jo
Candidate	John Kerry	JOHN KERRY
Candidate	John McCain	JOHN MCCAIN
Candidate	Joseph R. Biden	Biden, Joseph R.
Candidate	Joseph R. Biden	Biden, Joseph R., Jr.
Candidate	Joseph R. Biden	Joseph R. Biden, Jr.
Candidate	Linn, Max Patrick	Linn, Max Patrick
Candidate	Marianne Williamson	Marianne Williamson
Candidate	Marianne Williamson	Williamson, Marianne
Candidate	Michael R. Bloomberg	Bloomberg, Michael R.
Candidate	Michael R. Bloomberg	Michael R. Bloomberg
Candidate	Mitt Romney	MITT ROMNEY
Candidate	Other	OTHER
Candidate	Unspecified Candidates	Others
Candidate	Peter Buttigieg	Buttigieg, Peter
Candidate	Peter Buttigieg	Peter Buttigieg
Candidate	Pingree, Chellie M.	Pingree, Chellie M.
Candidate	Ralph Nader	RALPH NADER
Candidate	Roque De La Fuente	De La Fuente, Roque
Candidate	Sara I. Gideon	Gideon, Sara I.
Candidate	Sara I. Gideon	Sara I. Gideon
Candidate	Savage, Lisa	Savage, Lisa
Candidate	Susan Margaret Collins	Collins, Susan Margaret
Candidate	Thomas F. Steyer	Steyer, Thomas F.
Candidate	Thomas F. Steyer	Thomas F. Steyer
Candidate	Tulsi Gabbard	Gabbard, Tulsi
Candidate	Tulsi Gabbard	Tulsi Gabbard
CandidateContest	ME Attorney General	ME Attorney General
CandidateContest	ME Governor	ME Governor
CandidateContest	ME House District 1	ME House District 1
CandidateContest	ME House District 10	ME House District 10
CandidateContest	ME House District 100	ME House District 100
CandidateContest	ME House District 101	ME House District 101
CandidateContest	ME House District 102	ME House District 102
CandidateContest	ME House District 103	ME House District 103
CandidateContest	ME House District 104	ME House District 104
CandidateContest	ME House District 105	ME House District 105
CandidateContest	ME House District 106	ME House District 106
CandidateContest	ME House District 107	ME House District 107
CandidateContest	ME House District 108	ME House District 108
CandidateContest	ME House District 109	ME House District 109
CandidateContest	ME House District 11	ME House District 11
CandidateContest	ME House District 110	ME House District 110
CandidateContest	ME House District 111	ME House District 111
CandidateContest	ME House District 112	ME House District 112
CandidateContest	ME House District 113	ME House District 113
CandidateContest	ME House District 114	ME House District 114
CandidateContest	ME House District 115	ME House District 115
CandidateContest	ME House District 116	ME House District 116
CandidateContest	ME House District 117	ME House District 117
CandidateContest	ME House District 118	ME House District 118
CandidateContest	ME House District 119	ME House District 119
CandidateContest	ME House District 12	ME House District 12
CandidateContest	ME House District 120	ME House District 120
CandidateContest	ME House District 121	ME House District 121
CandidateContest	ME House District 122	ME House District 122
CandidateContest	ME House District 123	ME House District 123
CandidateContest	ME House District 124	ME House District 124
CandidateContest	ME House District 125	ME House District 125
CandidateContest	ME House District 126	ME House District 126
CandidateContest	ME House District 127	ME House District 127
CandidateContest	ME House District 128	ME House District 128
CandidateContest	ME House District 129	ME House District 129
CandidateContest	ME House District 13	ME House District 13
CandidateContest	ME House District 130	ME House District 130
CandidateContest	ME House District 131	ME House District 131
CandidateContest	ME House District 132	ME House District 132
CandidateContest	ME House District 133	ME House District 133
CandidateContest	ME House District 134	ME House District 134
CandidateContest	ME House District 135	ME House District 135
CandidateContest	ME House District 136	ME House District 136
CandidateContest	ME House District 137	ME House District 137
CandidateContest	ME House District 138	ME House District 138
CandidateContest	ME House District 139	ME House District 139
CandidateContest	ME House District 14	ME House District 14
CandidateContest	ME House District 140	ME House District 140
CandidateContest	ME House District 141	ME House District 141
CandidateContest	ME House District 142	ME House District 142
CandidateContest	ME House District 143	ME House District 143
CandidateContest	ME House District 144	ME House District 144
CandidateContest	ME House District 145	ME House District 145
CandidateContest	ME House District 146	ME House District 146
CandidateContest	ME House District 147	ME House District 147
CandidateContest	ME House District 148	ME House District 148
CandidateContest	ME House District 149	ME House District 149
CandidateContest	ME House District 15	ME House District 15
CandidateContest	ME House District 150	ME House District 150
CandidateContest	ME House District 151	ME House District 151
CandidateContest	ME House District 16	ME House District 16
CandidateContest	ME House District 17	ME House District 17
CandidateContest	ME House District 18	ME House District 18
CandidateContest	ME House District 19	ME House District 19
CandidateContest	ME House District 2	ME House District 2
CandidateContest	ME House District 20	ME House District 20
CandidateContest	ME House District 21	ME House District 21
CandidateContest	ME House District 22	ME House District 22
CandidateContest	ME House District 23	ME House District 23
CandidateContest	ME House District 24	ME House District 24
CandidateContest	ME House District 25	ME House District 25
CandidateContest	ME House District 26	ME House District 26
CandidateContest	ME House District 27	ME House District 27
CandidateContest	ME House District 28	ME House District 28
CandidateContest	ME House District 29	ME House District 29
CandidateContest	ME House District 3	ME House District 3
CandidateContest	ME House District 30	ME House District 30
CandidateContest	ME House District 31	ME House District 31
CandidateContest	ME House District 32	ME House District 32
CandidateContest	ME House District 33	ME House District 33
CandidateContest	ME House District 34	ME House District 34
CandidateContest	ME House District 35	ME House District 35
CandidateContest	ME House District 36	ME House District 36
CandidateContest	ME House District 37	ME House District 37
CandidateContest	ME House District 38	ME House District 38
CandidateContest	ME House District 39	ME House District 39
CandidateContest	ME House District 4	ME House District 4
