Name	NumberElected	Office	PrimaryParty
AZ House District 1 (Maricopa County)	1	AZ House District 1	
AZ House District 2 (Maricopa County)	1	AZ House District 2	
AZ House District 3 (Maricopa County)	1	AZ House District 3	
AZ House District 4 (Maricopa County)	1	AZ House District 4	
AZ House District 5 (Maricopa County)	1	AZ House District 5	
AZ House District 6 (Maricopa County)	1	AZ House District 6	
AZ House District 7 (Maricopa County)	1	AZ House District 7	
AZ House District 8 (Maricopa County)	1	AZ House District 8	
AZ House District 9 (Maricopa County)	1	AZ House District 9	
AZ House District 10 (Maricopa County)	1	AZ House District 10	
AZ House District 11 (Maricopa County)	1	AZ House District 11	
AZ House District 12 (Maricopa County)	1	AZ House District 12	
AZ House District 13 (Maricopa County)	1	AZ House District 13	
AZ House District 14 (Maricopa County)	1	AZ House District 14	
AZ House District 15 (Maricopa County)	1	AZ House District 15	
AZ House District 16 (Maricopa County)	1	AZ House District 16	
AZ House District 17 (Maricopa County)	1	AZ House District 17	
AZ House District 18 (Maricopa County)	1	AZ House District 18	
AZ House District 19 (Maricopa County)	1	AZ House District 19	
AZ House District 20 (Maricopa County)	1	AZ House District 20	
AZ House District 21 (Maricopa County)	1	AZ House District 21	
AZ House District 22 (Maricopa County)	1	AZ House District 22	
AZ House District 23 (Maricopa County)	1	AZ House District 23	
AZ House District 24 (Maricopa County)	1	AZ House District 24	
AZ House District 25 (Maricopa County)	1	AZ House District 25	
AZ House District 26 (Maricopa County)	1	AZ House District 26	
AZ House District 27 (Maricopa County)	1	AZ House District 27	
AZ House District 28 (Maricopa County)	1	AZ House District 28	
AZ House District 29 (Maricopa County)	1	AZ House District 29	
AZ House District 30 (Maricopa County)	1	AZ House District 30	
AZ House District 31 (Maricopa County)	1	AZ House District 31	
AZ House District 32 (Maricopa County)	1	AZ House District 32	
AZ House District 33 (Maricopa County)	1	AZ House District 33	
AZ House District 34 (Maricopa County)	1	AZ House District 34	
AZ House District 35 (Maricopa County)	1	AZ House District 35	
AZ House District 36 (Maricopa County)	1	AZ House District 36	
AZ House District 37 (Maricopa County)	1	AZ House District 37	
AZ House District 38 (Maricopa County)	1	AZ House District 38	
AZ House District 39 (Maricopa County)	1	AZ House District 39	
AZ House District 40 (Maricopa County)	1	AZ House District 40	
AZ House District 41 (Maricopa County)	1	AZ House District 41	
AZ House District 42 (Maricopa County)	1	AZ House District 42	
AZ House District 43 (Maricopa County)	1	AZ House District 43	
AZ House District 44 (Maricopa County)	1	AZ House District 44	
AZ House District 45 (Maricopa County)	1	AZ House District 45	
AZ House District 46 (Maricopa County)	1	AZ House District 46	
AZ House District 47 (Maricopa County)	1	AZ House District 47	
AZ House District 48 (Maricopa County)	1	AZ House District 48	
AZ House District 49 (Maricopa County)	1	AZ House District 49	
AZ House District 50 (Maricopa County)	1	AZ House District 50	
AZ House District 51 (Maricopa County)	1	AZ House District 51	
AZ House District 52 (Maricopa County)	1	AZ House District 52	
AZ House District 53 (Maricopa County)	1	AZ House District 53	
AZ House District 54 (Maricopa County)	1	AZ House District 54	
AZ House District 55 (Maricopa County)	1	AZ House District 55	
AZ House District 56 (Maricopa County)	1	AZ House District 56	
AZ House District 57 (Maricopa County)	1	AZ House District 57	
AZ House District 58 (Maricopa County)	1	AZ House District 58	
AZ House District 59 (Maricopa County)	1	AZ House District 59	
AZ House District 60 (Maricopa County)	1	AZ House District 60	
AZ Senate District 1 (Maricopa County)	1	AZ Senate District 1	
AZ Senate District 2 (Maricopa County)	1	AZ Senate District 2	
AZ Senate District 3 (Maricopa County)	1	AZ Senate District 3	
AZ Senate District 4 (Maricopa County)	1	AZ Senate District 4	
AZ Senate District 5 (Maricopa County)	1	AZ Senate District 5	
AZ Senate District 6 (Maricopa County)	1	AZ Senate District 6	
