Name	ReportingUnitType
Maricopa County	county
Maricopa County;ACACIA	precinct
Maricopa County;ACOMA	precinct
Maricopa County;ACUNA	precinct
Maricopa County;ADOBE	precinct
Maricopa County;ADORA	precinct
Maricopa County;AGUA FRIA	precinct
Maricopa County;AGUILA	precinct
Maricopa County;AHWATUKEE	precinct
Maricopa County;AIRLINE CANAL	precinct
Maricopa County;ALAMO	precinct
Maricopa County;ALEXANDER	precinct
Maricopa County;ALHAMBRA	precinct
Maricopa County;ALPACA	precinct
Maricopa County;ALSUP	precinct
Maricopa County;ALTADENA	precinct
Maricopa County;ALVARADO	precinct
Maricopa County;AMBER	precinct
Maricopa County;ANDERSON	precinct
Maricopa County;ANDORA	precinct
Maricopa County;ANGELA	precinct
Maricopa County;ANNETTE	precinct
Maricopa County;APACHE	precinct
Maricopa County;APACHE PARK	precinct
Maricopa County;APACHE WELLS	precinct
Maricopa County;APPLEBY	precinct
Maricopa County;ARBOLEDA	precinct
Maricopa County;ARCADIA	precinct
Maricopa County;ARDMORE	precinct
Maricopa County;ARLINGTON	precinct
Maricopa County;ARROWHEAD RANCH	precinct
Maricopa County;ARTESIAN	precinct
Maricopa County;ASTER	precinct
Maricopa County;ATHENS	precinct
Maricopa County;AUGUSTA	precinct
Maricopa County;AUGUSTA RANCH	precinct
Maricopa County;AVIANO	precinct
Maricopa County;AVONDALE	precinct
Maricopa County;AZTEC SPRINGS	precinct
Maricopa County;BALBOA	precinct
Maricopa County;BALSZ	precinct
Maricopa County;BARNES	precinct
Maricopa County;BAYSHORE	precinct
Maricopa County;BEARDSLEY	precinct
Maricopa County;BERYL	precinct
Maricopa County;BETHANY	precinct
Maricopa County;BETHANY PARK	precinct
Maricopa County;BETHUNE	precinct
Maricopa County;BILTMORE	precinct
Maricopa County;BISCUIT FLAT	precinct
Maricopa County;BLACK CANYON	precinct
Maricopa County;BLACK GOLD	precinct
Maricopa County;BLACKHAWK	precinct
Maricopa County;BLOOM	precinct
Maricopa County;BLUE SKY	precinct
Maricopa County;BLUEBIRD	precinct
Maricopa County;BLUEFIELD	precinct
Maricopa County;BONANZA	precinct
Maricopa County;BONSALL PARK	precinct
Maricopa County;BREWER	precinct
Maricopa County;BRONCO	precinct
