cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	AZ House District 1 (Democratic Party) (Maricopa)	DEM State Rep Dist-1
CandidateContest	AZ House District 1 (Libertarian Party) (Maricopa)	LBT State Rep Dist-1
CandidateContest	AZ House District 1 (Republican Party) (Maricopa)	REP State Rep Dist-1
CandidateContest	AZ House District 2 (Democratic Party) (Maricopa)	DEM State Rep Dist-2
CandidateContest	AZ House District 2 (Libertarian Party) (Maricopa)	LBT State Rep Dist-2
CandidateContest	AZ House District 2 (Republican Party) (Maricopa)	REP State Rep Dist-2
CandidateContest	AZ House District 3 (Democratic Party) (Maricopa)	DEM State Rep Dist-3
CandidateContest	AZ House District 3 (Libertarian Party) (Maricopa)	LBT State Rep Dist-3
CandidateContest	AZ House District 3 (Republican Party) (Maricopa)	REP State Rep Dist-3
CandidateContest	AZ House District 4 (Democratic Party) (Maricopa)	DEM State Rep Dist-4
CandidateContest	AZ House District 4 (Libertarian Party) (Maricopa)	LBT State Rep Dist-4
CandidateContest	AZ House District 4 (Republican Party) (Maricopa)	REP State Rep Dist-4
CandidateContest	AZ House District 5 (Democratic Party) (Maricopa)	DEM State Rep Dist-5
CandidateContest	AZ House District 5 (Libertarian Party) (Maricopa)	LBT State Rep Dist-5
CandidateContest	AZ House District 5 (Republican Party) (Maricopa)	REP State Rep Dist-5
CandidateContest	AZ House District 6 (Democratic Party) (Maricopa)	DEM State Rep Dist-6
CandidateContest	AZ House District 6 (Libertarian Party) (Maricopa)	LBT State Rep Dist-6
CandidateContest	AZ House District 6 (Republican Party) (Maricopa)	REP State Rep Dist-6
CandidateContest	AZ House District 7 (Democratic Party) (Maricopa)	DEM State Rep Dist-7
CandidateContest	AZ House District 7 (Libertarian Party) (Maricopa)	LBT State Rep Dist-7
CandidateContest	AZ House District 7 (Republican Party) (Maricopa)	REP State Rep Dist-7
CandidateContest	AZ House District 8 (Democratic Party) (Maricopa)	DEM State Rep Dist-8
CandidateContest	AZ House District 8 (Libertarian Party) (Maricopa)	LBT State Rep Dist-8
CandidateContest	AZ House District 8 (Republican Party) (Maricopa)	REP State Rep Dist-8
CandidateContest	AZ House District 9 (Democratic Party) (Maricopa)	DEM State Rep Dist-9
CandidateContest	AZ House District 9 (Libertarian Party) (Maricopa)	LBT State Rep Dist-9
CandidateContest	AZ House District 9 (Republican Party) (Maricopa)	REP State Rep Dist-9
CandidateContest	AZ House District 10 (Democratic Party) (Maricopa)	DEM State Rep Dist-10
CandidateContest	AZ House District 10 (Libertarian Party) (Maricopa)	LBT State Rep Dist-10
CandidateContest	AZ House District 10 (Republican Party) (Maricopa)	REP State Rep Dist-10
CandidateContest	AZ House District 11 (Democratic Party) (Maricopa)	DEM State Rep Dist-11
CandidateContest	AZ House District 11 (Libertarian Party) (Maricopa)	LBT State Rep Dist-11
CandidateContest	AZ House District 11 (Republican Party) (Maricopa)	REP State Rep Dist-11
CandidateContest	AZ House District 12 (Democratic Party) (Maricopa)	DEM State Rep Dist-12
CandidateContest	AZ House District 12 (Libertarian Party) (Maricopa)	LBT State Rep Dist-12
CandidateContest	AZ House District 12 (Republican Party) (Maricopa)	REP State Rep Dist-12
CandidateContest	AZ House District 13 (Democratic Party) (Maricopa)	DEM State Rep Dist-13
CandidateContest	AZ House District 13 (Libertarian Party) (Maricopa)	LBT State Rep Dist-13
CandidateContest	AZ House District 13 (Republican Party) (Maricopa)	REP State Rep Dist-13
CandidateContest	AZ House District 14 (Democratic Party) (Maricopa)	DEM State Rep Dist-14
CandidateContest	AZ House District 14 (Libertarian Party) (Maricopa)	LBT State Rep Dist-14
CandidateContest	AZ House District 14 (Republican Party) (Maricopa)	REP State Rep Dist-14
CandidateContest	AZ House District 15 (Democratic Party) (Maricopa)	DEM State Rep Dist-15
CandidateContest	AZ House District 15 (Libertarian Party) (Maricopa)	LBT State Rep Dist-15
CandidateContest	AZ House District 15 (Republican Party) (Maricopa)	REP State Rep Dist-15
CandidateContest	AZ House District 16 (Democratic Party) (Maricopa)	DEM State Rep Dist-16
CandidateContest	AZ House District 16 (Libertarian Party) (Maricopa)	LBT State Rep Dist-16
CandidateContest	AZ House District 16 (Republican Party) (Maricopa)	REP State Rep Dist-16
CandidateContest	AZ House District 17 (Democratic Party) (Maricopa)	DEM State Rep Dist-17
CandidateContest	AZ House District 17 (Libertarian Party) (Maricopa)	LBT State Rep Dist-17
CandidateContest	AZ House District 17 (Republican Party) (Maricopa)	REP State Rep Dist-17
CandidateContest	AZ House District 18 (Democratic Party) (Maricopa)	DEM State Rep Dist-18
CandidateContest	AZ House District 18 (Libertarian Party) (Maricopa)	LBT State Rep Dist-18
CandidateContest	AZ House District 18 (Republican Party) (Maricopa)	REP State Rep Dist-18
CandidateContest	AZ House District 19 (Democratic Party) (Maricopa)	DEM State Rep Dist-19
CandidateContest	AZ House District 19 (Libertarian Party) (Maricopa)	LBT State Rep Dist-19
CandidateContest	AZ House District 19 (Republican Party) (Maricopa)	REP State Rep Dist-19
CandidateContest	AZ House District 20 (Democratic Party) (Maricopa)	DEM State Rep Dist-20
CandidateContest	AZ House District 20 (Libertarian Party) (Maricopa)	LBT State Rep Dist-20
CandidateContest	AZ House District 20 (Republican Party) (Maricopa)	REP State Rep Dist-20
CandidateContest	AZ House District 21 (Democratic Party) (Maricopa)	DEM State Rep Dist-21
CandidateContest	AZ House District 21 (Libertarian Party) (Maricopa)	LBT State Rep Dist-21
CandidateContest	AZ House District 21 (Republican Party) (Maricopa)	REP State Rep Dist-21
CandidateContest	AZ House District 22 (Democratic Party) (Maricopa)	DEM State Rep Dist-22
CandidateContest	AZ House District 22 (Libertarian Party) (Maricopa)	LBT State Rep Dist-22
CandidateContest	AZ House District 22 (Republican Party) (Maricopa)	REP State Rep Dist-22
CandidateContest	AZ House District 23 (Democratic Party) (Maricopa)	DEM State Rep Dist-23
CandidateContest	AZ House District 23 (Libertarian Party) (Maricopa)	LBT State Rep Dist-23
CandidateContest	AZ House District 23 (Republican Party) (Maricopa)	REP State Rep Dist-23
CandidateContest	AZ House District 24 (Democratic Party) (Maricopa)	DEM State Rep Dist-24
CandidateContest	AZ House District 24 (Libertarian Party) (Maricopa)	LBT State Rep Dist-24
CandidateContest	AZ House District 24 (Republican Party) (Maricopa)	REP State Rep Dist-24
CandidateContest	AZ House District 25 (Democratic Party) (Maricopa)	DEM State Rep Dist-25
CandidateContest	AZ House District 25 (Libertarian Party) (Maricopa)	LBT State Rep Dist-25
CandidateContest	AZ House District 25 (Republican Party) (Maricopa)	REP State Rep Dist-25
CandidateContest	AZ House District 26 (Democratic Party) (Maricopa)	DEM State Rep Dist-26
CandidateContest	AZ House District 26 (Libertarian Party) (Maricopa)	LBT State Rep Dist-26
CandidateContest	AZ House District 26 (Republican Party) (Maricopa)	REP State Rep Dist-26
CandidateContest	AZ House District 27 (Democratic Party) (Maricopa)	DEM State Rep Dist-27
CandidateContest	AZ House District 27 (Libertarian Party) (Maricopa)	LBT State Rep Dist-27
CandidateContest	AZ House District 27 (Republican Party) (Maricopa)	REP State Rep Dist-27
CandidateContest	AZ House District 28 (Democratic Party) (Maricopa)	DEM State Rep Dist-28
CandidateContest	AZ House District 28 (Libertarian Party) (Maricopa)	LBT State Rep Dist-28
CandidateContest	AZ House District 28 (Republican Party) (Maricopa)	REP State Rep Dist-28
CandidateContest	AZ House District 29 (Democratic Party) (Maricopa)	DEM State Rep Dist-29
CandidateContest	AZ House District 29 (Libertarian Party) (Maricopa)	LBT State Rep Dist-29
CandidateContest	AZ House District 29 (Republican Party) (Maricopa)	REP State Rep Dist-29
CandidateContest	AZ House District 30 (Democratic Party) (Maricopa)	DEM State Rep Dist-30
CandidateContest	AZ House District 30 (Libertarian Party) (Maricopa)	LBT State Rep Dist-30
CandidateContest	AZ House District 30 (Republican Party) (Maricopa)	REP State Rep Dist-30
CandidateContest	AZ House District 31 (Democratic Party) (Maricopa)	DEM State Rep Dist-31
CandidateContest	AZ House District 31 (Libertarian Party) (Maricopa)	LBT State Rep Dist-31
CandidateContest	AZ House District 31 (Republican Party) (Maricopa)	REP State Rep Dist-31
CandidateContest	AZ House District 32 (Democratic Party) (Maricopa)	DEM State Rep Dist-32
CandidateContest	AZ House District 32 (Libertarian Party) (Maricopa)	LBT State Rep Dist-32
CandidateContest	AZ House District 32 (Republican Party) (Maricopa)	REP State Rep Dist-32
CandidateContest	AZ House District 33 (Democratic Party) (Maricopa)	DEM State Rep Dist-33
CandidateContest	AZ House District 33 (Libertarian Party) (Maricopa)	LBT State Rep Dist-33
CandidateContest	AZ House District 33 (Republican Party) (Maricopa)	REP State Rep Dist-33
CandidateContest	AZ House District 34 (Democratic Party) (Maricopa)	DEM State Rep Dist-34
CandidateContest	AZ House District 34 (Libertarian Party) (Maricopa)	LBT State Rep Dist-34
CandidateContest	AZ House District 34 (Republican Party) (Maricopa)	REP State Rep Dist-34
CandidateContest	AZ House District 35 (Democratic Party) (Maricopa)	DEM State Rep Dist-35
CandidateContest	AZ House District 35 (Libertarian Party) (Maricopa)	LBT State Rep Dist-35
CandidateContest	AZ House District 35 (Republican Party) (Maricopa)	REP State Rep Dist-35
CandidateContest	AZ House District 36 (Democratic Party) (Maricopa)	DEM State Rep Dist-36
CandidateContest	AZ House District 36 (Libertarian Party) (Maricopa)	LBT State Rep Dist-36
CandidateContest	AZ House District 36 (Republican Party) (Maricopa)	REP State Rep Dist-36
CandidateContest	AZ House District 37 (Democratic Party) (Maricopa)	DEM State Rep Dist-37
CandidateContest	AZ House District 37 (Libertarian Party) (Maricopa)	LBT State Rep Dist-37
CandidateContest	AZ House District 37 (Republican Party) (Maricopa)	REP State Rep Dist-37
CandidateContest	AZ House District 38 (Democratic Party) (Maricopa)	DEM State Rep Dist-38
CandidateContest	AZ House District 38 (Libertarian Party) (Maricopa)	LBT State Rep Dist-38
CandidateContest	AZ House District 38 (Republican Party) (Maricopa)	REP State Rep Dist-38
CandidateContest	AZ House District 39 (Democratic Party) (Maricopa)	DEM State Rep Dist-39
CandidateContest	AZ House District 39 (Libertarian Party) (Maricopa)	LBT State Rep Dist-39
CandidateContest	AZ House District 39 (Republican Party) (Maricopa)	REP State Rep Dist-39
CandidateContest	AZ House District 40 (Democratic Party) (Maricopa)	DEM State Rep Dist-40
CandidateContest	AZ House District 40 (Libertarian Party) (Maricopa)	LBT State Rep Dist-40
CandidateContest	AZ House District 40 (Republican Party) (Maricopa)	REP State Rep Dist-40
CandidateContest	AZ House District 41 (Democratic Party) (Maricopa)	DEM State Rep Dist-41
