Name	NumberElected	Office	PrimaryParty
MD House District 1	1	MD House District 1	
MD House District 2	1	MD House District 2	
MD House District 3	1	MD House District 3	
MD House District 4	1	MD House District 4	
MD House District 5	1	MD House District 5	
MD House District 6	1	MD House District 6	
MD House District 7	1	MD House District 7	
MD House District 8	1	MD House District 8	
MD House District 9	1	MD House District 9	
MD House District 10	1	MD House District 10	
MD House District 11	1	MD House District 11	
MD House District 12	1	MD House District 12	
MD House District 13	1	MD House District 13	
MD House District 14	1	MD House District 14	
MD House District 15	1	MD House District 15	
MD House District 16	1	MD House District 16	
MD House District 17	1	MD House District 17	
MD House District 18	1	MD House District 18	
MD House District 19	1	MD House District 19	
MD House District 20	1	MD House District 20	
MD House District 21	1	MD House District 21	
MD House District 22	1	MD House District 22	
MD House District 23	1	MD House District 23	
MD House District 24	1	MD House District 24	
MD House District 25	1	MD House District 25	
MD House District 26	1	MD House District 26	
MD House District 27	1	MD House District 27	
MD House District 28	1	MD House District 28	
MD House District 29	1	MD House District 29	
MD House District 30	1	MD House District 30	
MD House District 31	1	MD House District 31	
MD House District 32	1	MD House District 32	
MD House District 33	1	MD House District 33	
MD House District 34	1	MD House District 34	
MD House District 35	1	MD House District 35	
MD House District 36	1	MD House District 36	
MD House District 37	1	MD House District 37	
MD House District 38	1	MD House District 38	
MD House District 39	1	MD House District 39	
MD House District 40	1	MD House District 40	
MD House District 41	1	MD House District 41	
MD House District 42	1	MD House District 42	
MD House District 43	1	MD House District 43	
MD House District 44	1	MD House District 44	
MD House District 45	1	MD House District 45	
MD House District 46	1	MD House District 46	
MD House District 47	1	MD House District 47	
MD House District 48	1	MD House District 48	
MD House District 49	1	MD House District 49	
MD House District 50	1	MD House District 50	
MD House District 51	1	MD House District 51	
MD House District 52	1	MD House District 52	
MD House District 53	1	MD House District 53	
MD House District 54	1	MD House District 54	
MD House District 55	1	MD House District 55	
MD House District 56	1	MD House District 56	
MD House District 57	1	MD House District 57	
MD House District 58	1	MD House District 58	
MD House District 59	1	MD House District 59	
MD House District 60	1	MD House District 60	
MD House District 61	1	MD House District 61	
MD House District 62	1	MD House District 62	
MD House District 63	1	MD House District 63	
MD House District 64	1	MD House District 64	
MD House District 65	1	MD House District 65	
MD House District 66	1	MD House District 66	
MD House District 67	1	MD House District 67	
MD House District 68	1	MD House District 68	
MD House District 69	1	MD House District 69	
MD House District 70	1	MD House District 70	
MD House District 71	1	MD House District 71	
MD House District 72	1	MD House District 72	
MD House District 73	1	MD House District 73	
MD House District 74	1	MD House District 74	
MD House District 75	1	MD House District 75	
MD House District 76	1	MD House District 76	
MD House District 77	1	MD House District 77	
MD House District 78	1	MD House District 78	
MD House District 79	1	MD House District 79	
MD House District 80	1	MD House District 80	
MD House District 81	1	MD House District 81	
MD House District 82	1	MD House District 82	
MD House District 83	1	MD House District 83	
MD House District 84	1	MD House District 84	
MD House District 85	1	MD House District 85	
