Name	ReportingUnitType
Maryland;MD House District 1	state-house
Maryland;MD House District 2	state-house
Maryland;MD House District 3	state-house
Maryland;MD House District 4	state-house
Maryland;MD House District 5	state-house
Maryland;MD House District 6	state-house
Maryland;MD House District 7	state-house
Maryland;MD House District 8	state-house
Maryland;MD House District 9	state-house
Maryland;MD House District 10	state-house
Maryland;MD House District 11	state-house
Maryland;MD House District 12	state-house
Maryland;MD House District 13	state-house
Maryland;MD House District 14	state-house
Maryland;MD House District 15	state-house
Maryland;MD House District 16	state-house
Maryland;MD House District 17	state-house
Maryland;MD House District 18	state-house
Maryland;MD House District 19	state-house
Maryland;MD House District 20	state-house
Maryland;MD House District 21	state-house
Maryland;MD House District 22	state-house
Maryland;MD House District 23	state-house
Maryland;MD House District 24	state-house
Maryland;MD House District 25	state-house
Maryland;MD House District 26	state-house
Maryland;MD House District 27	state-house
Maryland;MD House District 28	state-house
Maryland;MD House District 29	state-house
Maryland;MD House District 30	state-house
Maryland;MD House District 31	state-house
Maryland;MD House District 32	state-house
Maryland;MD House District 33	state-house
Maryland;MD House District 34	state-house
Maryland;MD House District 35	state-house
Maryland;MD House District 36	state-house
Maryland;MD House District 37	state-house
Maryland;MD House District 38	state-house
Maryland;MD House District 39	state-house
Maryland;MD House District 40	state-house
Maryland;MD House District 41	state-house
Maryland;MD House District 42	state-house
Maryland;MD House District 43	state-house
Maryland;MD House District 44	state-house
Maryland;MD House District 45	state-house
Maryland;MD House District 46	state-house
Maryland;MD House District 47	state-house
Maryland;MD House District 48	state-house
Maryland;MD House District 49	state-house
Maryland;MD House District 50	state-house
Maryland;MD House District 51	state-house
Maryland;MD House District 52	state-house
Maryland;MD House District 53	state-house
Maryland;MD House District 54	state-house
Maryland;MD House District 55	state-house
Maryland;MD House District 56	state-house
Maryland;MD House District 57	state-house
Maryland;MD House District 58	state-house
Maryland;MD House District 59	state-house
Maryland;MD House District 60	state-house
Maryland;MD House District 61	state-house
Maryland;MD House District 62	state-house
Maryland;MD House District 63	state-house
Maryland;MD House District 64	state-house
Maryland;MD House District 65	state-house
Maryland;MD House District 66	state-house
Maryland;MD House District 67	state-house
Maryland;MD House District 68	state-house
