cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	MD House District 1	MD House District 1
CandidateContest	MD House District 2	MD House District 2
CandidateContest	MD House District 3	MD House District 3
CandidateContest	MD House District 4	MD House District 4
CandidateContest	MD House District 5	MD House District 5
CandidateContest	MD House District 6	MD House District 6
CandidateContest	MD House District 7	MD House District 7
CandidateContest	MD House District 8	MD House District 8
CandidateContest	MD House District 9	MD House District 9
CandidateContest	MD House District 10	MD House District 10
CandidateContest	MD House District 11	MD House District 11
CandidateContest	MD House District 12	MD House District 12
CandidateContest	MD House District 13	MD House District 13
CandidateContest	MD House District 14	MD House District 14
CandidateContest	MD House District 15	MD House District 15
CandidateContest	MD House District 16	MD House District 16
CandidateContest	MD House District 17	MD House District 17
CandidateContest	MD House District 18	MD House District 18
CandidateContest	MD House District 19	MD House District 19
CandidateContest	MD House District 20	MD House District 20
CandidateContest	MD House District 21	MD House District 21
CandidateContest	MD House District 22	MD House District 22
CandidateContest	MD House District 23	MD House District 23
CandidateContest	MD House District 24	MD House District 24
CandidateContest	MD House District 25	MD House District 25
CandidateContest	MD House District 26	MD House District 26
CandidateContest	MD House District 27	MD House District 27
CandidateContest	MD House District 28	MD House District 28
CandidateContest	MD House District 29	MD House District 29
CandidateContest	MD House District 30	MD House District 30
CandidateContest	MD House District 31	MD House District 31
CandidateContest	MD House District 32	MD House District 32
CandidateContest	MD House District 33	MD House District 33
CandidateContest	MD House District 34	MD House District 34
CandidateContest	MD House District 35	MD House District 35
CandidateContest	MD House District 36	MD House District 36
CandidateContest	MD House District 37	MD House District 37
CandidateContest	MD House District 38	MD House District 38
CandidateContest	MD House District 39	MD House District 39
CandidateContest	MD House District 40	MD House District 40
CandidateContest	MD House District 41	MD House District 41
CandidateContest	MD House District 42	MD House District 42
CandidateContest	MD House District 43	MD House District 43
CandidateContest	MD House District 44	MD House District 44
CandidateContest	MD House District 45	MD House District 45
CandidateContest	MD House District 46	MD House District 46
CandidateContest	MD House District 47	MD House District 47
CandidateContest	MD House District 48	MD House District 48
CandidateContest	MD House District 49	MD House District 49
CandidateContest	MD House District 50	MD House District 50
CandidateContest	MD House District 51	MD House District 51
CandidateContest	MD House District 52	MD House District 52
CandidateContest	MD House District 53	MD House District 53
CandidateContest	MD House District 54	MD House District 54
CandidateContest	MD House District 55	MD House District 55
CandidateContest	MD House District 56	MD House District 56
CandidateContest	MD House District 57	MD House District 57
CandidateContest	MD House District 58	MD House District 58
CandidateContest	MD House District 59	MD House District 59
CandidateContest	MD House District 60	MD House District 60
CandidateContest	MD House District 61	MD House District 61
CandidateContest	MD House District 62	MD House District 62
CandidateContest	MD House District 63	MD House District 63
CandidateContest	MD House District 64	MD House District 64
CandidateContest	MD House District 65	MD House District 65
CandidateContest	MD House District 66	MD House District 66
CandidateContest	MD House District 67	MD House District 67
CandidateContest	MD House District 68	MD House District 68
CandidateContest	MD House District 69	MD House District 69
CandidateContest	MD House District 70	MD House District 70
CandidateContest	MD House District 71	MD House District 71
CandidateContest	MD House District 72	MD House District 72
CandidateContest	MD House District 73	MD House District 73
CandidateContest	MD House District 74	MD House District 74
CandidateContest	MD House District 75	MD House District 75
CandidateContest	MD House District 76	MD House District 76
CandidateContest	MD House District 77	MD House District 77
CandidateContest	MD House District 78	MD House District 78
CandidateContest	MD House District 79	MD House District 79
CandidateContest	MD House District 80	MD House District 80
CandidateContest	MD House District 81	MD House District 81
CandidateContest	MD House District 82	MD House District 82
CandidateContest	MD House District 83	MD House District 83
CandidateContest	MD House District 84	MD House District 84
CandidateContest	MD House District 85	MD House District 85
CandidateContest	MD House District 86	MD House District 86
CandidateContest	MD House District 87	MD House District 87
CandidateContest	MD House District 88	MD House District 88
CandidateContest	MD House District 89	MD House District 89
CandidateContest	MD House District 90	MD House District 90
CandidateContest	MD House District 91	MD House District 91
CandidateContest	MD House District 92	MD House District 92
CandidateContest	MD House District 93	MD House District 93
CandidateContest	MD House District 94	MD House District 94
CandidateContest	MD House District 95	MD House District 95
CandidateContest	MD House District 96	MD House District 96
CandidateContest	MD House District 97	MD House District 97
CandidateContest	MD House District 98	MD House District 98
CandidateContest	MD House District 99	MD House District 99
CandidateContest	MD House District 100	MD House District 100
CandidateContest	MD House District 101	MD House District 101
CandidateContest	MD House District 102	MD House District 102
CandidateContest	MD House District 103	MD House District 103
CandidateContest	MD House District 104	MD House District 104
CandidateContest	MD House District 105	MD House District 105
CandidateContest	MD House District 106	MD House District 106
CandidateContest	MD House District 107	MD House District 107
CandidateContest	MD House District 108	MD House District 108
CandidateContest	MD House District 109	MD House District 109
CandidateContest	MD House District 110	MD House District 110
CandidateContest	MD House District 111	MD House District 111
CandidateContest	MD House District 112	MD House District 112
CandidateContest	MD House District 113	MD House District 113
CandidateContest	MD House District 114	MD House District 114
CandidateContest	MD House District 115	MD House District 115
CandidateContest	MD House District 116	MD House District 116
CandidateContest	MD House District 117	MD House District 117
CandidateContest	MD House District 118	MD House District 118
CandidateContest	MD House District 119	MD House District 119
CandidateContest	MD House District 120	MD House District 120
CandidateContest	MD House District 121	MD House District 121
CandidateContest	MD House District 122	MD House District 122
CandidateContest	MD House District 123	MD House District 123
CandidateContest	MD House District 124	MD House District 124
CandidateContest	MD House District 125	MD House District 125
CandidateContest	MD House District 126	MD House District 126
CandidateContest	MD House District 127	MD House District 127
CandidateContest	MD House District 128	MD House District 128
CandidateContest	MD House District 129	MD House District 129
CandidateContest	MD House District 130	MD House District 130
CandidateContest	MD House District 131	MD House District 131
CandidateContest	MD House District 132	MD House District 132
CandidateContest	MD House District 133	MD House District 133
CandidateContest	MD House District 134	MD House District 134
CandidateContest	MD House District 135	MD House District 135
CandidateContest	MD House District 136	MD House District 136
CandidateContest	MD House District 137	MD House District 137
CandidateContest	MD House District 138	MD House District 138
CandidateContest	MD House District 139	MD House District 139
CandidateContest	MD House District 140	MD House District 140
CandidateContest	MD House District 141	MD House District 141
CandidateContest	MD Senate District 1	MD Senate District 1
CandidateContest	MD Senate District 2	MD Senate District 2
CandidateContest	MD Senate District 3	MD Senate District 3
CandidateContest	MD Senate District 4	MD Senate District 4
CandidateContest	MD Senate District 5	MD Senate District 5
CandidateContest	MD Senate District 6	MD Senate District 6
CandidateContest	MD Senate District 7	MD Senate District 7
CandidateContest	MD Senate District 8	MD Senate District 8
CandidateContest	MD Senate District 9	MD Senate District 9
CandidateContest	MD Senate District 10	MD Senate District 10
CandidateContest	MD Senate District 11	MD Senate District 11
CandidateContest	MD Senate District 12	MD Senate District 12
CandidateContest	MD Senate District 13	MD Senate District 13
CandidateContest	MD Senate District 14	MD Senate District 14
CandidateContest	MD Senate District 15	MD Senate District 15
CandidateContest	MD Senate District 16	MD Senate District 16
CandidateContest	MD Senate District 17	MD Senate District 17
CandidateContest	MD Senate District 18	MD Senate District 18
CandidateContest	MD Senate District 19	MD Senate District 19
CandidateContest	MD Senate District 20	MD Senate District 20
CandidateContest	MD Senate District 21	MD Senate District 21
CandidateContest	MD Senate District 22	MD Senate District 22
CandidateContest	MD Senate District 23	MD Senate District 23
CandidateContest	MD Senate District 24	MD Senate District 24
CandidateContest	MD Senate District 25	MD Senate District 25
CandidateContest	MD Senate District 26	MD Senate District 26
CandidateContest	MD Senate District 27	MD Senate District 27
CandidateContest	MD Senate District 28	MD Senate District 28
CandidateContest	MD Senate District 29	MD Senate District 29
CandidateContest	MD Senate District 30	MD Senate District 30
CandidateContest	MD Senate District 31	MD Senate District 31
CandidateContest	MD Senate District 32	MD Senate District 32
CandidateContest	MD Senate District 33	MD Senate District 33
CandidateContest	MD Senate District 34	MD Senate District 34
CandidateContest	MD Senate District 35	MD Senate District 35
CandidateContest	MD Senate District 36	MD Senate District 36
CandidateContest	MD Senate District 37	MD Senate District 37
CandidateContest	MD Senate District 38	MD Senate District 38
CandidateContest	MD Senate District 39	MD Senate District 39
CandidateContest	MD Senate District 40	MD Senate District 40
CandidateContest	MD Senate District 41	MD Senate District 41
CandidateContest	MD Senate District 42	MD Senate District 42
CandidateContest	MD Senate District 43	MD Senate District 43
CandidateContest	MD Senate District 44	MD Senate District 44
CandidateContest	MD Senate District 45	MD Senate District 45
CandidateContest	MD Senate District 46	MD Senate District 46
CandidateContest	MD Senate District 47	MD Senate District 47
CandidateContest	US House MD District 1	Representative in Congress District 1
CandidateContest	US House MD District 1	Representative in Congress District 01
CandidateContest	US House MD District 2	Representative in Congress District 2
CandidateContest	US House MD District 2	Representative in Congress District 02
CandidateContest	US House MD District 3	Representative in Congress District 3
CandidateContest	US House MD District 3	Representative in Congress District 03
CandidateContest	US House MD District 4	Representative in Congress District 4
CandidateContest	US House MD District 4	Representative in Congress District 04
CandidateContest	US House MD District 5	Representative in Congress District 5
CandidateContest	US House MD District 5	Representative in Congress District 05
CandidateContest	US House MD District 6	Representative in Congress District 6
CandidateContest	US House MD District 6	Representative in Congress District 06
CandidateContest	US House MD District 7	Representative in Congress District 7
CandidateContest	US House MD District 7	Representative in Congress District 07
CandidateContest	US House MD District 8	Representative in Congress District 8
CandidateContest	US House MD District 8	Representative in Congress District 08
CandidateContest	US President (MD)	President - Vice Pres District
CandidateContest	MD Governor	MD Governor
CandidateContest	US Senate MD	US Senate MD
CandidateContest	MD Attorney General	MD Attorney General
CandidateContest	MD Lieutenant Governor	MD Lieutenant Governor
CandidateContest	MD Treasurer	MD Treasurer
CandidateContest	MD Secretary of State	MD Secretary of State
Election	2020 General	2020 General
Election	2020 Primary	2020 Primary
Election	2018 General	2018 General
Election	2016 General	2016 General
Party	Democratic Party	DEM
Party	Republican Party	REP
Party	Green Party	GRN
Party	Libertarian Party	LIB
Party	UNF	UNF
Party	BOT	BOT
Party	OTH	OTH
Party	BAR	BAR
ReportingUnit	Maryland	Maryland
ReportingUnit	Maryland	00
ReportingUnit	Maryland;Allegany County	01
ReportingUnit	Maryland;Anne Arundel County	02
ReportingUnit	Maryland;Baltimore City	03
ReportingUnit	Maryland;Baltimore County	04
ReportingUnit	Maryland;Calvert County	05
ReportingUnit	Maryland;Caroline County	06
ReportingUnit	Maryland;Carroll County	07
ReportingUnit	Maryland;Cecil County	08
ReportingUnit	Maryland;Charles County	09
ReportingUnit	Maryland;Dorchester County	10
ReportingUnit	Maryland;Frederick County	11
ReportingUnit	Maryland;Garrett County	12
ReportingUnit	Maryland;Harford County	13
ReportingUnit	Maryland;Howard County	14
ReportingUnit	Maryland;Kent County	15
ReportingUnit	Maryland;Montgomery County	16
ReportingUnit	Maryland;Prince George's County	17
ReportingUnit	Maryland;Queen Anne's County	18
ReportingUnit	Maryland;St. Mary's County	19
ReportingUnit	Maryland;Somerset County	20
ReportingUnit	Maryland;Talbot County	21
ReportingUnit	Maryland;Washington County	22
ReportingUnit	Maryland;Wicomico County	23
ReportingUnit	Maryland;Worcester County	24
CountItemType	early	Early Voting Votes
CountItemType	absentee-mail	By Mail Votes
CountItemType	provisional	Prov. Votes
CountItemType	absentee-mail-2	By Mail 2 Votes
CountItemType	total	Total Votes
CountItemType	election-day	Election Day Votes
Candidate	Steny H. Hoyer	Steny H. Hoyer
Candidate	Ray Bly	Ray Bly
Candidate	Other Write-Ins	Other Write-Ins
Candidate	Neil C. Parrott	Neil C. Parrott
Candidate	Mia Mason	Mia Mason
Candidate	Lih Young	Lih Young
Candidate	Kweisi Mfume	Kweisi Mfume
Candidate	Kimberly Klacik	Kimberly Klacik
Candidate	Johnny Ray Salling	Johnny Ray Salling
Candidate	John Sarbanes	John Sarbanes
Candidate	Jason Herrick	Jason Herrick
Candidate	Jamie Raskin	Jamie Raskin
Candidate	Gregory Thomas Coll	Gregory Thomas Coll
Candidate	George Gluck	George Gluck
Candidate	George E. McDermott	George E. McDermott
Candidate	David J. Trone	David J. Trone
Candidate	Chris Palombi	Chris Palombi
Candidate	Charles U. Smith	Charles U. Smith
Candidate	Charles Anthony	Charles Anthony
Candidate	C.A. Dutch Ruppersberger	C.A. Dutch Ruppersberger
Candidate	Anthony G. Brown	Anthony G. Brown
Candidate	Andy Harris	Andy Harris
Candidate	Tom Hoefling	Tom Hoefling
Candidate	Todd Cella	Todd Cella
Candidate	Susan B. Lochocki	Susan B. Lochocki
Candidate	Shawn Howard	Shawn Howard
Candidate	Sharon Wallace	Sharon Wallace
Candidate	Ryan Ehrenreich	Ryan Ehrenreich
Candidate	Roque Rocky De La Fuente	Roque Rocky De La Fuente
Candidate	Randall Foltyniewkz	Randall Foltyniewkz
Candidate	President Boddie	President Boddie
Candidate	Phil Collins	Phil Collins
Candidate	Peter W. Sherrill	Peter W. Sherrill
Candidate	Mary Ruth Caro Simmons	Mary Ruth Caro Simmons
Candidate	Mark Charles	Mark Charles
Candidate	Kasey Wells	Kasey Wells
Candidate	Kanye West	Kanye West
Candidate	Johnson Lee	Johnson Lee
Candidate	Joe Biden	Joe Biden
Candidate	Jo Jorgensen	Jo Jorgensen
Candidate	Jerome M. Segal	Jerome M. Segal
Candidate	Jade Simmons	Jade Simmons
Candidate	Howie Gresham Hawkins	Howie Gresham Hawkins
Candidate	Gloria La Riva	Gloria La Riva
Candidate	Edward Shlikas	Edward Shlikas
