Name	ElectionDistrict
MA House District 1	Massachusetts;MA House District 1
MA House District 2	Massachusetts;MA House District 2
MA House District 3	Massachusetts;MA House District 3
MA House District 4	Massachusetts;MA House District 4
MA House District 5	Massachusetts;MA House District 5
MA House District 6	Massachusetts;MA House District 6
MA House District 7	Massachusetts;MA House District 7
MA House District 8	Massachusetts;MA House District 8
MA House District 9	Massachusetts;MA House District 9
MA House District 10	Massachusetts;MA House District 10
MA House District 11	Massachusetts;MA House District 11
MA House District 12	Massachusetts;MA House District 12
MA House District 13	Massachusetts;MA House District 13
MA House District 14	Massachusetts;MA House District 14
MA House District 15	Massachusetts;MA House District 15
MA House District 16	Massachusetts;MA House District 16
MA House District 17	Massachusetts;MA House District 17
MA House District 18	Massachusetts;MA House District 18
MA House District 19	Massachusetts;MA House District 19
MA House District 20	Massachusetts;MA House District 20
MA House District 21	Massachusetts;MA House District 21
MA House District 22	Massachusetts;MA House District 22
MA House District 23	Massachusetts;MA House District 23
MA House District 24	Massachusetts;MA House District 24
MA House District 25	Massachusetts;MA House District 25
MA House District 26	Massachusetts;MA House District 26
MA House District 27	Massachusetts;MA House District 27
MA House District 28	Massachusetts;MA House District 28
MA House District 29	Massachusetts;MA House District 29
MA House District 30	Massachusetts;MA House District 30
MA House District 31	Massachusetts;MA House District 31
MA House District 32	Massachusetts;MA House District 32
MA House District 33	Massachusetts;MA House District 33
MA House District 34	Massachusetts;MA House District 34
MA House District 35	Massachusetts;MA House District 35
MA House District 36	Massachusetts;MA House District 36
MA House District 37	Massachusetts;MA House District 37
MA House District 38	Massachusetts;MA House District 38
MA House District 39	Massachusetts;MA House District 39
MA House District 40	Massachusetts;MA House District 40
MA House District 41	Massachusetts;MA House District 41
MA House District 42	Massachusetts;MA House District 42
MA House District 43	Massachusetts;MA House District 43
MA House District 44	Massachusetts;MA House District 44
MA House District 45	Massachusetts;MA House District 45
MA House District 46	Massachusetts;MA House District 46
MA House District 47	Massachusetts;MA House District 47
MA House District 48	Massachusetts;MA House District 48
MA House District 49	Massachusetts;MA House District 49
MA House District 50	Massachusetts;MA House District 50
MA House District 51	Massachusetts;MA House District 51
MA House District 52	Massachusetts;MA House District 52
MA House District 53	Massachusetts;MA House District 53
MA House District 54	Massachusetts;MA House District 54
MA House District 55	Massachusetts;MA House District 55
MA House District 56	Massachusetts;MA House District 56
MA House District 57	Massachusetts;MA House District 57
MA House District 58	Massachusetts;MA House District 58
MA House District 59	Massachusetts;MA House District 59
MA House District 60	Massachusetts;MA House District 60
