cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	MA House District 1	MA House District 1
CandidateContest	MA House District 2	MA House District 2
CandidateContest	MA House District 3	MA House District 3
CandidateContest	MA House District 4	MA House District 4
CandidateContest	MA House District 5	MA House District 5
CandidateContest	MA House District 6	MA House District 6
CandidateContest	MA House District 7	MA House District 7
CandidateContest	MA House District 8	MA House District 8
CandidateContest	MA House District 9	MA House District 9
CandidateContest	MA House District 10	MA House District 10
CandidateContest	MA House District 11	MA House District 11
CandidateContest	MA House District 12	MA House District 12
CandidateContest	MA House District 13	MA House District 13
CandidateContest	MA House District 14	MA House District 14
CandidateContest	MA House District 15	MA House District 15
CandidateContest	MA House District 16	MA House District 16
CandidateContest	MA House District 17	MA House District 17
CandidateContest	MA House District 18	MA House District 18
CandidateContest	MA House District 19	MA House District 19
CandidateContest	MA House District 20	MA House District 20
CandidateContest	MA House District 21	MA House District 21
CandidateContest	MA House District 22	MA House District 22
CandidateContest	MA House District 23	MA House District 23
CandidateContest	MA House District 24	MA House District 24
CandidateContest	MA House District 25	MA House District 25
CandidateContest	MA House District 26	MA House District 26
CandidateContest	MA House District 27	MA House District 27
CandidateContest	MA House District 28	MA House District 28
CandidateContest	MA House District 29	MA House District 29
CandidateContest	MA House District 30	MA House District 30
CandidateContest	MA House District 31	MA House District 31
CandidateContest	MA House District 32	MA House District 32
CandidateContest	MA House District 33	MA House District 33
CandidateContest	MA House District 34	MA House District 34
CandidateContest	MA House District 35	MA House District 35
CandidateContest	MA House District 36	MA House District 36
CandidateContest	MA House District 37	MA House District 37
CandidateContest	MA House District 38	MA House District 38
CandidateContest	MA House District 39	MA House District 39
CandidateContest	MA House District 40	MA House District 40
CandidateContest	MA House District 41	MA House District 41
CandidateContest	MA House District 42	MA House District 42
CandidateContest	MA House District 43	MA House District 43
CandidateContest	MA House District 44	MA House District 44
CandidateContest	MA House District 45	MA House District 45
CandidateContest	MA House District 46	MA House District 46
CandidateContest	MA House District 47	MA House District 47
CandidateContest	MA House District 48	MA House District 48
CandidateContest	MA House District 49	MA House District 49
CandidateContest	MA House District 50	MA House District 50
CandidateContest	MA House District 51	MA House District 51
CandidateContest	MA House District 52	MA House District 52
CandidateContest	MA House District 53	MA House District 53
CandidateContest	MA House District 54	MA House District 54
CandidateContest	MA House District 55	MA House District 55
CandidateContest	MA House District 56	MA House District 56
CandidateContest	MA House District 57	MA House District 57
CandidateContest	MA House District 58	MA House District 58
CandidateContest	MA House District 59	MA House District 59
CandidateContest	MA House District 60	MA House District 60
CandidateContest	MA House District 61	MA House District 61
CandidateContest	MA House District 62	MA House District 62
CandidateContest	MA House District 63	MA House District 63
CandidateContest	MA House District 64	MA House District 64
CandidateContest	MA House District 65	MA House District 65
CandidateContest	MA House District 66	MA House District 66
CandidateContest	MA House District 67	MA House District 67
CandidateContest	MA House District 68	MA House District 68
CandidateContest	MA House District 69	MA House District 69
CandidateContest	MA House District 70	MA House District 70
CandidateContest	MA House District 71	MA House District 71
CandidateContest	MA House District 72	MA House District 72
CandidateContest	MA House District 73	MA House District 73
CandidateContest	MA House District 74	MA House District 74
CandidateContest	MA House District 75	MA House District 75
CandidateContest	MA House District 76	MA House District 76
CandidateContest	MA House District 77	MA House District 77
CandidateContest	MA House District 78	MA House District 78
CandidateContest	MA House District 79	MA House District 79
CandidateContest	MA House District 80	MA House District 80
CandidateContest	MA House District 81	MA House District 81
CandidateContest	MA House District 82	MA House District 82
CandidateContest	MA House District 83	MA House District 83
CandidateContest	MA House District 84	MA House District 84
CandidateContest	MA House District 85	MA House District 85
CandidateContest	MA House District 86	MA House District 86
CandidateContest	MA House District 87	MA House District 87
CandidateContest	MA House District 88	MA House District 88
CandidateContest	MA House District 89	MA House District 89
CandidateContest	MA House District 90	MA House District 90
CandidateContest	MA House District 91	MA House District 91
CandidateContest	MA House District 92	MA House District 92
CandidateContest	MA House District 93	MA House District 93
CandidateContest	MA House District 94	MA House District 94
CandidateContest	MA House District 95	MA House District 95
CandidateContest	MA House District 96	MA House District 96
CandidateContest	MA House District 97	MA House District 97
CandidateContest	MA House District 98	MA House District 98
CandidateContest	MA House District 99	MA House District 99
CandidateContest	MA House District 100	MA House District 100
CandidateContest	MA House District 101	MA House District 101
CandidateContest	MA House District 102	MA House District 102
CandidateContest	MA House District 103	MA House District 103
CandidateContest	MA House District 104	MA House District 104
CandidateContest	MA House District 105	MA House District 105
CandidateContest	MA House District 106	MA House District 106
CandidateContest	MA House District 107	MA House District 107
CandidateContest	MA House District 108	MA House District 108
CandidateContest	MA House District 109	MA House District 109
CandidateContest	MA House District 110	MA House District 110
CandidateContest	MA House District 111	MA House District 111
CandidateContest	MA House District 112	MA House District 112
CandidateContest	MA House District 113	MA House District 113
CandidateContest	MA House District 114	MA House District 114
CandidateContest	MA House District 115	MA House District 115
CandidateContest	MA House District 116	MA House District 116
CandidateContest	MA House District 117	MA House District 117
CandidateContest	MA House District 118	MA House District 118
CandidateContest	MA House District 119	MA House District 119
CandidateContest	MA House District 120	MA House District 120
CandidateContest	MA House District 121	MA House District 121
CandidateContest	MA House District 122	MA House District 122
CandidateContest	MA House District 123	MA House District 123
CandidateContest	MA House District 124	MA House District 124
CandidateContest	MA House District 125	MA House District 125
CandidateContest	MA House District 126	MA House District 126
CandidateContest	MA House District 127	MA House District 127
CandidateContest	MA House District 128	MA House District 128
CandidateContest	MA House District 129	MA House District 129
CandidateContest	MA House District 130	MA House District 130
CandidateContest	MA House District 131	MA House District 131
CandidateContest	MA House District 132	MA House District 132
CandidateContest	MA House District 133	MA House District 133
CandidateContest	MA House District 134	MA House District 134
CandidateContest	MA House District 135	MA House District 135
CandidateContest	MA House District 136	MA House District 136
CandidateContest	MA House District 137	MA House District 137
CandidateContest	MA House District 138	MA House District 138
CandidateContest	MA House District 139	MA House District 139
CandidateContest	MA House District 140	MA House District 140
CandidateContest	MA House District 141	MA House District 141
CandidateContest	MA House District 142	MA House District 142
CandidateContest	MA House District 143	MA House District 143
CandidateContest	MA House District 144	MA House District 144
CandidateContest	MA House District 145	MA House District 145
CandidateContest	MA House District 146	MA House District 146
CandidateContest	MA House District 147	MA House District 147
CandidateContest	MA House District 148	MA House District 148
CandidateContest	MA House District 149	MA House District 149
CandidateContest	MA House District 150	MA House District 150
CandidateContest	MA House District 151	MA House District 151
CandidateContest	MA House District 152	MA House District 152
CandidateContest	MA House District 153	MA House District 153
CandidateContest	MA House District 154	MA House District 154
CandidateContest	MA House District 155	MA House District 155
CandidateContest	MA House District 156	MA House District 156
CandidateContest	MA House District 157	MA House District 157
CandidateContest	MA House District 158	MA House District 158
CandidateContest	MA House District 159	MA House District 159
CandidateContest	MA House District 160	MA House District 160
CandidateContest	MA Senate District 1	MA Senate District 1
CandidateContest	MA Senate District 2	MA Senate District 2
CandidateContest	MA Senate District 3	MA Senate District 3
CandidateContest	MA Senate District 4	MA Senate District 4
CandidateContest	MA Senate District 5	MA Senate District 5
CandidateContest	MA Senate District 6	MA Senate District 6
CandidateContest	MA Senate District 7	MA Senate District 7
CandidateContest	MA Senate District 8	MA Senate District 8
CandidateContest	MA Senate District 9	MA Senate District 9
CandidateContest	MA Senate District 10	MA Senate District 10
CandidateContest	MA Senate District 11	MA Senate District 11
