Name	NumberElected	Office	PrimaryParty
MN House District 1	1	MN House District 1	
MN House District 1A	1	MN House District 1A	
MN House District 1B	1	MN House District 1B	
MN House District 2	1	MN House District 2	
MN House District 2A	1	MN House District 2A	
MN House District 2B	1	MN House District 2B	
MN House District 3	1	MN House District 3	
MN House District 3A	1	MN House District 3A	
MN House District 3B	1	MN House District 3B	
MN House District 4	1	MN House District 4	
MN House District 4A	1	MN House District 4A	
MN House District 4B	1	MN House District 4B	
MN House District 5	1	MN House District 5	
MN House District 5A	1	MN House District 5A	
MN House District 5B	1	MN House District 5B	
MN House District 6	1	MN House District 6	
MN House District 6A	1	MN House District 6A	
MN House District 6B	1	MN House District 6B	
MN House District 7	1	MN House District 7	
MN House District 7A	1	MN House District 7A	
MN House District 7B	1	MN House District 7B	
MN House District 8	1	MN House District 8	
MN House District 8A	1	MN House District 8A	
MN House District 8B	1	MN House District 8B	
MN House District 9	1	MN House District 9	
MN House District 9A	1	MN House District 9A	
MN House District 9B	1	MN House District 9B	
MN House District 10	1	MN House District 10	
MN House District 10A	1	MN House District 10A	
MN House District 10B	1	MN House District 10B	
MN House District 11	1	MN House District 11	
MN House District 11A	1	MN House District 11A	
MN House District 11B	1	MN House District 11B	
MN House District 12	1	MN House District 12	
MN House District 12A	1	MN House District 12A	
MN House District 12B	1	MN House District 12B	
MN House District 13	1	MN House District 13	
MN House District 13A	1	MN House District 13A	
MN House District 13B	1	MN House District 13B	
MN House District 14	1	MN House District 14	
MN House District 14A	1	MN House District 14A	
MN House District 14B	1	MN House District 14B	
MN House District 15	1	MN House District 15	
MN House District 15A	1	MN House District 15A	
MN House District 15B	1	MN House District 15B	
MN House District 16	1	MN House District 16	
MN House District 16A	1	MN House District 16A	
MN House District 16B	1	MN House District 16B	
MN House District 17	1	MN House District 17	
MN House District 17A	1	MN House District 17A	
MN House District 17B	1	MN House District 17B	
MN House District 18	1	MN House District 18	
MN House District 18A	1	MN House District 18A	
MN House District 18B	1	MN House District 18B	
MN House District 19	1	MN House District 19	
MN House District 19A	1	MN House District 19A	
MN House District 19B	1	MN House District 19B	
MN House District 20	1	MN House District 20	
MN House District 20A	1	MN House District 20A	
MN House District 20B	1	MN House District 20B	
MN House District 21	1	MN House District 21	
MN House District 21A	1	MN House District 21A	
MN House District 21B	1	MN House District 21B	
MN House District 22	1	MN House District 22	
MN House District 22A	1	MN House District 22A	
MN House District 22B	1	MN House District 22B	
MN House District 23	1	MN House District 23	
MN House District 23A	1	MN House District 23A	
MN House District 23B	1	MN House District 23B	
MN House District 24	1	MN House District 24	
MN House District 24A	1	MN House District 24A	
MN House District 24B	1	MN House District 24B	
MN House District 25	1	MN House District 25	
MN House District 25A	1	MN House District 25A	
MN House District 25B	1	MN House District 25B	
MN House District 26	1	MN House District 26	
MN House District 26A	1	MN House District 26A	
MN House District 26B	1	MN House District 26B	
MN House District 27	1	MN House District 27	
MN House District 27A	1	MN House District 27A	
MN House District 27B	1	MN House District 27B	
MN House District 28	1	MN House District 28	
MN House District 28A	1	MN House District 28A	
MN House District 28B	1	MN House District 28B	
MN House District 29	1	MN House District 29	
MN House District 29A	1	MN House District 29A	
MN House District 29B	1	MN House District 29B	
MN House District 30	1	MN House District 30	
MN House District 30A	1	MN House District 30A	
MN House District 30B	1	MN House District 30B	
MN House District 31	1	MN House District 31	
