Name	ElectionDistrict
MN House District 1	Minnesota;MN House District 1
MN House District 1A	Minnesota;MN House District 1A
MN House District 1B	Minnesota;MN House District 1B
MN House District 2	Minnesota;MN House District 2
MN House District 3	Minnesota;MN House District 3
MN House District 3A	Minnesota;MN House District 3A
MN House District 3B	Minnesota;MN House District 3B
MN House District 4	Minnesota;MN House District 4
MN House District 5	Minnesota;MN House District 5
MN House District 5A	Minnesota;MN House District 5A
MN House District 5B	Minnesota;MN House District 5B
MN House District 6	Minnesota;MN House District 6
MN House District 7	Minnesota;MN House District 7
MN House District 7A	Minnesota;MN House District 7A
MN House District 7B	Minnesota;MN House District 7B
MN House District 8	Minnesota;MN House District 8
MN House District 9	Minnesota;MN House District 9
MN House District 9A	Minnesota;MN House District 9A
MN House District 9B	Minnesota;MN House District 9B
MN House District 10	Minnesota;MN House District 10
MN House District 11	Minnesota;MN House District 11
MN House District 11A	Minnesota;MN House District 11A
MN House District 11B	Minnesota;MN House District 11B
MN House District 12	Minnesota;MN House District 12
MN House District 13	Minnesota;MN House District 13
MN House District 13A	Minnesota;MN House District 13A
MN House District 13B	Minnesota;MN House District 13B
MN House District 14	Minnesota;MN House District 14
MN House District 15	Minnesota;MN House District 15
MN House District 15A	Minnesota;MN House District 15A
MN House District 15B	Minnesota;MN House District 15B
MN House District 16	Minnesota;MN House District 16
MN House District 17	Minnesota;MN House District 17
MN House District 17A	Minnesota;MN House District 17A
MN House District 17B	Minnesota;MN House District 17B
MN House District 18	Minnesota;MN House District 18
MN House District 19	Minnesota;MN House District 19
MN House District 19A	Minnesota;MN House District 19A
MN House District 19B	Minnesota;MN House District 19B
MN House District 20	Minnesota;MN House District 20
MN House District 21	Minnesota;MN House District 21
MN House District 21A	Minnesota;MN House District 21A
MN House District 21B	Minnesota;MN House District 21B
MN House District 22	Minnesota;MN House District 22
MN House District 23	Minnesota;MN House District 23
MN House District 23A	Minnesota;MN House District 23A
MN House District 23B	Minnesota;MN House District 23B
