cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	MN House District 1 (Republican Party)	State Representative District 1 (Republican Party)
CandidateContest	MN House District 1A (Republican Party)	State Representative District 1A (Republican Party)
CandidateContest	MN House District 1B (Republican Party)	State Representative District 1B (Republican Party)
CandidateContest	MN House District 2 (Republican Party)	State Representative District 2 (Republican Party)
CandidateContest	MN House District 2A (Republican Party)	State Representative District 2A (Republican Party)
CandidateContest	MN House District 2B (Republican Party)	State Representative District 2B (Republican Party)
CandidateContest	MN House District 3 (Republican Party)	State Representative District 3 (Republican Party)
CandidateContest	MN House District 3A (Republican Party)	State Representative District 3A (Republican Party)
CandidateContest	MN House District 3B (Republican Party)	State Representative District 3B (Republican Party)
CandidateContest	MN House District 4 (Republican Party)	State Representative District 4 (Republican Party)
CandidateContest	MN House District 4A (Republican Party)	State Representative District 4A (Republican Party)
CandidateContest	MN House District 4B (Republican Party)	State Representative District 4B (Republican Party)
CandidateContest	MN House District 5 (Republican Party)	State Representative District 5 (Republican Party)
CandidateContest	MN House District 5A (Republican Party)	State Representative District 5A (Republican Party)
CandidateContest	MN House District 5B (Republican Party)	State Representative District 5B (Republican Party)
CandidateContest	MN House District 6 (Republican Party)	State Representative District 6 (Republican Party)
CandidateContest	MN House District 6A (Republican Party)	State Representative District 6A (Republican Party)
CandidateContest	MN House District 6B (Republican Party)	State Representative District 6B (Republican Party)
CandidateContest	MN House District 7 (Republican Party)	State Representative District 7 (Republican Party)
CandidateContest	MN House District 7A (Republican Party)	State Representative District 7A (Republican Party)
CandidateContest	MN House District 7B (Republican Party)	State Representative District 7B (Republican Party)
CandidateContest	MN House District 8 (Republican Party)	State Representative District 8 (Republican Party)
CandidateContest	MN House District 8A (Republican Party)	State Representative District 8A (Republican Party)
CandidateContest	MN House District 8B (Republican Party)	State Representative District 8B (Republican Party)
CandidateContest	MN House District 9 (Republican Party)	State Representative District 9 (Republican Party)
CandidateContest	MN House District 9A (Republican Party)	State Representative District 9A (Republican Party)
CandidateContest	MN House District 9B (Republican Party)	State Representative District 9B (Republican Party)
CandidateContest	MN House District 10 (Republican Party)	State Representative District 10 (Republican Party)
CandidateContest	MN House District 10A (Republican Party)	State Representative District 10A (Republican Party)
CandidateContest	MN House District 10B (Republican Party)	State Representative District 10B (Republican Party)
CandidateContest	MN House District 11 (Republican Party)	State Representative District 11 (Republican Party)
