Name	NumberElected	Office	PrimaryParty
MS House District 1	1	MS House District 1	
MS House District 2	1	MS House District 2	
MS House District 3	1	MS House District 3	
MS House District 4	1	MS House District 4	
MS House District 5	1	MS House District 5	
MS House District 6	1	MS House District 6	
MS House District 7	1	MS House District 7	
MS House District 8	1	MS House District 8	
MS House District 9	1	MS House District 9	
MS House District 10	1	MS House District 10	
MS House District 11	1	MS House District 11	
MS House District 12	1	MS House District 12	
MS House District 13	1	MS House District 13	
MS House District 14	1	MS House District 14	
MS House District 15	1	MS House District 15	
MS House District 16	1	MS House District 16	
MS House District 17	1	MS House District 17	
MS House District 18	1	MS House District 18	
MS House District 19	1	MS House District 19	
MS House District 20	1	MS House District 20	
MS House District 21	1	MS House District 21	
MS House District 22	1	MS House District 22	
MS House District 23	1	MS House District 23	
MS House District 24	1	MS House District 24	
MS House District 25	1	MS House District 25	
MS House District 26	1	MS House District 26	
MS House District 27	1	MS House District 27	
MS House District 28	1	MS House District 28	
MS House District 29	1	MS House District 29	
MS House District 30	1	MS House District 30	
MS House District 31	1	MS House District 31	
MS House District 32	1	MS House District 32	
MS House District 33	1	MS House District 33	
MS House District 34	1	MS House District 34	
MS House District 35	1	MS House District 35	
MS House District 36	1	MS House District 36	
MS House District 37	1	MS House District 37	
MS House District 38	1	MS House District 38	
MS House District 39	1	MS House District 39	
MS House District 40	1	MS House District 40	
MS House District 41	1	MS House District 41	
MS House District 42	1	MS House District 42	
MS House District 43	1	MS House District 43	
MS House District 44	1	MS House District 44	
MS House District 45	1	MS House District 45	
MS House District 46	1	MS House District 46	
MS House District 47	1	MS House District 47	
MS House District 48	1	MS House District 48	
MS House District 49	1	MS House District 49	
MS House District 50	1	MS House District 50	
MS House District 51	1	MS House District 51	
MS House District 52	1	MS House District 52	
MS House District 53	1	MS House District 53	
MS House District 54	1	MS House District 54	
MS House District 55	1	MS House District 55	
MS House District 56	1	MS House District 56	
MS House District 57	1	MS House District 57	
MS House District 58	1	MS House District 58	
MS House District 59	1	MS House District 59	
MS House District 60	1	MS House District 60	
MS House District 61	1	MS House District 61	
MS House District 62	1	MS House District 62	
MS House District 63	1	MS House District 63	
MS House District 64	1	MS House District 64	
MS House District 65	1	MS House District 65	
MS House District 66	1	MS House District 66	
MS House District 67	1	MS House District 67	
MS House District 68	1	MS House District 68	
MS House District 69	1	MS House District 69	
MS House District 70	1	MS House District 70	
MS House District 71	1	MS House District 71	
MS House District 72	1	MS House District 72	
MS House District 73	1	MS House District 73	
MS House District 74	1	MS House District 74	
MS House District 75	1	MS House District 75	
MS House District 76	1	MS House District 76	
MS House District 77	1	MS House District 77	
MS House District 78	1	MS House District 78	
MS House District 79	1	MS House District 79	
MS House District 80	1	MS House District 80	
MS House District 81	1	MS House District 81	
MS House District 82	1	MS House District 82	
MS House District 83	1	MS House District 83	
MS House District 84	1	MS House District 84	
MS House District 85	1	MS House District 85	
MS House District 86	1	MS House District 86	
MS House District 87	1	MS House District 87	
MS House District 88	1	MS House District 88	
MS House District 89	1	MS House District 89	
MS House District 90	1	MS House District 90	
MS House District 91	1	MS House District 91	
MS House District 92	1	MS House District 92	
MS House District 93	1	MS House District 93	
MS House District 94	1	MS House District 94	
MS House District 95	1	MS House District 95	
MS House District 96	1	MS House District 96	
MS House District 97	1	MS House District 97	
MS House District 98	1	MS House District 98	
MS House District 99	1	MS House District 99	
MS House District 100	1	MS House District 100	
MS House District 101	1	MS House District 101	
MS House District 102	1	MS House District 102	
MS House District 103	1	MS House District 103	
MS House District 104	1	MS House District 104	
MS House District 105	1	MS House District 105	
MS House District 106	1	MS House District 106	
MS House District 107	1	MS House District 107	
MS House District 108	1	MS House District 108	
MS House District 109	1	MS House District 109	
MS House District 110	1	MS House District 110	
MS House District 111	1	MS House District 111	
MS House District 112	1	MS House District 112	
MS House District 113	1	MS House District 113	
MS House District 114	1	MS House District 114	
MS House District 115	1	MS House District 115	
MS House District 116	1	MS House District 116	
MS House District 117	1	MS House District 117	
MS House District 118	1	MS House District 118	
MS House District 119	1	MS House District 119	
MS House District 120	1	MS House District 120	
MS House District 121	1	MS House District 121	
MS House District 122	1	MS House District 122	
MS Senate District 1	1	MS Senate District 1	
MS Senate District 2	1	MS Senate District 2	
MS Senate District 3	1	MS Senate District 3	
MS Senate District 4	1	MS Senate District 4	
MS Senate District 5	1	MS Senate District 5	
MS Senate District 6	1	MS Senate District 6	
MS Senate District 7	1	MS Senate District 7	
MS Senate District 8	1	MS Senate District 8	
MS Senate District 9	1	MS Senate District 9	
MS Senate District 10	1	MS Senate District 10	
MS Senate District 11	1	MS Senate District 11	
MS Senate District 12	1	MS Senate District 12	
MS Senate District 13	1	MS Senate District 13	
MS Senate District 14	1	MS Senate District 14	
MS Senate District 15	1	MS Senate District 15	
MS Senate District 16	1	MS Senate District 16	
MS Senate District 17	1	MS Senate District 17	
MS Senate District 18	1	MS Senate District 18	
MS Senate District 19	1	MS Senate District 19	
MS Senate District 20	1	MS Senate District 20	
MS Senate District 21	1	MS Senate District 21	
MS Senate District 22	1	MS Senate District 22	
MS Senate District 23	1	MS Senate District 23	
MS Senate District 24	1	MS Senate District 24	
MS Senate District 25	1	MS Senate District 25	
MS Senate District 26	1	MS Senate District 26	
MS Senate District 27	1	MS Senate District 27	
MS Senate District 28	1	MS Senate District 28	
MS Senate District 29	1	MS Senate District 29	
MS Senate District 30	1	MS Senate District 30	
MS Senate District 31	1	MS Senate District 31	
MS Senate District 32	1	MS Senate District 32	
MS Senate District 33	1	MS Senate District 33	
MS Senate District 34	1	MS Senate District 34	
MS Senate District 35	1	MS Senate District 35	
MS Senate District 36	1	MS Senate District 36	
MS Senate District 37	1	MS Senate District 37	
MS Senate District 38	1	MS Senate District 38	
MS Senate District 39	1	MS Senate District 39	
MS Senate District 40	1	MS Senate District 40	
MS Senate District 41	1	MS Senate District 41	
MS Senate District 42	1	MS Senate District 42	
MS Senate District 43	1	MS Senate District 43	
MS Senate District 44	1	MS Senate District 44	
MS Senate District 45	1	MS Senate District 45	
MS Senate District 46	1	MS Senate District 46	
MS Senate District 47	1	MS Senate District 47	
MS Senate District 48	1	MS Senate District 48	
MS Senate District 49	1	MS Senate District 49	
MS Senate District 50	1	MS Senate District 50	
MS Senate District 51	1	MS Senate District 51	
MS Senate District 52	1	MS Senate District 52	
US House MS District 1	1	US House MS District 1	
US House MS District 2	1	US House MS District 2	
US House MS District 3	1	US House MS District 3	
US House MS District 4	1	US House MS District 4	
US President (MS)	1	US President (MS)	
MS Governor	1	MS Governor	
US Senate MS	1	US Senate MS	
MS Attorney General	1	MS Attorney General	
MS Lieutenant Governor	1	MS Lieutenant Governor	
MS Treasurer	1	MS Treasurer	
MS Secretary of State	1	MS Secretary of State	
MS House District 1	1	MS House District 1	
MS House District 2	1	MS House District 2	
MS House District 3	1	MS House District 3	
MS House District 4	1	MS House District 4	
MS House District 5	1	MS House District 5	
MS House District 6	1	MS House District 6	
MS House District 7	1	MS House District 7	
MS House District 8	1	MS House District 8	
MS House District 9	1	MS House District 9	
MS House District 10	1	MS House District 10	
MS House District 11	1	MS House District 11	
MS House District 12	1	MS House District 12	
MS House District 13	1	MS House District 13	
MS House District 14	1	MS House District 14	
MS House District 15	1	MS House District 15	
MS House District 16	1	MS House District 16	
MS House District 17	1	MS House District 17	
MS House District 18	1	MS House District 18	
MS House District 19	1	MS House District 19	
MS House District 20	1	MS House District 20	
MS House District 21	1	MS House District 21	
MS House District 22	1	MS House District 22	
MS House District 23	1	MS House District 23	
MS House District 24	1	MS House District 24	
MS House District 25	1	MS House District 25	
MS House District 26	1	MS House District 26	
MS House District 27	1	MS House District 27	
MS House District 28	1	MS House District 28	
MS House District 29	1	MS House District 29	
MS House District 30	1	MS House District 30	
MS House District 31	1	MS House District 31	
MS House District 32	1	MS House District 32	
MS House District 33	1	MS House District 33	
MS House District 34	1	MS House District 34	
MS House District 35	1	MS House District 35	
MS House District 36	1	MS House District 36	
MS House District 37	1	MS House District 37	
MS House District 38	1	MS House District 38	
MS House District 39	1	MS House District 39	
MS House District 40	1	MS House District 40	
MS House District 41	1	MS House District 41	
MS House District 42	1	MS House District 42	
MS House District 43	1	MS House District 43	
MS House District 44	1	MS House District 44	
MS House District 45	1	MS House District 45	
MS House District 46	1	MS House District 46	
MS House District 47	1	MS House District 47	
MS House District 48	1	MS House District 48	
MS House District 49	1	MS House District 49	
MS House District 50	1	MS House District 50	
MS House District 51	1	MS House District 51	
MS House District 52	1	MS House District 52	
MS House District 53	1	MS House District 53	
MS House District 54	1	MS House District 54	
MS House District 55	1	MS House District 55	
MS House District 56	1	MS House District 56	
MS House District 57	1	MS House District 57	
MS House District 58	1	MS House District 58	
MS House District 59	1	MS House District 59	
MS House District 60	1	MS House District 60	
MS House District 61	1	MS House District 61	
MS House District 62	1	MS House District 62	
MS House District 63	1	MS House District 63	
MS House District 64	1	MS House District 64	
MS House District 65	1	MS House District 65	
MS House District 66	1	MS House District 66	
MS House District 67	1	MS House District 67	
MS House District 68	1	MS House District 68	
MS House District 69	1	MS House District 69	
MS House District 70	1	MS House District 70	
MS House District 71	1	MS House District 71	
MS House District 72	1	MS House District 72	
MS House District 73	1	MS House District 73	
MS House District 74	1	MS House District 74	
MS House District 75	1	MS House District 75	
MS House District 76	1	MS House District 76	
MS House District 77	1	MS House District 77	
MS House District 78	1	MS House District 78	
